case,geometry,noise,model,arm,parameter,true,estimated,absolute_error
905101_00,rich,0.01,seed_29/repaired,encoder,rho_fast,-0.2232606221005313,-0.0459186547976291,0.1773419673029022
905101_00,rich,0.01,seed_29/repaired,encoder,v0_fast,0.0893864723699807,0.07277561398441,0.0166108583855707
905101_00,rich,0.01,seed_29/repaired,refined,kappa_slow,0.4515711432074293,0.463901038109521,0.0123298949020917
905101_00,rich,0.01,seed_29/repaired,refined,theta_slow,0.0318710771089639,0.0501465145879303,0.0182754374789663
905101_00,rich,0.01,seed_29/repaired,refined,sigma_slow,0.036660762881715,0.0837707627324599,0.0471099998507449
905101_00,rich,0.01,seed_29/repaired,refined,rho_slow,-0.3905875624875868,-0.2695871311545746,0.1210004313330121
905101_00,rich,0.01,seed_29/repaired,refined,v0_slow,0.0520946267116691,0.0710830820819199,0.0189884553702508
905101_00,rich,0.01,seed_29/repaired,refined,kappa_fast,8.066470891631734,11.730736114989629,3.6642652233578943
905101_00,rich,0.01,seed_29/repaired,refined,theta_fast,0.0781259932795358,0.0597058449177653,0.0184201483617705
905101_00,rich,0.01,seed_29/repaired,refined,sigma_fast,0.4195628559849137,0.4465303143201606,0.0269674583352469
905101_00,rich,0.01,seed_29/repaired,refined,rho_fast,-0.2232606221005313,-0.1678111238144963,0.0554494982860349
905101_00,rich,0.01,seed_29/repaired,refined,v0_fast,0.0893864723699807,0.0690514934826127,0.020334978887368
905101_00,rich,0.01,seed_43/repaired,encoder,kappa_slow,0.4515711432074293,0.4559423336149963,0.004371190407567
905101_00,rich,0.01,seed_43/repaired,encoder,theta_slow,0.0318710771089639,0.0570482197650884,0.0251771426561244
905101_00,rich,0.01,seed_43/repaired,encoder,sigma_slow,0.036660762881715,0.110044046058362,0.073383283176647
905101_00,rich,0.01,seed_43/repaired,encoder,rho_slow,-0.3905875624875868,-0.3706781451938113,0.0199094172937755
905101_00,rich,0.01,seed_43/repaired,encoder,v0_slow,0.0520946267116691,0.0659885112630022,0.0138938845513331
905101_00,rich,0.01,seed_43/repaired,encoder,kappa_fast,8.066470891631734,6.8845144882234015,1.181956403408333
905101_00,rich,0.01,seed_43/repaired,encoder,theta_fast,0.0781259932795358,0.0568852976912983,0.0212406955882374
905101_00,rich,0.01,seed_43/repaired,encoder,sigma_fast,0.4195628559849137,0.4432511074104232,0.0236882514255094
905101_00,rich,0.01,seed_43/repaired,encoder,rho_fast,-0.2232606221005313,-0.0390901296727564,0.1841704924277748
905101_00,rich,0.01,seed_43/repaired,encoder,v0_fast,0.0893864723699807,0.0707732216113356,0.018613250758645
905101_00,rich,0.01,seed_43/repaired,refined,kappa_slow,0.4515711432074293,0.4521823188895353,0.000611175682106
905101_00,rich,0.01,seed_43/repaired,refined,theta_slow,0.0318710771089639,0.0517393761192588,0.0198682990102949
905101_00,rich,0.01,seed_43/repaired,refined,sigma_slow,0.036660762881715,0.0841074356780264,0.0474466727963114
905101_00,rich,0.01,seed_43/repaired,refined,rho_slow,-0.3905875624875868,-0.2586395583912031,0.1319480040963837
905101_00,rich,0.01,seed_43/repaired,refined,v0_slow,0.0520946267116691,0.0729278976723928,0.0208332709607237
905101_00,rich,0.01,seed_43/repaired,refined,kappa_fast,8.066470891631734,11.501931865349272,3.4354609737175377
905101_00,rich,0.01,seed_43/repaired,refined,theta_fast,0.0781259932795358,0.0578159708790174,0.0203100224005183
905101_00,rich,0.01,seed_43/repaired,refined,sigma_fast,0.4195628559849137,0.450929180298431,0.0313663243135173
905101_00,rich,0.01,seed_43/repaired,refined,rho_fast,-0.2232606221005313,-0.1697687270344073,0.0534918950661239
905101_00,rich,0.01,seed_43/repaired,refined,v0_fast,0.0893864723699807,0.0671200559970083,0.0222664163729723
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,kappa_slow,0.4515711432074293,1.1120699566525845,0.6604988134451552
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,theta_slow,0.0318710771089639,0.0062396879111187,0.0256313891978451
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,sigma_slow,0.036660762881715,0.117781564195602,0.081120801313887
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,rho_slow,-0.3905875624875868,-0.918556370580428,0.5279688080928412
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,v0_slow,0.0520946267116691,0.021667967372058,0.030426659339611
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,kappa_fast,8.066470891631734,27.85301544747368,19.786544555841942
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,theta_fast,0.0781259932795358,0.110909547416598,0.0327835541370621
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,sigma_fast,0.4195628559849137,0.1005609002303172,0.3190019557545965
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,rho_fast,-0.2232606221005313,-0.3949100639423457,0.1716494418418143
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,v0_fast,0.0893864723699807,0.1221578772487431,0.0327714048787623
905101_00,single_expiry,0.0,unified_v6/unified,encoder,kappa_slow,0.4515711432074293,0.4977620551599249,0.0461909119524955
905101_00,single_expiry,0.0,unified_v6/unified,encoder,theta_slow,0.0318710771089639,0.068895798050325,0.0370247209413611
905101_00,single_expiry,0.0,unified_v6/unified,encoder,sigma_slow,0.036660762881715,0.1342062046316166,0.0975454417499016
905101_00,single_expiry,0.0,unified_v6/unified,encoder,rho_slow,-0.3905875624875868,-0.3428654222850069,0.0477221402025799
905101_00,single_expiry,0.0,unified_v6/unified,encoder,v0_slow,0.0520946267116691,0.0667057578373779,0.0146111311257088
905101_00,single_expiry,0.0,unified_v6/unified,encoder,kappa_fast,8.066470891631734,7.497002576684337,0.5694683149473976
905101_00,single_expiry,0.0,unified_v6/unified,encoder,theta_fast,0.0781259932795358,0.0717842053736313,0.0063417879059045
905101_00,single_expiry,0.0,unified_v6/unified,encoder,sigma_fast,0.4195628559849137,0.5077163738784005,0.0881535178934868
905101_00,single_expiry,0.0,unified_v6/unified,encoder,rho_fast,-0.2232606221005313,-0.0026673531690151,0.2205932689315161
905101_00,single_expiry,0.0,unified_v6/unified,encoder,v0_fast,0.0893864723699807,0.0623623281594888,0.0270241442104918
905101_00,single_expiry,0.0,unified_v6/unified,refined,kappa_slow,0.4515711432074293,0.4708997776239143,0.0193286344164849
905101_00,single_expiry,0.0,unified_v6/unified,refined,theta_slow,0.0318710771089639,0.0582682878188836,0.0263972107099197
905101_00,single_expiry,0.0,unified_v6/unified,refined,sigma_slow,0.036660762881715,0.1152728367650735,0.0786120738833585
905101_00,single_expiry,0.0,unified_v6/unified,refined,rho_slow,-0.3905875624875868,-0.1857711309020211,0.2048164315855657
905101_00,single_expiry,0.0,unified_v6/unified,refined,v0_slow,0.0520946267116691,0.0735455352813921,0.021450908569723
905101_00,single_expiry,0.0,unified_v6/unified,refined,kappa_fast,8.066470891631734,7.212109022360078,0.8543618692716564
905101_00,single_expiry,0.0,unified_v6/unified,refined,theta_fast,0.0781259932795358,0.0591664297472283,0.0189595635323074
905101_00,single_expiry,0.0,unified_v6/unified,refined,sigma_fast,0.4195628559849137,0.4183174774358663,0.0012453785490474
905101_00,single_expiry,0.0,unified_v6/unified,refined,rho_fast,-0.2232606221005313,-0.2367072360163184,0.0134466139157871
905101_00,single_expiry,0.0,unified_v6/unified,refined,v0_fast,0.0893864723699807,0.0638042181415514,0.0255822542284293
905101_00,single_expiry,0.0,seed_17/repaired,encoder,kappa_slow,0.4515711432074293,0.4917423131346681,0.0401711699272387
905101_00,single_expiry,0.0,seed_17/repaired,encoder,theta_slow,0.0318710771089639,0.0648218476993809,0.032950770590417
905101_00,single_expiry,0.0,seed_17/repaired,encoder,sigma_slow,0.036660762881715,0.1286798296235517,0.0920190667418367
905101_00,single_expiry,0.0,seed_17/repaired,encoder,rho_slow,-0.3905875624875868,-0.3684447711552496,0.0221427913323372
905101_00,single_expiry,0.0,seed_17/repaired,encoder,v0_slow,0.0520946267116691,0.0671852740408605,0.0150906473291914
905101_00,single_expiry,0.0,seed_17/repaired,encoder,kappa_fast,8.066470891631734,7.078939750210527,0.9875311414212078
905101_00,single_expiry,0.0,seed_17/repaired,encoder,theta_fast,0.0781259932795358,0.0667664286553007,0.011359564624235
905101_00,single_expiry,0.0,seed_17/repaired,encoder,sigma_fast,0.4195628559849137,0.4789537540283056,0.0593908980433918
905101_00,single_expiry,0.0,seed_17/repaired,encoder,rho_fast,-0.2232606221005313,-0.0527700523962747,0.1704905697042566
905101_00,single_expiry,0.0,seed_17/repaired,encoder,v0_fast,0.0893864723699807,0.0646385648377586,0.0247479075322221
905101_00,single_expiry,0.0,seed_17/repaired,refined,kappa_slow,0.4515711432074293,0.4644238802784113,0.012852737070982
905101_00,single_expiry,0.0,seed_17/repaired,refined,theta_slow,0.0318710771089639,0.0561918047006321,0.0243207275916682
905101_00,single_expiry,0.0,seed_17/repaired,refined,sigma_slow,0.036660762881715,0.111735453210199,0.075074690328484
905101_00,single_expiry,0.0,seed_17/repaired,refined,rho_slow,-0.3905875624875868,-0.1939854509086938,0.1966021115788929
905101_00,single_expiry,0.0,seed_17/repaired,refined,v0_slow,0.0520946267116691,0.0735087438943734,0.0214141171827043
905101_00,single_expiry,0.0,seed_17/repaired,refined,kappa_fast,8.066470891631734,6.792088344832825,1.2743825467989094
905101_00,single_expiry,0.0,seed_17/repaired,refined,theta_fast,0.0781259932795358,0.0571939077657764,0.0209320855137594
905101_00,single_expiry,0.0,seed_17/repaired,refined,sigma_fast,0.4195628559849137,0.4079916028552215,0.0115712531296922
905101_00,single_expiry,0.0,seed_17/repaired,refined,rho_fast,-0.2232606221005313,-0.2333587744180836,0.0100981523175523
905101_00,single_expiry,0.0,seed_17/repaired,refined,v0_fast,0.0893864723699807,0.0660054637634412,0.0233810086065394
905101_00,single_expiry,0.0,seed_29/repaired,encoder,kappa_slow,0.4515711432074293,0.4982782731199608,0.0467071299125315
905101_00,single_expiry,0.0,seed_29/repaired,encoder,theta_slow,0.0318710771089639,0.0677905205153663,0.0359194434064024
905101_00,single_expiry,0.0,seed_29/repaired,encoder,sigma_slow,0.036660762881715,0.1300830906196479,0.0934223277379329
905101_00,single_expiry,0.0,seed_29/repaired,encoder,rho_slow,-0.3905875624875868,-0.3653382637873253,0.0252492987002614
905101_00,single_expiry,0.0,seed_29/repaired,encoder,v0_slow,0.0520946267116691,0.0676816298528373,0.0155870031411682
905101_00,single_expiry,0.0,seed_29/repaired,encoder,kappa_fast,8.066470891631734,7.350631848488376,0.7158390431433581
