case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_02,rich,0.01,seed_29/repaired,refined,60,30,0,0,0,0.0006736196661016,0.0033463831904308,0.3207688994288379,0.967340228741728,False,False,0.3424172500017448,9.214851104388801e-15,8.215650382226158e-15,False
905101_02,rich,0.01,seed_43/repaired,encoder,60,30,0,0,0,0.0015371346164898,0.0092110513594553,0.8180251828384308,2.3428559921172853,False,False,0.0047404999932041,9.214851104388801e-15,8.453968607650313e-15,False
905101_02,rich,0.01,seed_43/repaired,refined,60,30,0,0,0,0.0005780505995262,0.002804209105113,0.3097049518231769,0.8144040356477619,False,False,0.3483605419969535,9.214851104388801e-15,8.332163152252776e-15,False
905101_02,rich,0.01,seed_43/repaired,hybrid_polish,60,30,0,0,0,0.0001083398214268,0.0004707826435859,1.1336186800538668,8.212421747103042,False,False,38.54893866699422,9.214851104388801e-15,8.221232329348564e-15,False
905101_02,single_expiry,0.0,unified_v6/unified,encoder,10,5,0,0,0,0.0006522895776553,0.0081947950718893,0.7816608830893443,2.2622301645386753,False,False,0.0031734580043121,8.437694987151191e-15,7.664008316865534e-15,False
905101_02,single_expiry,0.0,unified_v6/unified,refined,10,5,0,0,0,0.0002134925752842,0.0025082440554347,0.7794808639530254,1.7366038462719695,False,False,0.3059895410042372,8.437694987151191e-15,7.653599976009673e-15,False
905101_02,single_expiry,0.0,seed_17/repaired,encoder,10,5,0,0,0,0.0004549155047078,0.0079695700229009,0.7985773454690864,2.396713328836097,False,False,0.0038471250009024,8.437694987151191e-15,7.937660945200875e-15,False
905101_02,single_expiry,0.0,seed_17/repaired,refined,10,5,0,0,0,5.766909326941082e-05,0.001153583007692,1.018031248603836,3.4672162472623387,False,False,0.307035875004658,8.437694987151191e-15,8.094219738907782e-15,False
905101_02,single_expiry,0.0,seed_29/repaired,encoder,10,5,0,0,0,0.0003105774440039,0.0072084812564051,0.7995853180611504,2.423610434682469,False,False,0.004235874999722,8.437694987151191e-15,7.761152831520235e-15,False
905101_02,single_expiry,0.0,seed_29/repaired,refined,10,5,0,0,0,7.827141258689253e-06,0.0001895002959442,0.4970138415752567,1.8709154597624644,False,False,0.3125575000012759,8.437694987151191e-15,7.618038144752148e-15,False
905101_02,single_expiry,0.0,seed_43/repaired,encoder,10,5,0,0,0,0.0003720935503346,0.0075797034665508,0.7936716686987342,2.403467850285797,False,False,0.0038758749942644,8.437694987151191e-15,7.386886241578239e-15,False
905101_02,single_expiry,0.0,seed_43/repaired,refined,10,5,0,0,0,3.161221959450605e-05,0.0008455451077645,0.9107887781156632,2.891111061088916,False,False,0.3104090409979108,8.437694987151191e-15,7.674416657721395e-15,False
905101_02,single_expiry,0.0,seed_43/repaired,hybrid_polish,10,5,0,0,0,5.277482547980598e-10,5.3556024270257907e-08,1.0399695439506398,4.028220934246741,False,True,13.575038373994175,8.437694987151191e-15,7.882583474838611e-15,False
905101_02,single_expiry,0.01,unified_v6/unified,encoder,10,5,0,0,0,0.0004038906563539,0.0066940195136958,0.7778455241276727,2.254287280011952,False,False,0.0026908750005532,8.437694987151191e-15,7.861766793126891e-15,False
905101_02,single_expiry,0.01,unified_v6/unified,refined,10,5,0,0,0,5.123877599357602e-05,0.0013303802526492,0.654771318949596,1.9392154464550329,False,False,0.3022289169966825,8.437694987151191e-15,7.740336149808513e-15,False
905101_02,single_expiry,0.01,seed_17/repaired,encoder,10,5,0,0,0,0.0005181750714644,0.0082973976003254,0.8019031514236786,2.405049329299663,False,False,0.0037851660017622,8.437694987151191e-15,7.83704698359422e-15,False
905101_02,single_expiry,0.01,seed_17/repaired,refined,10,5,0,0,0,7.146066547333423e-05,0.001634160895589,0.665952076547429,2.0898795628328872,False,False,0.3177524999991874,8.437694987151191e-15,7.851358452271029e-15,False
905101_02,single_expiry,0.01,seed_29/repaired,encoder,10,5,0,0,0,0.0003474157105393,0.0073702452396943,0.7948425032717628,2.4097892183873206,False,False,0.0038691660010954,8.437694987151191e-15,7.816663982751493e-15,False
