S,x,tau_days,IV_BS,IV_SH,IV_DH,IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
99.1,-0.00904074465214907,90.0,19.867474336578027,19.745992079862887,19.808456820168082,19.804320399655058,0.0590175164099449,-0.06246474030519522,-0.004136420513024319
99.25,-0.0075282664207915245,90.0,19.867474336578002,19.75525047590774,19.83141252270287,19.82721209668229,0.03606181387513274,-0.07616204679512961,-0.00420042602058146
99.4,-0.00601807232556291,90.0,19.867474336577974,19.76452020450714,19.854357152836165,19.85009571565443,0.013117183741808702,-0.089836948329026,-0.004261437181735772
99.55,-0.00451015547788613,90.0,19.867474336578066,19.773800997457187,19.87729013692988,19.87297071918328,-0.009815800351812953,-0.10348913947269267,-0.004319417746600607
99.7,-0.0030045090202987243,90.0,19.86747433657799,19.783092589040166,19.90021091138978,19.89583656988349,-0.03273657481179271,-0.11711832234961506,-0.004374341506292012
99.85,-0.0015011261262672026,90.0,19.867474336578017,19.79239471601994,19.923118922582933,19.91869273020857,-0.05564458600491662,-0.130724206562995,-0.004426192374364035
100.0,0.0,90.0,19.867474336578077,19.801707117637022,19.94601362675461,19.94153866239179,-0.07853929017653272,-0.14430650911758747,-0.004474964362820799
100.15,0.0014988761237359487,90.0,19.867474336578006,19.81102953560349,19.968894489942492,19.964373828490455,-0.10142015336448651,-0.15786495433900427,-0.004520661452037444
100.3,0.002995508979798371,90.0,19.86747433657799,19.820361714097295,19.991760987889776,19.98719769052774,-0.12428665131178818,-0.1713992737924812,-0.0045632973620364226
100.45,0.004489905272852001,90.0,19.867474336578038,19.829703399755797,20.01461260595631,20.01000971072924,-0.1471382693782708,-0.184909206200512,-0.004602895227069581
100.6,0.005982071677547469,90.0,19.86747433657796,19.839054341668888,20.03744883902821,20.032809351845245,-0.16997450245025192,-0.1983944973593239,-0.004639487182966917
100.75,0.0074720148387010564,90.0,19.867474336578013,19.84841429137281,20.060269191426976,20.055596077554195,-0.19279485484896242,-0.21185490005416696,-0.0046731138727800214
100.9,0.008959741371472022,90.0,19.867474336578052,19.857783002841607,20.08307317681651,20.078369352937152,-0.21559884023845655,-0.22529017397490136,-0.004703823879356861
101.05,0.010445257861538604,90.0,19.86747433657796,19.86716023247975,20.105860318109013,20.101128645016182,-0.23838598153105295,-0.2387000856292616,-0.004731673092830846
101.2,0.011928570865273812,90.0,19.867474336578056,19.87654573911442,20.128630147370263,20.123873423346197,-0.2611558107922072,-0.25208440825584333,-0.004756724024066017
101.35,0.013409686909917522,90.0,19.867474336577963,19.885939283985646,20.151382205723696,20.14660316065235,-0.2839078691457324,-0.2654429217380496,-0.004779045071344967
101.5,0.014888612493750559,90.0,19.867474336578013,19.89534063073812,20.174116043253974,20.169317333501066,-0.30664170667596125,-0.2787754125158557,-0.004798709752908081
101.65,0.01636535408626423,90.0,19.86747433657798,19.90474954541223,20.19683121890892,20.192015422996278,-0.32935688233093785,-0.2920816734966891,-0.004815795912641363
101.8,0.017839918128331016,90.0,19.867474336578013,19.914165796433156,20.21952730040154,20.21469691549096,-0.35205296382352813,-0.3053615039683848,-0.004830384910579966
101.95,0.019312311032372884,90.0,19.867474336578002,19.923589154602116,20.242203864111556,20.237361303302997,-0.37472952753355315,-0.3186147095094398,-0.004842560808558716
102.1,0.02078253918252841,90.0,19.86747433657803,19.933019393085118,20.26486049498505,20.260008085426858,-0.39738615840701996,-0.33184110189993277,-0.004852409558193216
102.25,0.022250608934819723,90.0,19.867474336577963,19.942456287402972,20.287496786435817,20.28263676823095,-0.42002244985785353,-0.3450404990328444,-0.0048600182048659235
102.4,0.023716526617316065,90.0,19.867474336578,19.951899615420217,20.310112340244302,20.305246866133615,-0.44263800366630335,-0.35821272482408517,-0.004865474110687273
102.55,0.025180298530298326,90.0,19.86747433657804,19.961349157333682,20.3327067664573,20.32783790224725,-0.46523242987925784,-0.37135760912361704,-0.004868864210049395
102.69999999999999,0.026641930946421092,90.0,19.86747433657799,19.970804695661375,20.3552796832873,20.350409408984564,-0.48780534670931175,-0.384474987625925,-0.004870274302735567
102.85,0.02810143011087478,90.0,19.867474336577974,19.98026601523035,20.377830717011484,20.372960928620063,-0.5103563804335103,-0.39756470178113545,-0.004869788391420826
103.0,0.02955880224154443,90.0,19.8674743365779,19.989732903165205,20.40035950187019,20.395492013800123,-0.5328851652922921,-0.41062659870498663,-0.0048674880700687595
103.15,0.03101405352916954,90.0,19.867474336578027,19.999205148875674,20.42286567996654,20.41800222799684,-0.5553913433885143,-0.4236605310908672,-0.00486345196970106
103.3,0.03246719013750141,90.0,19.86747433657795,20.008682544044035,20.445348901164824,20.440491145901053,-0.5778745645868746,-0.4366663571207887,-0.004857755263770969
103.44999999999999,0.033918218203460644,90.0,19.867474336577967,20.018164882612837,20.46780882298927,20.462958353751418,-0.6003344864113025,-0.44964394037643274,-0.004850469237851485
103.6,0.035367143837291344,90.0,19.86747433657804,20.02765196077155,20.49024511052361,20.485403449597964,-0.6227707739455681,-0.4625931497520597,-0.004841660925645641
103.75,0.0368139731227164,90.0,19.86747433657804,20.037143576943986,20.512657436309784,20.507826043495324,-0.6451830997317423,-0.4755138593657975,-0.004831392814459434
103.9,0.03825871211709048,90.0,19.86747433657799,20.046639531774506,20.53504548024774,20.530225757629832,-0.6675711436697505,-0.4884059484732326,-0.004819722617906308
104.05,0.039701366851552046,90.0,19.867474336578006,20.05613962811535,20.557408929494834,20.5526022263757,-0.6899345929168277,-0.5012693013794838,-0.0048067031191330045
104.19999999999999,0.041141943331175,90.0,19.867474336578017,20.065643671012094,20.579747478365647,20.57495509628563,-0.7122731417876302,-0.5141038073535533,-0.004792382080015756
104.35,0.04258044753511826,90.0,19.867474336578006,20.075151467690986,20.60206082823305,20.597284026014545,-0.734586491655044,-0.5269093605420636,-0.004776802218504628
104.5,0.04401688541677426,90.0,19.867474336577992,20.084662827543763,20.624348687428228,20.61958868617975,-0.7568743508502358,-0.5396858598844645,-0.004760001248477863
104.65,0.04545126290391736,90.0,19.867474336578056,20.094177562114588,20.646610771142374,20.64186875916257,-0.7791364345643181,-0.5524332090277859,-0.004742011979804062
104.8,0.04688358589885046,90.0,19.86747433657806,20.103695485085275,20.66884680132765,20.66412393885244,-0.8013724647495906,-0.5651513162423747,-0.0047228624752087
104.94999999999999,0.04831386027855051,90.0,19.86747433657799,20.113216412261337,20.69105650660005,20.68635393033891,-0.8235821700220605,-0.5778400943387112,-0.004702576261138347
105.1,0.04974209189481401,90.0,19.86747433657803,20.122740161557292,20.71323962214176,20.708558449556957,-0.8457652855637292,-0.5904994605844678,-0.0046811725848030505
105.25,0.051168286574399424,90.0,19.867474336578034,20.13226655298211,20.735395889604227,20.730737222889015,-0.8679215530261928,-0.6031293366221178,-0.004658666715211979
105.4,0.05259245011917063,90.0,19.86747433657803,20.141795408624173,20.75752505701289,20.752889986729684,-0.8900507204348607,-0.6157296483887187,-0.004635070283207199
105.55,0.054014588306238134,90.0,19.86747433657804,20.151326552637407,20.77962687867025,20.775016487019048,-0.9121525420922083,-0.6283003260328428,-0.004610391651201695
105.69999999999999,0.055434706888100524,90.0,19.867474336578017,20.16085981122533,20.801701115062365,20.797116478748247,-0.9342267784843479,-0.6408413038370355,-0.0045846363141173185
105.85,0.05685281159278279,90.0,19.86747433657808,20.17039501262715,20.82374753276404,20.819189725444815,-0.9562731961859576,-0.6533525201368882,-0.004557807319223173
106.0,0.058268908123975824,90.0,19.867474336578,20.17993198710151,20.845765904345566,20.841235998641235,-0.9782915677675668,-0.6658339172440542,-0.004529905704330872
106.15,0.05968300216117384,90.0,19.867474336578077,20.189470566912398,20.867756008279738,20.86325507733316,-1.0002816717016607,-0.6782854413673398,-0.0045009309465768865
106.3,0.06109509935981083,90.0,19.86747433657802,20.199010586313317,20.889717628850327,20.88524674743159,-1.0222432922723073,-0.6907070425370101,-0.004470881418736639
106.44999999999999,0.0625052053513969,90.0,19.867474336578013,20.208551881532532,20.911650556060856,20.90721080121412,-1.0441762194828428,-0.7030986745283236,-0.004439754846735866
106.6,0.06391332574365265,90.0,19.867474336578002,20.218094290757648,20.933554585543494,20.929147036780215,-1.0660802489654913,-0.7154602947858457,-0.004407548763278868
106.75,0.06531946612064246,90.0,19.867474336578017,20.227637654119302,20.95542951847051,20.951055257513076,-1.087955181892493,-0.7277918643512074,-0.004374260957433762
106.9,0.06672363204290813,90.0,19.867474336578002,20.237181813677786,20.97727516146515,20.97293527155385,-1.1098008248871487,-0.740093347787365,-0.004339889911300077
107.05,0.06812582904760044,90.0,19.867474336577967,20.246726613405126,20.999091326512826,20.994786891291206,-1.1316169899348587,-0.7523647131076991,-0.00430443522161994
107.19999999999999,0.0695260626486101,90.0,19.867474336578006,20.25627189917197,21.0208778308756,21.016609932868,-1.1534034942975957,-0.7646059317036311,-0.00426789800760119
107.35,0.07092433833669858,90.0,19.86747433657819,20.26581751873048,21.042634497004787,21.03840421571043,-1.1751601604265964,-0.776816978274308,-0.004230281294358207
107.5,0.07232066157962608,90.0,19.867474336578127,20.275363321699313,21.064361152456303,21.06016956207941,-1.1968868158781767,-0.7889978307569905,-0.004191590376894538
107.65,0.07371503782228069,90.0,19.867474336578056,20.284909159548377,21.08605762980548,21.081905796648723,-1.2185832932274252,-0.8011484702571039,-0.004151833156758045
107.8,0.07510747248680548,90.0,19.867474336577917,20.294454885583,21.107723766564693,21.103612746109736,-1.2402494299867755,-0.8132688809816919,-0.004111020454956815
107.94999999999999,0.0764979709727249,90.0,19.86747433657803,20.30400035492848,21.1293594050995,21.12529023880448,-1.2618850685214689,-0.82535905017102,-0.0040691662950180785
108.1,0.0778865386570712,90.0,19.867474336578123,20.31354542451432,21.150964392547834,21.146938104390674,-1.283490055969711,-0.8374189680335142,-0.004026288157159996
108.25,0.07927318089450788,90.0,19.867474336578027,20.32308995305903,21.172538580738376,21.168556173533737,-1.3050642441603486,-0.8494486276793474,-0.003982407204638605
108.4,0.08065790301745454,90.0,19.867474336577995,20.33263380105427,21.194081826111205,21.190144277633365,-1.3266074895332096,-0.8614480250569336,-0.00393754847783967
108.55,0.0820407103362094,90.0,19.8674743365781,20.342176830749676,21.215593989639164,21.21170224857984,-1.3481196530610653,-0.8734171588894881,-0.00389174105932355
108.69999999999999,0.08342160813907236,90.0,19.86747433657824,20.351718906136913,21.23707493674877,21.23322991854101,-1.3696006001705285,-0.885356030611856,-0.0038450182077589545
108.85,0.0848006016924651,90.0,19.867474336578095,20.36125989293469,21.258524537244313,21.254727119781737,-1.3910502006662178,-0.8972646443096224,-0.0037974174625752255
109.0,0.08617769624105241,90.0,19.867474336577974,20.370799658572558,21.27994266523026,21.276193684512545,-1.4124683286522846,-0.9091430066577004,-0.003748980717713124
109.15,0.08755289700786166,90.0,19.867474336577924,20.38033807217659,21.30132919903775,21.297629444769488,-1.4338548624598246,-0.9209911268611606,-0.0036997542682613016
109.3,0.08892620919440149,90.0,19.867474336578,20.389875004552543,21.32268402114927,21.319034232321652,-1.4552096845712725,-0.9328090165967282,-0.00364978882761946
109.44999999999999,0.0902976379807804,90.0,19.86747433657802,20.399410328172177,21.34400701812544,21.340407878608286,-1.4765326815474182,-0.9445966899532614,-0.0035991395171528495
109.6,0.09166718852582367,90.0,19.867474336578013,20.408943917156,21.365298080532497,21.36175021470239,-1.4978237439544841,-0.9563541633764956,-0.003547865830107355
109.75,0.0930348659671893,90.0,19.86747433657789,20.41847564725935,21.38655710287067,21.383061071299885,-1.5190827662927795,-0.9680814556113191,-0.0034960315707834866
109.9,0.0944006754214843,90.0,19.867474336578155,20.42800539585679,21.40778398350517,21.404340278734246,-1.5403096469270139,-0.9797785876483793,-0.0034437047709232615
110.05,0.09576462198437934,90.0,19.867474336578066,20.437533041927,21.428978624594357,21.425587667014305,-1.561504288016291,-0.9914455826673567,-0.003390957580052145
110.19999999999999,0.09712671073072263,90.0,19.86747433657812,20.44705846603744,21.45014093202229,21.446803065882946,-1.58266659544417,-1.0030824659848498,-0.003337866139343504
110.35,0.09848694671465397,90.0,19.86747433657808,20.45658155032853,21.471270815331156,21.467986304898652,-1.6037964787530754,-1.0146892650026267,-0.0032845104325041063
110.5,0.09984533496971612,90.0,19.867474336577928,20.466102178500243,21.49236818765413,21.489137213533656,-1.6248938510762017,-1.0262660091538862,-0.003230974120473462
110.65,0.10120188050896733,90.0,19.86747433657796,20.475620235795695,21.513432965649155,21.51025562129131,-1.6459586290711954,-1.03781272985346,-0.003177344357844447
110.8,0.10255658832509196,90.0,19.867474336577942,20.48513560898712,21.534465069434876,21.53134135783911,-1.6669907328569344,-1.0493294604477548,-0.0031237115957658546
110.94999999999999,0.10390946339051149,90.0,19.867474336578038,20.49464818635989,21.555464422525862,21.552394253155608,-1.687990085947824,-1.060816236165973,-0.00307016937025395
111.1,0.10526051065749294,90.0,19.867474336577907,20.50415785769892,21.57643095176921,21.573414137691916,-1.7089566151913047,-1.0722730940702903,-0.003016814077295038
111.25,0.10660973505825827,90.0,19.86747433657787,20.513664514273454,21.597364587283668,21.594400842543422,-1.7298902507057967,-1.0837000730102133,-0.002963744740245744
111.4,0.10795714150509236,90.0,19.867474336578,20.523168048822026,21.61826526239669,21.61535419963268,-1.7507909258186913,-1.0950972135746646,-0.0029110627640100972
111.55,0.10930273489045009,90.0,19.86747433657799,20.532668355537993,21.639132913585232,21.63627404190049,-1.7716585770072442,-1.1064645580472394,-0.0028588716847437468
111.69999999999999,0.11064652008706365,90.0,19.867474336578127,20.5421653300559,21.65996748041541,21.657160203504052,-1.7924931438372838,-1.117802150359509,-0.002807276911358514
111.85,0.1119885019480473,90.0,19.867474336577942,20.551658869435602,21.680768905484182,21.678012520022367,-1.8132945689062403,-1.12911003604858,-0.002756385461815114
112.0,0.11332868530700327,90.0,19.86747433657799,20.561148872148976,21.701537134361324,21.69883082866551,-1.8340627977833357,-1.1403882622123476,-0.002706305695813427
112.15,0.1146670749781261,90.0,19.86747433657803,20.570635238064703,21.722272115533027,21.719614968486876,-1.854797778954996,-1.1516368774683237,-0.0026571470461504987
112.3,0.11600367575630613,90.0,19.86747433657787,20.58011786843529,21.742973800344938,21.74036478059872,-1.875499463767067,-1.1628559319096468,-0.0026090197462167453
112.44999999999999,0.11733849241723317,90.0,19.867474336578006,20.589596665881636,21.763642142948388,21.76108010838782,-1.8961678063703822,-1.1740454770667519,-0.0025620345605688044
112.6,0.11867152971749854,90.0,19.867474336577867,20.59907153437981,21.78427710024358,21.781760797732304,-1.9168027636657143,-1.1852055658637717,-0.0025163025112782123
112.75,0.12000279239469631,90.0,19.86747433657807,20.60854237924676,21.804878631829165,21.802406697216405,-1.9374042952510955,-1.1963362525824053,-0.002471934612760407
112.9,0.12133228516752496,90.0,19.8674743365779,20.618009107126145,21.825446699946728,21.82301765834293,-1.9579723633688282,-1.2074375928205825,-0.0024290416037970886
113.05,0.12266001273588754,90.0,19.86747433657796,20.627471625975573,21.84598126943055,21.84359353574401,-1.9785069328525893,-1.2185096434549756,-0.0023877336865396614
113.19999999999999,0.1239859797809911,90.0,19.86747433657783,20.636929845051192,21.866482307656305,21.864134187387098,-1.999007971078477,-1.2295524626051133,-0.0023481202692074987
113.35,0.1253101909654466,90.0,19.867474336577995,20.64638367489553,21.886949784489932,21.884639474776236,-2.019475447911937,-1.2405661095944005,-0.002310309713696057
113.5,0.126632650933366,90.0,19.867474336578013,20.655833027323833,21.90738367223955,21.905109263148606,-2.0399093356615374,-1.2515506449157172,-0.0022744090909441184
113.65,0.1279533643104609,90.0,19.8674743365778,20.665277815409354,21.927783945605277,21.925543421663964,-2.0603096090274775,-1.2625061301959235,-0.00224052394131391
113.8,0.1292723357041391,90.0,19.867474336577946,20.674717953471735,21.948150581632873,21.94594182358923,-2.080676245054928,-1.2734326281611388,-0.0022087580436433996
113.94999999999999,0.13058956970360186,90.0,19.86747433657826,20.684153357062304,21.968483559664968,21.96630434647252,-2.1010092230867095,-1.2843302026026642,-0.0021792131924485147
114.1,0.1319050708799386,90.0,19.86747433657806,20.69358394295148,21.988782861295526,21.986630872314,-2.121308524717467,-1.2951989183440453,-0.002151988981527353
114.25,0.13321884378622278,90.0,19.867474336577867,20.70300962911632,22.00904847032568,22.006921287723394,-2.141574133747813,-1.3060388412093609,-0.0021271826022868368
114.4,0.13453089295760626,90.0,19.86747433657783,20.712430334725948,22.0292803727149,22.027175484073712,-2.1618060361370723,-1.316850037988953,-0.002104888641188296
114.55,0.13584122291141312,90.0,19.867474336578102,20.721845980130695,22.049478556541814,22.04739335764262,-2.182004219963712,-1.3276325764111192,-0.0020851988991950066
114.69999999999999,0.13714983814723347,90.0,19.867474336577974,20.731256486847442,22.069643011956977,22.067574809744748,-2.202168675379003,-1.3383865251095344,-0.002068202212228698
114.85,0.13845674314701575,90.0,19.86747433657808,20.740661777548162,22.08977373114156,22.08771974685795,-2.2222993945634784,-1.3491119535933969,-0.002053984283609367
115.0,0.13976194237515863,90.0,19.867474336577885,20.75006177604602,22.109870708265905,22.107828080735388,-2.24239637168802,-1.3598089322198845,-0.002042627530517649
115.15,0.14106544027860282,90.0,19.867474336578056,20.75945640728494,22.129933939447202,22.12789972851065,-2.2624596028691464,-1.370477532162262,-0.0020342109365536487
115.3,0.142367241286922,90.0,19.86747433657793,20.76884559732563,22.149963422709757,22.147934612791452,-2.282489086131825,-1.381117825384127,-0.0020288099183041197
115.44999999999999,0.1436673498124129,90.0,19.86747433657827,20.77822927333286,22.169959157944348,22.167932661745322,-2.302484821366079,-1.391729884611486,-0.002026496199025729
115.6,0.14496577025018564,90.0,19.8674743365779,20.787607363565204,22.189921146869786,22.18789380917321,-2.3224468102918863,-1.4023137833045816,-0.0020273376965747048
115.75,0.14626250697825208,90.0,19.867474336578173,20.79697979736058,22.209849392993394,22.20781799457419,-2.3423750564152215,-1.412869595632813,-0.0020313984192057433
115.9,0.1475575643576147,90.0,19.867474336578468,20.806346505126125,22.22974390157431,22.22770516320039,-2.3622695649958416,-1.423397396448184,-0.0020387383739191023
116.05,0.14885094673235455,90.0,19.8674743365779,20.81570741832555,22.24960467958495,22.247555266101468,-2.382130343007052,-1.4338972612593999,-0.00204941348348342
116.19999999999999,0.1501426584297194,90.0,19.867474336578177,20.82506246946763,22.26943173567556,22.26736826016029,-2.401957399097384,-1.4443692662079322,-0.002063475515271307
116.35,0.15143270376020934,90.0,19.8674743365779,20.83441159209244,22.28922508013629,22.287144108118802,-2.421750743558391,-1.4548134880438504,-0.0020809720174881363
116.5,0.15272108701766393,90.0,19.867474336578457,20.843754720764196,22.308984724865514,22.306882778594066,-2.441510388287057,-1.4652300041013184,-0.0021019462714484405
116.65,0.1540078124793477,90.0,19.867474336577907,20.85309179105472,22.328710683330556,22.326584246085275,-2.4612363467526492,-1.4756188922758362,-0.002126437245280499
116.8,0.15529288440603525,90.0,19.86747433657795,20.86242273953557,22.348402970536224,22.346248490973583,-2.480928633958275,-1.485980231000653,-0.002154479562641143
116.94999999999999,0.15657630704209666,90.0,19.86747433657812,20.87174750376518,22.368061602992526,22.365875499510736,-2.5005872664144064,-1.4963140992273445,-0.002186103481790269
117.1,0.15785808461558032,90.0,19.867474336578212,20.881066022277782,22.3876865986764,22.385465263799826,-2.5202122620981875,-1.5066205763986176,-0.0022213348765731666
117.25,0.15913822133829747,90.0,19.867474336578017,20.89037823457314,22.40727797700609,22.40501778177098,-2.5398036404280724,-1.5168997424329476,-0.0022601952351095633
117.4,0.16041672140590485,90.0,19.867474336577974,20.899684081103917,22.4268357588047,22.424533057144192,-2.5593614222267256,-1.5271516777007825,-0.002302701660507722
117.55,0.16169358899798714,90.0,19.86747433657799,20.908983503265063,22.44635996626999,22.4440110993893,-2.578885629692003,-1.5373764630049287,-0.002348866880691247
117.69999999999999,0.16296882827813952,90.0,19.86747433657799,20.918276443386265,22.46585062294389,22.46345192367541,-2.5983762863659017,-1.5475741795576248,-0.002398699268479021
117.85,0.16424244339404864,90.0,19.867474336578226,20.9275628447158,22.4853077536839,22.482855550815312,-2.6178334171056754,-1.5577449089681004,-0.0024522028685893815
118.0,0.16551443847757333,90.0,19.867474336577875,20.936842651413578,22.50473138463014,22.502222007203482,-2.637257048052266,-1.567888733216563,-0.0025093774266586877
118.15,0.16678481764482547,90.0,19.867474336577963,20.946115808540416,22.524121543179056,22.521551324745676,-2.656647206601093,-1.5780057346386407,-0.0025702184333802336
118.3,0.16805358499624976,90.0,19.86747433657777,20.955382262045575,22.543478257953115,22.540843540784692,-2.6760039213753437,-1.5880959959075405,-0.0026347171684228954
118.44999999999999,0.16932074461670302,90.0,19.86747433657772,20.964641958759078,22.562801558774435,22.560098698021008,-2.6953272221967133,-1.5981596000153573,-0.002702860753426961
118.6,0.17058630057553367,90.0,19.86747433657772,20.973894846378506,22.58209147663545,22.579316844425577,-2.7146171400577295,-1.6081966302569448,-0.0027746322098742837
118.75,0.17185025692665923,90.0,19.867474336578635,20.98314087346266,22.601348043672655,22.598498033148662,-2.73387370709402,-1.6182071702099954,-0.0028500105239928075
118.9,0.17311261770864483,90.0,19.86747433657819,20.99237998941685,22.62057129314006,22.61764232242757,-2.753096956561869,-1.6281913037232094,-0.0029289707124888764
119.05,0.17437338694478033,90.0,19.867474336577974,21.001612144486764,22.639761259383977,22.636749775483885,-2.7722869228060034,-1.6381491148972138,-0.0030114839000923155
119.19999999999999,0.17563256864315796,90.0,19.867474336578187,21.010837289747563,22.65891797781525,22.655820460421037,-2.7914436412370627,-1.6480806880676866,-0.003097517394213156
119.35,0.17689016679674774,90.0,19.86747433657832,21.020055377092906,22.678041484885846,22.674854450118183,-2.810567148307527,-1.65798610779294,-0.0031870347676630217
119.5,0.17814618538347404,90.0,19.86747433657837,21.029266359227158,22.697131818062978,22.6938518221182,-2.8296574814846096,-1.66786545883582,-0.0032799959447764593
119.65,0.17940062836629106,90.0,19.867474336577892,21.038470189653538,22.71618901580655,22.712812658514537,-2.8487146792286566,-1.6777188261530114,-0.003376357292012244
119.8,0.18065349969325756,90.0,19.867474336578265,21.04766682266732,22.73521311754382,22.73173704583519,-2.8677387809655563,-1.6875462948765012,-0.003476071708632844
119.94999999999999,0.18190480329761202,90.0,19.86747433657819,21.056856213344695,22.75420416364657,22.750625074923235,-2.886729827068379,-1.6973479503018751,-0.003579088723334678
120.1,0.18315454309784637,90.0,19.867474336578006,21.06603831753282,22.773162195407835,22.7694768408159,-2.905687858829829,-1.7071238778750164,-0.0036853545919335318
120.25,0.1844027229977791,90.0,19.867474336577867,21.075213091843064,22.792087255019077,22.78829244262117,-2.924612918441209,-1.716874163176012,-0.0037948123979063553
120.4,0.18564934688662926,90.0,19.867474336578297,21.084380493639948,22.810979385550493,22.807071983394003,-2.9435050489721952,-1.7265988919105446,-0.003907402156489326
120.55,0.1868944186390887,90.0,19.867474336578645,21.09354048103251,22.829838630926126,22.825815570010437,-2.9623642943474806,-1.7362981498936172,-0.004023060915688603
120.69999999999999,0.18813794211539434,90.0,19.867474336577775,21.102693012866293,22.84866503590426,22.844523313036834,-2.9811906993264863,-1.745972023037968,-0.004141722867426978
