S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
87.88,90.0,0.41218911091377397,0.35445383521184026,0.285209046676174,0.2856438893483401,0.12698006423759994,0.06924478853566624,0.0004348426721660914
87.94,90.0,0.4184537955464584,0.36037541164664494,0.2907410069185834,0.2911739880485792,0.127712788627875,0.06963440472806154,0.00043298112999579086
88.0,90.0,0.42479395357679395,0.3663752471034547,0.2963567094629994,0.2967877276766881,0.12843724411379454,0.07001853764045529,0.0004310182136886831
88.06,90.0,0.43121018809948897,0.3724540209126269,0.30205695963202217,0.3024859141959692,0.1291532284674668,0.07039706128060474,0.0004289545639470371
88.12,90.0,0.43770310295116377,0.3786124131071541,0.30784256293286005,0.3082693537956017,0.12986054001830372,0.07076985017429405,0.0004267908627416661
88.17999999999999,90.0,0.4442733026597758,0.384851104352342,0.31371432494474005,0.314138852776679,0.13055897771503577,0.07113677940760194,0.00042452783193897003
88.24,90.0,0.4509213923938978,0.3911707758752139,0.319673051205963,0.32009521743788166,0.13124834118793477,0.07149772466925092,0.00042216623191865255
88.3,90.0,0.4576479779115285,0.3975721093934564,0.3257195471008025,0.32613925396083254,0.13192843081072603,0.07185256229265391,0.00041970686003006685
88.36,90.0,0.4644536655086691,0.40405578704401973,0.3318546177460498,0.33227176829518995,0.13259904776261933,0.07220116929796994,0.00041715054914015504
88.42,90.0,0.4713390619675089,0.410622491311272,0.3380790678774715,0.33849356604354,0.13325999409003741,0.07254342343380049,0.00041449816606847767
88.48,90.0,0.4783047745043701,0.4172729049550034,0.3443937017360006,0.3448054523460135,0.1339110727683695,0.07287920321900282,0.00041175061001291757
88.53999999999999,90.0,0.48535141071729876,0.42400771093781875,0.35079932295393046,0.35120823176482613,0.1345520877633683,0.07320838798388829,0.00040890881089566955
88.6,90.0,0.49247957853344515,0.43082759235249685,0.35729673444096477,0.3577027081686571,0.13518284409248038,0.07353085791153208,0.00040597372769235474
88.66,90.0,0.499689886156034,0.4377332323488303,0.36388673827017537,0.3642896846169294,0.13580314788585862,0.07384649407865496,0.0004029463467540295
88.72,90.0,0.506982942011258,0.4447253140603244,0.3705701355640094,0.3709699632441131,0.13641280644724862,0.07415517849631498,0.0003998276801036593
