x,days,err_BS,err_SH,err_DH,err_PINN
-0.0990587018725243,10.459200278020834,-3.6109328355398347,-1.634094119659471,-1.4321522123577708,-8.584172835966228
0.2701536527348997,11.459200276875,,-12.111891673041047,-0.997261619607992,-27.834928389804336
0.2246912786581422,11.459200276770831,,-8.594801291741462,-0.34773493864660443,-22.55155213401534
0.1812061667184035,11.459200276655094,-22.396132749924586,-4.517967087822955,0.8027226631306617,-16.488014401966876
0.1395334703178354,11.459200276550929,-16.23545377487406,-1.7194594561031062,0.6435863648405704,-11.54071063974966
0.0995281357041363,11.45920027644676,-9.87818488846249,0.9752288079321492,0.6316592495874573,-6.451393667264663
0.0762712735398689,11.459200276342592,-6.651714890742588,1.799772266048888,0.3706264582666041,-4.012786450914393
0.0686376486847978,11.459200276226852,-5.627191849030455,1.9803412039547914,0.357917411738079,-3.2566630122457614
0.0610618548763402,11.459200276122685,-4.743499187574807,1.9953170907608453,0.282434666064621,-2.644844920031514
0.0535430224623128,11.459200276018516,-3.802783305190019,2.04111471269825,0.3455472515481839,-1.97971792801096
0.0498047003517058,11.459200275914352,-3.4358319656215524,1.950383693754204,0.3041845846909863,-1.7519517266432723
0.0423697218641877,11.459200275810185,-2.6724731902390357,1.7776429418418531,0.30964850821059986,-1.2695166385706946
0.034989614566565,11.45920027570602,-1.8766169338955558,1.6105056175113068,0.42109062506063555,-0.7574433826206761
0.0313198856776027,11.459200275601852,-1.5184891261397826,1.4779875758062944,0.4624517581320736,-0.5420805231582448
0.0240205831959911,11.45920027548611,-0.8767934383081072,1.124390550300297,0.5171836210520836,-0.18753922432681314
0.0167741746752239,11.459200275381946,-0.23197789304302274,0.7665798361815468,0.6320272748520178,0.16767177041565884
0.0095798990411968,11.459200275277778,0.3539393097143212,0.36736238760214646,0.7402412042914197,0.4611231668037452
0.0024370115288167,11.459200275173613,0.8835276470963133,-0.0259621236059826,0.8416749550046204,0.6953280805638701
-0.0046552167806752,11.459200275104166,1.0110954209599536,-0.6885533127572868,0.5900899236366691,0.5250803319384628
-0.011697499406088,11.459200274988426,1.3511781319691996,-0.9207018670318451,0.6015562632764315,0.5657966600285752
-0.0186905348970586,11.459200274895831,1.558413544533166,-1.0107637466847201,0.5340136983597199,0.47170963501757535
-0.0256350072498696,11.459200274791668,1.7224790089799908,-0.8808551248317226,0.4817427020775561,0.32953809708476667
-0.03253158630893,11.459200274675926,1.7970950651460593,-0.6410925262579942,0.40389713144096395,0.08935208491046842
-0.0393809281545047,11.459200274571758,1.7507591159237639,-0.39339527126581453,0.2749530547797058,-0.28161801025110844
-0.0461836754772573,11.459200274479166,1.6089802076275639,-0.1653155093183062,0.1269345049834364,-0.7560558195180811
-0.0529404579401372,11.459200274363424,1.4592825442100192,0.0962272829789862,0.05448689827315667,-1.243158643357492
-0.0563018056428419,11.45920027425926,1.16059306343895,0.011729625159462298,-0.17195477427283945,-1.7113336121189704
-0.0629907937936386,11.459200274155092,0.7990135856102476,0.0868392478435176,-0.3176244427895131,-2.4118976946860493
-0.0696353365123071,11.45920027403935,0.4592974267725286,0.18740451601531039,-0.3429549787119568,-3.0891024856121914
-0.0729411246468066,11.459200273935185,0.244431291159955,0.19213672941350568,-0.36383011060362735,-3.471693883872007
-0.0795200957448492,11.45920027383102,-0.5399065824623794,-0.15644182768672632,-0.691121237440051,-4.588633093533268
-0.0860560667246346,11.459200273726852,-1.0790903993590701,-0.2663806044452238,-0.693061221854907,-5.455541214078052
-0.092549596035183,11.459200273622686,-1.8540350785454185,-0.6196455097536718,-0.8696273107762803,-6.551971878060614
-0.0990012313166716,11.45920027351852,-2.446314754040721,-0.7995387590887637,-0.8229462847383684,-7.458054244620316
-0.1054115096775907,11.459200273414352,-3.666293003798346,-1.6156931872379765,-1.3815748182503058,-8.98273886790337
0.3178509728457334,12.459200272488427,,-14.11830295144113,-1.0038902650382875,-30.72556545571292
0.2702229238564788,12.45920027238426,,-10.16992391183546,0.18860942921729018,-25.707064590546025
0.2247605497797214,12.459200272280093,,-7.686950296699635,-0.12112823868497546,-21.398049081734662
0.1812754378399826,12.459200272175924,-21.753071024806196,-4.164881326106013,0.5665651252815762,-15.892569944260826
0.1396027414394146,12.45920027207176,-15.405624268497995,-1.1619287163089131,0.7396832820184496,-10.747288464082159
0.0995974068257154,12.459200271967592,-9.660206563479209,0.943336443237508,0.3487322825309169,-6.257965059631479
0.0763405446614481,12.459200271863423,-6.4945941024375395,1.7260951654943124,0.20870676896304619,-3.8729099843305526
0.068706919806377,12.45920027175926,-5.616825963982136,1.768053285703866,0.10765441313504709,-3.261028718106254
0.0611311259979193,12.459200271655094,-4.742678800268579,1.7830579993073359,0.07592040823347357,-2.656154548727849
0.053612293583892,12.459200271539352,-3.859496364420345,1.7826593699010906,0.12795234729469918,-2.0458004815893522
0.0461495723823024,12.459200271435188,-3.0860470529303576,1.647425848499931,0.1433651355017912,-1.5486043076057998
0.0387421311044407,12.45920027133102,-2.332269552054231,1.4678813281204213,0.20803251531547884,-1.0740227200615016
0.0313891567991818,12.45920027122685,-1.6343856776154548,1.2103146311792712,0.28013796583014894,-0.6576787641871057
0.0240898543175703,12.459200271122684,-0.9614251895346121,0.9118947879478478,0.38481664457032383,-0.26837576575657607
0.016843445796803,12.45920027101852,-0.3347321631073569,0.5640368800266055,0.49560332519131556,0.07219395820304564
0.0096491701627759,12.459200270914351,0.23959882036081737,0.1845119162983938,0.6026584224404968,0.3574535650394839
0.0025062826503958,12.459200270810184,0.7518928939697384,-0.19487326007614214,0.6943174599422924,0.5776685361926853
-0.0045859456590961,12.459200270729168,0.8365073195677308,-0.8761936238862594,0.40483527320941404,0.3678603897217192
-0.011628228284509,12.459200270625,1.2306903741432285,-1.046060723821457,0.47315500803014054,0.4662704837319731
-0.0186212637754796,12.459200270520832,1.4945983235297167,-1.0909679255815736,0.4626348259497315,0.43289317898473345
-0.0255657361282906,12.459200270416666,1.67185819531718,-0.9725287480856937,0.42117526525189963,0.3090472613353129
-0.032462315187351,12.459200270300927,1.7990152855340669,-0.7082015174655482,0.3902106773351066,0.1280432958621125
-0.0393116570329258,12.459200270208337,1.8035311443456659,-0.4350474100472068,0.30239972685842387,-0.1843469004221887
-0.0461144043556783,12.459200270092593,1.7189465527812446,-0.17081005023072415,0.19673139400323558,-0.5936692185669917
-0.0528711868185581,12.459200269988427,1.440744818194692,-0.0546011883498565,-0.025528080274619946,-1.2018570005433409
-0.0595826214065449,12.45920026988426,1.1059788346964554,0.02886701657260904,-0.22136500159700423,-1.8690186379540619
-0.0662493127647342,12.459200269780093,0.8155238687122701,0.16712103569926917,-0.2846793525063035,-2.4919435592995614
-0.0728718535252276,12.459200269675923,0.3090495024283685,0.09171545786336166,-0.4732411526154223,-3.329185113070279
-0.0794508246232701,12.459200269571758,-0.03402084445141562,0.17721124295188018,-0.41014072127575907,-3.999853638205575
-0.0859867956030556,12.45920026946759,-0.6516694084544722,-0.017278900902098493,-0.5424251915814193,-4.940534616973719
-0.0924803249136039,12.459200269363423,-1.4856192679683162,-0.4350290114802563,-0.8266598105135414,-6.091480878854269
-0.0989319601950926,12.45920026925926,-2.1871879386819284,-0.7286404138298813,-0.9318964880902086,-7.1024224154710796
-0.1053422385560117,12.459200269155092,-2.7103533544682366,-0.8521595012251415,-0.8293340012571537,-7.925729175289195
0.1196711844141114,13.459200268321757,-12.52888373639439,0.12653803508317907,0.3996857073612192,-8.09040296925616
0.042710143277983,13.459200268217591,-3.2142029543986705,1.337007463841025,0.011883284573260822,-1.3875695398002597
0.0316603070913981,13.459200268113426,-2.2107379765139186,0.9454745004513931,0.08473963092481829,-0.8004791075161305
0.0243610046097865,13.459200268009258,-1.5591090425634806,0.6498967572511227,0.1831183093824157,-0.4290888584401714
0.0171145960890193,13.459200267905093,-0.9907199184242016,0.2709725079140607,0.24690572925425425,-0.1434022858338435
0.0099203204549922,13.459200267800924,-0.41738731132853757,-0.08064342040903782,0.3612658643858152,0.14429369867014208
0.002777432942612,13.459200267696758,0.08533115990534135,-0.4426068797961702,0.4491668390483122,0.3584074123466702
-0.0043147953668797,13.45920026761574,0.4678122679504154,-0.8076305229564706,0.4611642973097435,0.45004571673802896
-0.0113570779922927,13.459200267500002,0.8072816984937087,-1.0302148099417097,0.47623284797404797,0.4974462845397487
-0.0183501134832632,13.459200267395834,1.0387830488833072,-1.1244694274381435,0.4324718055994381,0.43566926942610884
-0.0252945858360744,13.459200267291669,1.249608899599905,-1.0016149228810973,0.4211356057574167,0.35023988525680616
-0.0321911648951346,13.459200267187502,1.381585411314115,-0.7642184517196449,0.38848419003266466,0.1802061720444892
-0.0390405067407095,13.459200267083334,1.4143604238356784,-0.49132166004280664,0.3187513628010591,-0.0966705503560289
-0.0954401952028341,13.45920026699074,-1.6663413828940126,-0.1789817703106461,-0.6100952650826552,-5.9014811836424625
0.3427691638793541,14.459200266377316,,-13.031210414353323,-0.015958430400653256,-30.326046713615074
0.2939789997099221,14.459200266273148,,-10.616953981614884,-0.22770403904125436,-26.55021731401286
