tau_days,ATM_IV_BS,ATM_IV_SH,ATM_IV_DH,ATM_IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
25.974937343358395,19.803940341115403,19.273443623692604,19.851035596676756,19.84600240010417,-0.04709525556135219,-0.5775919729841519,-0.005033196572586718
26.25814536340852,19.803165517109377,19.2760170343773,19.85032036031426,19.845118320907215,-0.047154843204882724,-0.5743033259369597,-0.0052020394070453335
26.541353383458645,19.802407199181705,19.278588193530563,19.8496210403112,19.844251476664528,-0.04721384112949423,-0.5710328467806356,-0.005369563646670628
26.82456140350877,19.80166486544639,19.281157103213662,19.8489375327696,19.84340186682748,-0.04727266732320956,-0.5677804295559383,-0.005535665942119294
27.107769423558896,19.800938015788557,19.283723765486865,19.848269734336377,19.842569489548918,-0.047331718547820145,-0.5645459688495116,-0.005700244787458786
27.39097744360902,19.800226170742192,19.286288182408992,19.84761754220141,19.84175434117504,-0.04739137145921646,-0.5613293597924169,-0.005863201026368614
27.674185463659146,19.79952887043428,19.288850356037813,19.846980854095634,19.840956415787236,-0.047451983661353836,-0.558130498057821,-0.006024438308397606
27.95739348370927,19.798845673594773,19.291410288429283,19.846359568288502,19.84017570479659,-0.04751389469372924,-0.554949279859219,-0.006183863491912689
28.240601503759397,19.79817615662506,19.29396798163835,19.845753583585815,19.839412196589763,-0.0475774269607534,-0.551785601947465,-0.006341386996052023
28.523809523809522,19.797519912722052,19.296523437718868,19.845162799328484,19.83866587622535,-0.047642886606432455,-0.5486393616096166,-0.0064969231031355434
28.807017543859647,19.79687655105424,19.299076658723134,19.84458711538934,19.83793672518123,-0.04771056433510168,-0.5455104566662072,-0.006650390208111645
29.090225563909772,19.796245695985093,19.30162764670192,19.844026432172516,19.837224721148715,-0.0477807361874234,-0.5423987854705956,-0.006801711023801005
29.373433583959898,19.795626986342093,19.30417640370522,19.843480650609852,19.83652983787283,-0.047853664267758944,-0.5393042469046314,-0.006950812737020584
29.656641604010023,19.79502007472697,19.306722931781163,19.8429496721602,19.835852045035356,-0.04792959743322811,-0.5362267403790355,-0.0070976271248426315
29.939849624060148,19.79440393761617,19.309267232976886,19.84243339880689,19.835191308177397,-0.04802946119071905,-0.5331661658300035,-0.007242090629492992
30.223057644110273,19.79363520813647,19.311809309338106,19.841931733055883,19.834547588658445,-0.04829652491941161,-0.5301224237177777,-0.007384144397438064
