S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
74.8,365.0,0.6978322187913273,0.5963820578955601,0.5879499299902158,0.5883809027670641,0.1098822888011115,0.008432127905344311,0.00043097277684833735
74.92,365.0,0.7100943039596946,0.6079349437075099,0.5994046729045102,0.599836005554906,0.11068963105518448,0.008530270802999729,0.0004313326503958548
75.04,365.0,0.722519844562291,0.6196585764816263,0.6110294866113727,0.6114611870715763,0.11149035795091833,0.00862908987025357,0.0004317004602035768
75.16,365.0,0.735110150928475,0.6315544801593521,0.6228258954768402,0.6232579760927955,0.11228425545163478,0.00872858468251192,0.00043208061595534364
75.28,365.0,0.7478665322096935,0.6436241770174453,0.6347954222833011,0.6352278998367649,0.11307110992639235,0.00882875473414424,0.0004324775534637615
75.4,365.0,0.7607902962381204,0.6558691874588802,0.6469395880218215,0.6473724837506961,0.11385070821629895,0.008929599437058733,0.000432895728874616
75.52,365.0,0.7738827493853921,0.668291029804094,0.659259911684776,0.6596932512976188,0.1146228377006161,0.009031118119318005,0.0004333396128427536
75.64,365.0,0.7871451964215994,0.6808912200824461,0.6717579100587768,0.6721917237434608,0.11538728636282258,0.009133310023669239,0.0004338136846839813
75.76,365.0,0.8005789403743118,0.6936712718242478,0.6844350975181053,0.6848694199445365,0.11614384285620649,0.009236174306142542,0.0004343224264312662
75.88,365.0,0.8141852823878226,0.7066326958531941,0.6972929858184146,0.6977278561354231,0.11689229656940803,0.009339710034779514,0.00043487031700850665
76.0,365.0,0.8279655215826738,0.7197770000793091,0.7103330838912465,0.7107685457173892,0.11763243769142728,0.009443916188062618,0.00043546182614273565
76.12,365.0,0.8419209549153709,0.7331056892924992,0.723556897638802,0.7239929990473458,0.11836405727656885,0.009548791653697153,0.00043610140854377644
76.24,365.0,0.8560528770384053,0.7466202649568362,0.7369659297295598,0.7374027232274365,0.1190869473088455,0.009654335227276434,0.0004367934978767307
76.36,365.0,0.8703625801606473,0.760322225005396,0.7505616793945813,0.7509992218953605,0.11980090076606598,0.009760545610814741,0.00043754250077920886
76.48,365.0,0.8848513539079148,0.774213063636014,0.7643456422244238,0.7647839950153981,0.120505711683491,0.00986742141159025,0.0004383527909742613
76.6,365.0,0.899520485184097,0.7882942711077546,0.7783193099669818,0.7787585386702607,0.12120117521711515,0.009974961140772787,0.0004392287032788378
76.72,365.0,0.9143712580326249,0.802567333538338,0.7924841703261758,0.792924344853889,0.12188708770644907,0.010083163212162183,0.00044017452771316634
76.84,365.0,0.9294049534982242,0.8170337327024416,0.8068417067614931,0.8072829012650904,0.12256324673673102,0.01019202594094848,0.0004411945035972531
76.96,365.0,0.9446228494894047,0.8316949458310595,0.8213933982885251,0.8218356911022482,0.12322945120087958,0.010301547542534428,0.0004422928137230997
77.08,365.0,0.960026220641123,0.8465524454117996,0.8361407192805739,0.8365841928590891,0.1238855013605491,0.010411726131225763,0.00044347357851526326
77.2,365.0,0.975616338178229,0.8616076989904152,0.8510851392712718,0.8515298801215342,0.12453119890695719,0.010522559719143398,0.00044474085026235954
77.32,365.0,0.9913944697792263,0.876862168973368,0.8662281227583192,0.8666742213657417,0.12516634702090712,0.01063404621504882,0.00044609860742250707
77.44,365.0,1.0073618794408181,0.8923173124316616,0.8815711290084518,0.8820186797574279,0.12579075043236632,0.010746183423209765,0.0004475507489760666
77.56,365.0,1.0235198273428083,0.9079745809058763,0.8971156118635659,0.897564712952388,0.1264042154792424,0.010858969042310429,0.00044910108882212363
77.68,365.0,1.0398695697138212,0.9238354202125976,0.9128630195482073,0.9133137728984629,0.1270065501656139,0.010972400664390314,0.00045075335025568375
77.8,365.0,1.0564123586975833,0.9399012702520828,0.9288147944782663,0.9292673056388498,0.127597564219317,0.011086475773816495,0.00045251116058353524
77.92,365.0,1.0731494422198737,0.9561735648173931,0.9449723730711787,0.9454267511168652,0.1281770691486951,0.011201191746214478,0.0004543780456865987
78.03999999999999,365.0,1.0900820638561852,0.972653731405003,0.96133718555738,0.9617935429822484,0.1287448782988052,0.011316545847622983,0.00045635742486838105
78.16,365.0,1.107211462700107,0.9893431910268246,0.9779106557934323,0.9783691083990068,0.12930080690667478,0.011432535233392271,0.00045845260557453305
78.28,365.0,1.1245388732324566,1.006243358023874,0.9946942010764367,0.9951548678548555,0.1298446721560199,0.011549156947437411,0.00046066677841882786
78.4,365.0,1.142065525191226,1.0233556398813954,1.0116892319601618,1.012152234972346,0.13037629323106414,0.011666407921233635,0.00046300301218415996
78.52,365.0,1.159792643442174,1.0406814370458057,1.028897152072742,1.0293626163217093,0.13089549136943202,0.01178428497306383,0.0004654642489674288
78.64,365.0,1.1777214478505287,1.058222142743102,1.0463193579359187,1.0467874112354039,0.13140208991461,0.01190278480718332,0.0004680532994851827
78.76,365.0,1.195853153153187,1.0759791427991525,1.063957238786088,1.0644280116245477,0.13189591436709902,0.012021904013064466,0.00047077283845964324
78.88,365.0,1.2141889688320693,1.0939538154616684,1.081812176397024,1.0822858017971135,0.1323767924350452,0.012141639064644272,0.0004736254000894391
79.0,365.0,1.2327300989881818,1.112147531224028,1.099885544904319,1.1003621582781224,0.13284455408386275,0.012261986319709095,0.00047661337380344726
79.12,365.0,1.2514777422167194,1.1305616526508586,1.1181787106316838,1.1186584496316703,0.13329903158503553,0.01238294201917478,0.0004797389999864343
79.24,365.0,1.2704330914830277,1.1491975342055913,1.1366930319190927,1.137176036285023,0.1337400595639351,0.012504502286498687,0.00048300436593029517
