tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
108.47368421052632,4.333697017449828,4.333586825104802,4.35224462377779,4.3518510974411,-0.01854760632796193,-0.018657798672988335,-0.00039352633668965353
110.28571428571428,4.371076078418973,4.3723909055605965,4.390134990398698,4.38978256004019,-0.01905891197972487,-0.017744084838101415,-0.0003524303585082933
112.09774436090225,4.408705698958082,4.41092966548986,4.427770273254916,4.427457413373184,-0.01906457429683428,-0.016840607765056248,-0.0003128598817321304
113.90977443609022,4.446097024402423,4.449209403739863,4.46515674445771,4.464881905002457,-0.01905972005528689,-0.015947340717847425,-0.00027483945525297315
115.7218045112782,4.483175220635288,4.487236162675728,4.502300409744597,4.502062025171538,-0.019125189109309382,-0.015064247068869108,-0.00023838457305913607
117.53383458646616,4.519947993727302,4.525015742433769,4.539207023989899,4.5390035215840925,-0.019259030262596788,-0.014191281556129809,-0.0002035024058066881
119.34586466165413,4.556422738515731,4.562553714180984,4.57588210559976,4.575711913073849,-0.01945936708402929,-0.013328391418776064,-0.00017019252591143896
121.1578947368421,4.592606555925394,4.599855432463695,4.612330949885579,4.612192502266824,-0.019724393960185438,-0.012475517421884241,-0.00013844761875514422
122.96992481203007,4.628506269069549,4.636926046720324,4.648558641501143,4.648450387326883,-0.020052372431594634,-0.011632594780818906,-0.0001082541742603027
124.78195488721805,4.664128438234139,4.673770512026265,4.684570066020067,4.684490472867181,-0.020441627785928063,-0.010799553993801503,-7.959315288541546e-05
126.59398496240601,4.6994793748385835,4.710393599132118,4.720369920723511,4.720317480101113,-0.020890545884927114,-0.009976321591392612,-5.244062239739833e-05
128.406015037594,4.7347918870194405,4.746799903851262,4.7559627246612335,4.755935956299687,-0.02117083764179295,-0.009162820809971883,-2.6768361546913866e-05
130.21804511278197,4.770276065916046,4.782993855847084,4.791352828043616,4.7913502836146815,-0.021076762127569815,-0.008358972196531589,-2.544428934214693e-06
132.03007518796994,4.80549699172268,4.818979726866168,4.826544421016776,4.826564687321788,-0.02104742929409653,-0.007564694150608453,2.0266305011951147e-05
133.8421052631579,4.840460411060227,4.85476163845921,4.861541541868419,4.8615832435318165,-0.021081130808192405,-0.006779903409209531,4.1701663397120114e-05
