S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
73.72,90.0,0.0023400474091160146,0.0010258276602832161,0.00017131983756397279,0.0001725625392176706,0.002168727571552042,0.0008545078227192433,1.2427016536978026e-06
73.84,90.0,0.0024853612396890227,0.0010987357828573625,0.00018786354737493775,0.00018928264478879027,0.002297497692314085,0.0009108722354824248,1.4190974138525187e-06
73.96,90.0,0.0026388082776684528,0.0011763840017325444,0.00020588522615714715,0.0002074999910182154,0.0024329230515113057,0.0009704987755753973,1.6147648610682409e-06
74.08,90.0,0.0028007886417835354,0.0012590484897329582,0.00022550513248783622,0.0002273365038395877,0.002575283509295699,0.001033543357245122,1.8313713517514765e-06
74.2,90.0,0.0029717190189442193,0.0013470193584488876,0.00024685222466265365,0.000248922915884899,0.0027248667942815657,0.001100167133786234,2.070691222245361e-06
74.32,90.0,0.00315203319083031,0.001440601228454945,0.00027006469707820184,0.00027239930659119405,0.002881968493752108,0.0011705365313767432,2.3346095129922104e-06
74.44,90.0,0.0033421825698507234,0.0015401138155137024,0.00029529054260868924,0.0002979156678858093,0.003046892027242034,0.0012448232729050132,2.625125277120081e-06
74.56,90.0,0.003542636744326353,0.001645892532578324,0.0003226881411776011,0.00032563249611699765,0.003219948603148752,0.001323204391400723,2.9443549393965633e-06
74.68,90.0,0.003753884032717689,0.001758289107568249,0.0003524268756662014,0.00035572141087517446,0.003401457157051488,0.0014058622319020474,3.2945352089730462e-06
74.8,90.0,0.003976432046715727,0.0018776722170054786,0.0003846877755975464,0.00038836580132719796,0.0035917442711181804,0.0014929844414079323,3.678025729651551e-06
74.92,90.0,0.004210808262989425,0.0020044281355853246,0.0004196641891476134,0.0004237615006588781,0.0037911440738418118,0.001584763946437711,4.097311511264698e-06
75.04,90.0,0.004457560603363746,0.0021389614012712935,0.0004575624843826547,0.00046211748918945143,0.003999998118981092,0.0016813989168886388,4.5550048067967246e-06
75.16,90.0,0.004717258023195766,0.0022816954961928392,0.0004986027800330235,0.0005036566266897167,0.0042186552431627425,0.0017830927161598157,5.053846656693194e-06
75.28,90.0,0.004990491107684288,0.0024330735430274667,0.0005430197063160645,0.0005486164143964122,0.004447471401368224,0.0018900538367114022,5.596708080347684e-06
75.4,90.0,0.00527787267583944,0.002593559016739935,0.0005910631967619635,0.0005972497871759937,0.004686809479077477,0.0020024958199779718,6.186590414030205e-06
75.52,90.0,0.005580038391819338,0.0027636364715950277,0.000642999310754154,0.000649825936246002,0.004937039081065184,0.0021206371608408735,6.826625491848019e-06
75.64,90.0,0.0058976473833155805,0.0029438122831189355,0.0006991110879375109,0.0007066311628132849,0.005198536295378069,0.002244701195181425,7.520074875773993e-06
75.76,90.0,0.006231382866666551,0.003134615404757319,0.0007596994342879132,0.0007679697629393292,0.005471683432378638,0.002374915970469406,8.270328651415978e-06
75.88,90.0,0.006581952778332957,0.0033365981391684538,0.0008250840404510741,0.0008341649438830738,0.005756868737881883,0.0025115140987173796,9.080903431999635e-06
76.0,90.0,0.006950090412386744,0.0035503369235438892,0.0008956043326011623,0.0009055597721189169,0.006054486079785581,0.002654732590942727,9.955439517754625e-06
76.12,90.0,0.007336555063604345,0.0037764331287984546,0.0009716204557276414,0.0009825181531584342,0.006364934607876703,0.0028048126730708133,1.089769743079286e-05
76.24,90.0,0.007742132675774728,0.004015513872210168,0.0010535142896966,0.0010654258432433409,0.006688618386078128,0.0029619995825135676,1.1911553546740863e-05
76.36,90.0,0.008167636494790497,0.004268232843104106,0.001141690498164313,0.0011546914929048133,0.007025945996626185,0.003126542344939793,1.3000994740500248e-05
