S,x,tau_days,IV_BS,IV_SH,IV_DH,IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
79.0,-0.23572233352106983,30.0,19.79423945619525,18.214232925286026,15.137025134464427,15.098940677350923,4.657214321730823,3.0772077908216,-0.038084457113503944
79.15,-0.2338253996610701,30.0,19.794239456195033,18.217598342072204,15.15421362830246,15.116751679966562,4.640025827892574,3.0633847137697447,-0.03746194833589733
79.3,-0.23193205734728917,30.0,19.79423945619491,18.221048069641085,15.171693601324518,15.134793530529297,4.62254585487039,3.049354468316567,-0.036900070795221396
79.45,-0.2300422930053664,30.0,19.79423945619496,18.224581866112924,15.189467777373439,15.153078519122442,4.604771678821519,3.035114088739485,-0.03638925825099726
79.6,-0.22815609313775412,30.0,19.794239456194866,18.22819949386254,15.207538824990632,15.171618247879854,4.586700631204234,3.0206606688719084,-0.035920577110777785
79.75,-0.22627344432313742,30.0,19.794239456194887,18.23190069422815,15.225909128116491,15.190423573191792,4.568330328078396,3.005991566111657,-0.035485554924699514
79.9,-0.22439433321586233,30.0,19.794239456194926,18.235685209618683,15.244580486370356,15.209504576442564,4.54965896982457,2.991104723248327,-0.03507590992779264
80.05,-0.22251874654536768,30.0,19.79423945619469,18.23955276953133,15.263555022503617,15.228870556082008,4.530684433691071,2.975997747027712,-0.03468446642160927
80.2,-0.2206466711156225,30.0,19.794239456194642,18.243503097602048,15.282834487539946,15.248530035325972,4.511404968654697,2.9606686100621022,-0.03430445221397349
80.35,-0.21877809380456978,30.0,19.794239456194624,18.24753590727932,15.302420584556847,15.268490780975657,4.491818871637777,2.945115322722474,-0.03392980358118969
80.5,-0.21691300156357363,30.0,19.79423945619459,18.251650905039487,15.322314794111906,15.288759829840021,4.471924662082683,2.929336110927581,-0.0335549642718842
80.65,-0.21505138141687336,30.0,19.794239456194774,18.255847790901726,15.342518679355772,15.309343520030241,4.451720776839002,2.913329111545954,-0.0331751593255305
80.8,-0.21319322046104175,30.0,19.794239456194916,18.260126255876298,15.36303357961215,15.330247525004706,4.431205876582766,2.8970926762641476,-0.03278605460744366
80.95,-0.21133850586444725,30.0,19.794239456194767,18.2644859814897,15.38386083037954,15.351476888784477,4.410378625815227,2.8806251511101593,-0.03238394159506264
81.1,-0.2094872248667242,30.0,19.79423945619507,18.268926644359627,15.40500160357591,15.373036061124528,4.389237852619159,2.863925040783718,-0.03196554245138117
81.25,-0.2076393647782445,30.0,19.794239456195015,18.27344791143734,15.426457006784933,15.394928931770343,4.3677824494100825,2.846990904652408,-0.031528075014589874
81.4,-0.20579491297959668,30.0,19.794239456194607,18.27804944313224,15.44822809641172,15.41715886316638,4.346011359782887,2.8298213467205198,-0.031069233245339944
81.55,-0.2039538569210685,30.0,19.794239456194695,18.28273089152232,15.470315809898564,15.439728721198023,4.323923646296132,2.8124150816237563,-0.030587088700540832
81.7,-0.20211618412213408,30.0,19.794239456194376,18.287491901165197,15.49272097567617,15.462640903680885,4.301518480518206,2.7947709254890274,-0.030080071995284285
81.85,-0.20028188217094758,30.0,19.79423945619486,18.292332109926566,15.51544435883166,15.485897366462185,4.278795097363199,2.7768877510949057,-0.029546992369475333
