arm,model,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
SHARED,ensemble,365-730d,1.670968023793878e-05,1.2280228726977267e-05,3.271752626793356e-05,0.00012333108985107533,1.670968023793878e-05,0.0051216142268573316,611,611
SHARED,seed_17,all,1.138877029141665e-05,7.198678369352397e-06,2.434170807493266e-05,0.0001378414659702898,1.138877029141665e-05,0.11867122261097662,3790,4096
SHARED,seed_17,7-30d,7.404380531263221e-06,3.1800827715453517e-06,1.7470617466879975e-05,6.806318770501141e-05,7.404380531263221e-06,0.22280783288552894,1000,1283
SHARED,seed_17,30-90d,1.0605191854678584e-05,6.744241562520218e-06,2.3026776730543717e-05,5.786944179481633e-05,1.0605191854678584e-05,0.06014432652519075,945,968
SHARED,seed_17,90-365d,1.1535935710835404e-05,8.891153242460803e-06,2.283352607921757e-05,6.45078124654197e-05,1.1535935710835404e-05,0.01546325688073957,1234,1234
SHARED,seed_17,365-730d,1.7533628734560698e-05,1.2938840378491871e-05,3.319262669869427e-05,0.0001378414659702898,1.7533628734560698e-05,0.005314125280881015,611,611
SHARED,seed_43,all,1.3496581220554583e-05,8.541506937625102e-06,2.9101868082470617e-05,0.00010882071373186086,1.3496581220554583e-05,0.1204129879977623,3788,4096
SHARED,seed_43,7-30d,8.339911391757212e-06,3.6826131325407013e-06,1.8205120083231847e-05,9.034736614725591e-05,8.339911391757212e-06,0.2244262788549346,997,1283
SHARED,seed_43,30-90d,1.1878438327993065e-05,7.378116463535608e-06,2.677550875160379e-05,5.7085695632945466e-05,1.1878438327993065e-05,0.06779804687439374,946,968
SHARED,seed_43,90-365d,1.4896367931892104e-05,1.1380066718111094e-05,3.0360731429244395e-05,6.0081090541674875e-05,1.4896367931892104e-05,0.01653945982543282,1234,1234
SHARED,seed_43,365-730d,2.008456111054281e-05,1.4854665631114804e-05,3.99599871314521e-05,0.00010882071373186086,2.008456111054281e-05,0.005907517445162297,611,611
MULTISCALE,ensemble,all,1.0712835746502343e-05,6.7656651540999345e-06,2.276098155875282e-05,0.00012074038036918866,1.0712835746502343e-05,0.11568803580959261,3789,4096
MULTISCALE,ensemble,7-30d,7.023306282180392e-06,3.0542654481722252e-06,1.5551662053722067e-05,7.762606767167113e-05,7.023306282180392e-06,0.21854725565123045,998,1283
MULTISCALE,ensemble,30-90d,9.627088916182029e-06,6.11128852535407e-06,2.194831880336935e-05,4.382500696227098e-05,9.627088916182029e-06,0.05447725737201718,946,968
MULTISCALE,ensemble,90-365d,1.0940092801155536e-05,8.41133135974238e-06,2.1463122670504344e-05,6.0531122958118466e-05,1.0940092801155536e-05,0.013364115111184327,1234,1234
MULTISCALE,ensemble,365-730d,1.6650021160289095e-05,1.227206499300087e-05,3.3020196574112815e-05,0.00012074038036918866,1.6650021160289095e-05,0.005059438628642679,611,611
MULTISCALE,seed_17,all,1.1450770666929513e-05,7.237165811517179e-06,2.4327599825832436e-05,0.00013209614505804712,1.1450770666929513e-05,0.11891681237257837,3790,4096
MULTISCALE,seed_17,7-30d,7.469172885647119e-06,3.2241320102083655e-06,1.769136037883672e-05,6.765188427468316e-05,7.469172885647119e-06,0.22331693469367805,1000,1283
MULTISCALE,seed_17,30-90d,1.0622001986188023e-05,6.7373936876401525e-06,2.2776653276727896e-05,6.164521870355433e-05,1.0622001986188023e-05,0.060071005145047436,945,968
MULTISCALE,seed_17,90-365d,1.166795556940087e-05,9.036537024017138e-06,2.3211427039485088e-05,6.201720479342976e-05,1.166795556940087e-05,0.015546434947790667,1234,1234
MULTISCALE,seed_17,365-730d,1.7554066063259286e-05,1.2821581043542097e-05,3.405305516906987e-05,0.00013209614505804712,1.7554066063259286e-05,0.005184291343903132,611,611
MULTISCALE,seed_43,all,1.353859740700158e-05,8.590764915112172e-06,2.906565610599071e-05,0.0001093846156803302,1.353859740700158e-05,0.11924852756686778,3788,4096
MULTISCALE,seed_43,7-30d,8.436199506682103e-06,3.751634307565802e-06,1.8826047733443838e-05,8.760025106867297e-05,8.436199506682103e-06,0.22222586439311884,997,1283
MULTISCALE,seed_43,30-90d,1.1998163068470808e-05,7.470032998121583e-06,2.7259598329342277e-05,5.863568838083283e-05,1.1998163068470808e-05,0.06725026195330755,946,968
MULTISCALE,seed_43,90-365d,1.4787118766136002e-05,1.1311564763414009e-05,3.006302304275238e-05,5.904504112275166e-05,1.4787118766136002e-05,0.016355726616997742,1234,1234
MULTISCALE,seed_43,365-730d,2.0239396175829353e-05,1.5032673347721698e-05,3.974918800808171e-05,0.0001093846156803302,2.0239396175829353e-05,0.005931160649852946,611,611
