case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_02,rich,0.0,seed_17/repaired,encoder,60,30,0,0,0,0.0015911626201822017,0.009530719946425686,0.8194424202688388,2.34366551064652,False,False,0.004678042001614813,9.2148511043888e-15,8.244073419804224e-15,False
905101_02,rich,0.0,seed_17/repaired,refined,60,30,0,0,0,0.001105613612191607,0.005749176996859069,0.5594405421242234,1.1831193670727673,False,False,0.3289928750018589,9.2148511043888e-15,8.176641126873309e-15,False
905101_02,rich,0.0,seed_29/repaired,encoder,60,30,0,0,0,0.00164710483588856,0.010284001917148561,0.8081409976656644,2.3494249251618355,False,False,0.004511375002039131,9.2148511043888e-15,8.39850361971468e-15,False
905101_02,rich,0.0,seed_29/repaired,refined,60,30,0,0,0,0.0003892623420211694,0.0010736567741447386,0.19181006337006262,0.5976548087982434,False,False,0.3267334589982056,9.2148511043888e-15,8.033085135939703e-15,False
905101_02,rich,0.0,seed_43/repaired,encoder,60,30,0,0,0,0.0016051244176687339,0.0098349962414418,0.8168487897259755,2.343106172005725,False,False,0.005252332994132303,9.2148511043888e-15,8.27669774080067e-15,False
905101_02,rich,0.0,seed_43/repaired,refined,60,30,0,0,0,0.0011036647033708027,0.006345274545644159,0.5352645747258762,1.0884415834296846,False,False,0.33027975000004517,9.2148511043888e-15,8.343037361229627e-15,False
905101_02,rich,0.0,seed_43/repaired,hybrid_polish,60,30,0,0,0,9.52643032506485e-17,1.6083157478574168e-12,1.0856695079558519e-12,2.878839284775648e-12,True,True,7.19570016599755,9.2148511043888e-15,8.364785779183329e-15,False
905101_02,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0,0.0017996742717593353,0.011296179353586863,0.7927750586076062,2.2727403574994702,False,False,0.004345542001829017,9.2148511043888e-15,8.321287249210031e-15,False
905101_02,rich,0.01,unified_v6/unified,refined,60,30,0,0,0,0.0006937050986905385,0.003146021829830095,0.29774589019160896,0.7491770526012155,False,False,0.33425549999810755,9.2148511043888e-15,8.27669774080067e-15,False
905101_02,rich,0.01,seed_17/repaired,encoder,60,30,0,0,0,0.0015517633255675498,0.0090742526626088,0.8188518480701301,2.346176455326102,False,False,0.004713125003036112,9.2148511043888e-15,8.265822684790872e-15,False
