case,geometry,noise,model,arm,parameter,true,estimated,absolute_error
905101_00,rich,0.01,unified_v6/unified,encoder,rho_slow,-0.39058756248758686,-0.3496552935015476,0.040932268986039244
905101_00,rich,0.01,unified_v6/unified,encoder,v0_slow,0.0520946267116691,0.06728399944235615,0.015189372730687052
905101_00,rich,0.01,unified_v6/unified,encoder,kappa_fast,8.066470891631734,7.232688539702999,0.8337823519287353
905101_00,rich,0.01,unified_v6/unified,encoder,theta_fast,0.07812599327953584,0.05970232512318511,0.018423668156350735
905101_00,rich,0.01,unified_v6/unified,encoder,sigma_fast,0.4195628559849137,0.4606563044250315,0.04109344844011781
905101_00,rich,0.01,unified_v6/unified,encoder,rho_fast,-0.22326062210053133,0.0025291751782745044,0.22578979727880583
905101_00,rich,0.01,unified_v6/unified,encoder,v0_fast,0.08938647236998075,0.0703617038110367,0.019024768558944055
905101_00,rich,0.01,unified_v6/unified,refined,kappa_slow,0.4515711432074293,0.4824161868165801,0.030845043609150802
905101_00,rich,0.01,unified_v6/unified,refined,theta_slow,0.031871077108963926,0.051539487667598624,0.0196684105586347
905101_00,rich,0.01,unified_v6/unified,refined,sigma_slow,0.036660762881715,0.09016952042544084,0.05350875754372584
905101_00,rich,0.01,unified_v6/unified,refined,rho_slow,-0.39058756248758686,-0.24988287036220208,0.14070469212538478
905101_00,rich,0.01,unified_v6/unified,refined,v0_slow,0.0520946267116691,0.0720613163522115,0.0199666896405424
905101_00,rich,0.01,unified_v6/unified,refined,kappa_fast,8.066470891631734,12.248799921311349,4.1823290296796145
905101_00,rich,0.01,unified_v6/unified,refined,theta_fast,0.07812599327953584,0.0588394930023565,0.019286500277179347
905101_00,rich,0.01,unified_v6/unified,refined,sigma_fast,0.4195628559849137,0.45513444637233574,0.035571590387422025
905101_00,rich,0.01,unified_v6/unified,refined,rho_fast,-0.22326062210053133,-0.1658938249707264,0.057366797129804914
905101_00,rich,0.01,unified_v6/unified,refined,v0_fast,0.08938647236998075,0.068148348671842,0.021238123698138753
905101_00,rich,0.01,seed_17/repaired,encoder,kappa_slow,0.4515711432074293,0.4528088476325078,0.0012377044250784786
905101_00,rich,0.01,seed_17/repaired,encoder,theta_slow,0.031871077108963926,0.05726994590466925,0.025398868795705326
905101_00,rich,0.01,seed_17/repaired,encoder,sigma_slow,0.036660762881715,0.11131739096831075,0.07465662808659576
905101_00,rich,0.01,seed_17/repaired,encoder,rho_slow,-0.39058756248758686,-0.37165169515100216,0.0189358673365847
905101_00,rich,0.01,seed_17/repaired,encoder,v0_slow,0.0520946267116691,0.06587476370365646,0.013780136991987359
905101_00,rich,0.01,seed_17/repaired,encoder,kappa_fast,8.066470891631734,6.634890153668032,1.4315807379637029
905101_00,rich,0.01,seed_17/repaired,encoder,theta_fast,0.07812599327953584,0.05868911748501464,0.019436875794521205
905101_00,rich,0.01,seed_17/repaired,encoder,sigma_fast,0.4195628559849137,0.4359741804151314,0.0164113244302177
905101_00,rich,0.01,seed_17/repaired,encoder,rho_fast,-0.22326062210053133,-0.031158625749678353,0.19210199635085298
905101_00,rich,0.01,seed_17/repaired,encoder,v0_fast,0.08938647236998075,0.06888659351753722,0.02049987885244353
905101_00,rich,0.01,seed_17/repaired,refined,kappa_slow,0.4515711432074293,0.4557446635978979,0.004173520390468588
905101_00,rich,0.01,seed_17/repaired,refined,theta_slow,0.031871077108963926,0.05234505348270857,0.020473976373744644
905101_00,rich,0.01,seed_17/repaired,refined,sigma_slow,0.036660762881715,0.0845517487353159,0.0478909858536009
905101_00,rich,0.01,seed_17/repaired,refined,rho_slow,-0.39058756248758686,-0.2611658703938137,0.12942169209377313
905101_00,rich,0.01,seed_17/repaired,refined,v0_slow,0.0520946267116691,0.07327881626828495,0.02118418955661585
905101_00,rich,0.01,seed_17/repaired,refined,kappa_fast,8.066470891631734,11.301296208480979,3.2348253168492445
905101_00,rich,0.01,seed_17/repaired,refined,theta_fast,0.07812599327953584,0.05743551705369249,0.02069047622584335
905101_00,rich,0.01,seed_17/repaired,refined,sigma_fast,0.4195628559849137,0.44482356624828734,0.02526071026337362
905101_00,rich,0.01,seed_17/repaired,refined,rho_fast,-0.22326062210053133,-0.1684038966958119,0.05485672540471942
905101_00,rich,0.01,seed_17/repaired,refined,v0_fast,0.08938647236998075,0.066679756156691,0.02270671621328975
905101_00,rich,0.01,seed_29/repaired,encoder,kappa_slow,0.4515711432074293,0.4597454518418571,0.008174308634427807
905101_00,rich,0.01,seed_29/repaired,encoder,theta_slow,0.031871077108963926,0.05832241772446052,0.026451340615496595
905101_00,rich,0.01,seed_29/repaired,encoder,sigma_slow,0.036660762881715,0.11119023092825112,0.07452946804653612
905101_00,rich,0.01,seed_29/repaired,encoder,rho_slow,-0.39058756248758686,-0.3735769980395655,0.017010564448021348
905101_00,rich,0.01,seed_29/repaired,encoder,v0_slow,0.0520946267116691,0.06722640823124951,0.01513178151958041
905101_00,rich,0.01,seed_29/repaired,encoder,kappa_fast,8.066470891631734,6.896776801636498,1.1696940899952368
905101_00,rich,0.01,seed_29/repaired,encoder,theta_fast,0.07812599327953584,0.06018318138983625,0.017942811889699595
905101_00,rich,0.01,seed_29/repaired,encoder,sigma_fast,0.4195628559849137,0.44845612199382995,0.02889326600891623
905101_00,rich,0.01,seed_29/repaired,encoder,rho_fast,-0.22326062210053133,-0.045918654797629126,0.1773419673029022
905101_00,rich,0.01,seed_29/repaired,encoder,v0_fast,0.08938647236998075,0.07277561398441001,0.016610858385570734
905101_00,rich,0.01,seed_29/repaired,refined,kappa_slow,0.4515711432074293,0.46390103810952105,0.012329894902091743
905101_00,rich,0.01,seed_29/repaired,refined,theta_slow,0.031871077108963926,0.050146514587930305,0.01827543747896638
905101_00,rich,0.01,seed_29/repaired,refined,sigma_slow,0.036660762881715,0.08377076273245994,0.04710999985074494
905101_00,rich,0.01,seed_29/repaired,refined,rho_slow,-0.39058756248758686,-0.26958713115457467,0.12100043133301219
