case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,quote,holdout,strike,tau,true_price_spot,observed_price_spot,true_iv,observed_iv
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,13,False,1.06,0.0821917808219178,0.031273011891893784,0.031273011891893784,0.47804687240024674,0.47804687240024674
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,14,True,1.08,0.0821917808219178,0.025646654335485825,0.025646654335485825,0.479203013144083,0.479203013144083
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,15,False,1.1,0.0821917808219178,0.020892121714040677,0.020892121714040677,0.4804120713520931,0.4804120713520931
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,16,False,1.12,0.0821917808219178,0.01691189037651064,0.01691189037651064,0.48167050536166556,0.48167050536166556
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,17,True,1.1400000000000001,0.0821917808219178,0.013609202572587891,0.013609202572587891,0.48297488346880124,0.48297488346880124
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,18,False,1.16,0.0821917808219178,0.010891324685790467,0.010891324685790467,0.48432188206329563,0.48432188206329563
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,19,False,1.18,0.0821917808219178,0.008671892583130112,0.008671892583130112,0.4857082844658847,0.4857082844658847
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,20,True,1.2,0.0821917808219178,0.006872407731472474,0.006872407731472474,0.48713098036875757,0.48713098036875757
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,21,False,0.8,0.1643835616438356,0.21036040874721104,0.21036040874721104,0.47337701683497485,0.47337701683497485
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,22,False,0.8200000000000001,0.1643835616438356,0.19354531435691794,0.19354531435691794,0.47359437558774725,0.47359437558774725
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,23,True,0.8400000000000001,0.1643835616438356,0.17739617861602328,0.17739617861602328,0.4738944118200938,0.4738944118200938
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,24,False,0.86,0.1643835616438356,0.1619736385010519,0.1619736385010519,0.47427252979626805,0.47427252979626805
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,25,False,0.88,0.1643835616438356,0.1473295531051707,0.1473295531051707,0.4747243577877693,0.4747243577877693
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,26,True,0.9,0.1643835616438356,0.13350537657399722,0.13350537657399722,0.4752457330856309,0.4752457330856309
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,27,False,0.92,0.1643835616438356,0.12053108461215473,0.12053108461215473,0.47583268877320917,0.47583268877320917
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,28,False,0.9400000000000001,0.1643835616438356,0.10842467751647528,0.10842467751647528,0.47648144197027975,0.47648144197027975
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,29,True,0.96,0.1643835616438356,0.09719223563357526,0.09719223563357526,0.47718838330642555,0.47718838330642555
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,30,False,0.98,0.1643835616438356,0.0868284652571064,0.0868284652571064,0.47795006742363305,0.47795006742363305
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,31,False,1.0,0.1643835616438356,0.07731764665221602,0.07731764665221602,0.47876320434487485,0.47876320434487485
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,32,True,1.02,0.1643835616438356,0.06863488161222324,0.06863488161222324,0.4796246515769929,0.4796246515769929
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,33,False,1.04,0.1643835616438356,0.060747534698773566,0.060747534698773566,0.4805314068427431,0.4805314068427431
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,34,False,1.06,0.1643835616438356,0.05361676807206168,0.05361676807206168,0.4814806013587592,0.4814806013587592
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,35,True,1.08,0.1643835616438356,0.04719908206898878,0.04719908206898878,0.482469493593774,0.482469493593774
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,36,False,1.1,0.1643835616438356,0.04144778986244574,0.04144778986244574,0.4834954634552868,0.4834954634552868
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,37,False,1.12,0.1643835616438356,0.036314372320502476,0.036314372320502476,0.4845560068634847,0.4845560068634847
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,38,True,1.1400000000000001,0.1643835616438356,0.03174967671410594,0.03174967671410594,0.4856487306790599,0.4856487306790599
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,39,False,1.16,0.1643835616438356,0.02770493885394236,0.02770493885394236,0.48677134795725474,0.48677134795725474
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,40,False,1.18,0.1643835616438356,0.024132621742688237,0.024132621742688237,0.48792167350429516,0.48792167350429516
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,41,True,1.2,0.1643835616438356,0.02098707452509143,0.02098707452509143,0.4890976197149436,0.4890976197149436
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,42,False,0.8,0.2465753424657534,0.21947458807046072,0.21947458807046072,0.47589466208175624,0.47589466208175624
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,43,False,0.8200000000000001,0.2465753424657534,0.203904641062259,0.203904641062259,0.47618727985420495,0.47618727985420495
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,44,True,0.8400000000000001,0.2465753424657534,0.18898477158110769,0.18898477158110769,0.47654340269261086,0.47654340269261086
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,45,False,0.86,0.2465753424657534,0.1747447332928817,0.1747447332928817,0.476959222851056,0.476959222851056
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,46,False,0.88,0.2465753424657534,0.16120723605911857,0.16120723605911857,0.4774311385726359,0.4774311385726359
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,47,True,0.9,0.2465753424657534,0.14838772027332078,0.14838772027332078,0.47795574077640957,0.47795574077640957
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,48,False,0.92,0.2465753424657534,0.13629438052537873,0.13629438052537873,0.4785298011264109,0.4785298011264109
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,49,False,0.9400000000000001,0.2465753424657534,0.12492841075780309,0.12492841075780309,0.47915026125271887,0.47915026125271887
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,50,True,0.96,0.2465753424657534,0.11428443505335906,0.11428443505335906,0.479814222937379,0.479814222937379
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,51,False,0.98,0.2465753424657534,0.10435108385280421,0.10435108385280421,0.4805189391137314,0.4805189391137314
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,52,False,1.0,0.2465753424657534,0.09511167434027606,0.09511167434027606,0.4812618055573459,0.4812618055573459
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,53,True,1.02,0.2465753424657534,0.08654495535718329,0.08654495535718329,0.4820403531711298,0.4820403531711298
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,54,False,1.04,0.2465753424657534,0.07862588083179164,0.07862588083179164,0.4828522407869941,0.4828522407869941
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,55,False,1.06,0.2465753424657534,0.0713263806594844,0.0713263806594844,0.48369524842237416,0.48369524842237416
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,56,True,1.08,0.2465753424657534,0.06461610361812092,0.06461610361812092,0.4845672709426192,0.4845672709426192
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,57,False,1.1,0.2465753424657534,0.05846311273404937,0.05846311273404937,0.48546631209019436,0.48546631209019436
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,58,False,1.12,0.2465753424657534,0.05283451912439673,0.05283451912439673,0.48639047884938574,0.48639047884938574
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,59,True,1.1400000000000001,0.2465753424657534,0.04769704544581755,0.04769704544581755,0.4873379761210885,0.4873379761210885
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,60,False,1.16,0.2465753424657534,0.04301751450275031,0.04301751450275031,0.4883071016867168,0.4883071016867168
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,61,False,1.18,0.2465753424657534,0.03876326222477626,0.03876326222477626,0.4892962414435581,0.4892962414435581
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,62,True,1.2,0.2465753424657534,0.03490247710021923,0.03490247710021923,0.490303864896303,0.490303864896303
