case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,1,kappa,1.0753579341927177,1.2568285222121534,0.1814705880194356,0.1687536607573063,False
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,1,theta,0.10833935239367147,0.09538923519396336,0.012950117199708108,0.11953290206730621,False
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,1,sigma,0.14340845554467702,0.2281014528939238,0.08469299734924679,0.5905718531559097,False
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,1,rho,-0.33718618956602375,-0.2555925629868131,0.08159362657921065,,False
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,1,v0,0.05769610988690452,0.04230310928416847,0.015393000602736046,0.2667944274390299,False
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,2,kappa,6.328862093072324,6.17668800857668,0.15217408449564385,0.024044462062495577,True
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,2,theta,0.06831820916380042,0.07974498475699426,0.011426775593193841,0.1672581253673803,False
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,2,sigma,0.6452829765989112,0.5544343477208321,0.0908486288780791,0.140788820056767,False
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,2,rho,0.31922424643990777,0.3139053402135885,0.005318906226319253,,True
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,2,v0,0.1512929916831866,0.16657728183776424,0.015284290154577634,0.10102444260328682,False
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,1,kappa,0.6024302091043204,0.6052753848432317,0.0028451757389112986,0.004722830455566698,True
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,1,theta,0.03949462232580097,0.04020510936909058,0.0007104870432896107,0.017989462905319775,True
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,1,sigma,0.11142682841646687,0.130455837098366,0.019029008681899134,0.1707758261841274,False
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,1,rho,-0.5489899222492594,-0.4799025835506784,0.06908733869858097,,False
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,1,v0,0.018004108003773712,0.018051979635054737,4.7871631281025395e-05,0.002658928244098034,True
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,2,kappa,6.729378936786109,7.197333482071022,0.467954545284913,0.06953903914176125,False
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,2,theta,0.03979608996145861,0.03947618937351005,0.00031990058794855586,0.008038492933812608,True
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,2,sigma,0.577749142528286,0.5886276207491121,0.010878478220826104,0.018829068569830902,True
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,2,rho,-0.12256541302324692,-0.12057597477130627,0.001989438251940645,,True
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,2,v0,0.03176970560610844,0.03165762651749906,0.00011207908860938476,0.003527860471827445,True
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,1,kappa,0.4045984317984858,0.2265999847618909,0.17799844703659493,0.4399385490580665,False
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,1,theta,0.0519589371635972,0.06062104061433279,0.008662103450735585,0.1667105588296043,False
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,1,sigma,0.10739142385476062,0.03623586237204193,0.07115556148271869,0.662581414126249,False
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,1,rho,-0.14899827701567914,-0.3490594928695155,0.20006121585383635,,False
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,1,v0,0.028775421966092195,0.028615461805348914,0.00015996016074328046,0.005558916249143839,True
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,2,kappa,8.312610172663799,8.21654343196768,0.09606674069611998,0.011556747964921723,True
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,2,theta,0.07238949804424964,0.07332943205693225,0.0009399340126826083,0.012984397434391013,True
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,2,sigma,0.3638151292078294,0.3769892328660854,0.013174103658255998,0.03621098354799394,True
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,2,rho,-0.4110200380109672,-0.40427964609078426,0.006740391920182942,,True
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,2,v0,0.03125639901579696,0.031380230205620765,0.0001238311898238073,0.003961786825194519,True
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,1,kappa,0.850348306860664,0.6980093806894812,0.15233892617118283,0.17914885575957842,False
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,1,theta,0.0507385286372731,0.03513961987789046,0.015598908759382642,0.30743715236400265,False
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,1,sigma,0.12274991322956863,0.13913662019795678,0.01638670696838815,0.1334966888142845,False
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,1,rho,-0.590538791353137,-0.6202299671853893,0.029691175832252226,,True
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,1,v0,0.0757910480208969,0.060644033390235795,0.0151470146306611,0.19985229161212822,False
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,2,kappa,5.811095460801855,5.773122623087431,0.037972837714423946,0.00653454034107094,True
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,2,theta,0.022746788938476425,0.036715249787757344,0.013968460849280918,0.6140849544549615,False
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,2,sigma,0.30476761385687395,0.26043389635911324,0.044333717497760716,0.14546728550554217,False
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,2,rho,-0.02112156541038568,-0.03739107157384436,0.01626950616345868,,True
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,2,v0,0.08548859431962154,0.10070678791715201,0.015218193597530474,0.178014315460999,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,1,kappa,1.7001192490381354,1.9446785456369602,0.2445592965988248,0.14384831930888814,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,1,theta,0.03755291294734606,0.025273788083396254,0.012279124863949803,0.3269819542672147,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,1,sigma,0.08963908131729748,0.1870171665986253,0.09737808528132783,1.0863351548264581,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,1,rho,-0.33201263024262095,-0.099139768267829,0.23287286197479196,,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,1,v0,0.0642572544964002,0.05828195824219999,0.0059752962542002075,0.09299022034212423,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,2,kappa,4.416417312853087,4.191691633299831,0.22472567955325573,0.05088415872730986,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,2,theta,0.07816456424309325,0.09073647406821972,0.012571909825126473,0.16083899330683404,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,2,sigma,0.25119413410715086,0.14187502031707386,0.109319113790077,0.4351977174094567,False
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,2,rho,0.17876471226656254,0.14441573416407594,0.034348978102486605,,True
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,2,v0,0.03267024100164638,0.03868541128486645,0.006015170283220073,0.18411771994326412,False
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,1,kappa,0.5428978904922034,0.5261556600802971,0.016742230411906256,0.030838635966567073,True
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,1,theta,0.07780836877954354,0.0752433922018815,0.00256497657766204,0.03296530460533691,True
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,1,sigma,0.07422293863154324,0.042210381535218645,0.03201255709632459,0.431302743956838,False
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,1,rho,-0.38383494933036777,-0.4507917854879677,0.06695683615759995,,False
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,1,v0,0.02542771328084077,0.022737341361309123,0.0026903719195316457,0.10580471353508547,False
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,2,kappa,9.912343912927625,9.886924557219107,0.025419355708518054,0.0025644142224894224,True
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,2,theta,0.11750022094597103,0.12048308650929779,0.0029828655633267614,0.025386042164961913,True
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,2,sigma,0.4304587695072462,0.41733803032629807,0.013120739180948138,0.030480826760638843,True
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,2,rho,-0.20272519094012648,-0.21992056312889774,0.017195372188771263,,True
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,2,v0,0.03616576291087773,0.038847887226610325,0.002682124315732594,0.07416197253579516,False
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,kappa,1.4934541171471585,1.4974310985259467,0.0039769813787882136,0.002662941789189456,True
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,theta,0.03459264805838114,0.03428674631004843,0.0003059017483327056,0.008842969980686155,True
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,sigma,0.20578810232464856,0.2220066009265062,0.016218498601857645,0.07881164371821438,False
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,rho,-0.5916762047713586,-0.5469553470751721,0.0447208576961865,,True
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,v0,0.12564933495053818,0.12627992548165723,0.0006305905311190518,0.005018653949639157,True
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,2,kappa,10.920150807522695,11.285501351753355,0.36535054423065993,0.03345654750289497,True
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,2,theta,0.026781733735910068,0.02716561273350953,0.00038387899759946206,0.01433361265498436,True
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,2,sigma,0.3239623840927443,0.21836964450581708,0.10559273958692722,0.32594135853963224,False
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,2,rho,-0.38825523332960904,-0.5917615306731698,0.2035062973435608,,False
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,2,v0,0.07557161012718551,0.07503640449533751,0.0005352056318480014,0.007082099097098249,True
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,1,kappa,1.2430310290414128,1.1636647599287955,0.07936626911261735,0.06384898466599194,False
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,1,theta,0.09807435368158696,0.09486570640001396,0.003208647281572996,0.03271647643980759,True
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,1,sigma,0.32377929284536533,0.28417877558082577,0.03960051726453956,0.12230713371609123,False
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,1,rho,-0.05196660298142064,-0.0783909451920699,0.026424342210649265,,True
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,1,v0,0.03072995433683629,0.029022386227488216,0.0017075681093480718,0.055566893807622544,False
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,2,kappa,5.101619571485142,5.1249284384125575,0.023308866927415295,0.004568915145632822,True
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,2,theta,0.1101989658757826,0.11386935130828345,0.003670385432500853,0.03330689542620707,True
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,2,sigma,0.7612709760002415,0.7938738733863009,0.03260289738605937,0.042826928142403034,True
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,2,rho,-0.30969953166251496,-0.2797846021661683,0.029914929496346665,,True
