condition,case,model,parameter,true,estimated,absolute_error
Clean,2,Unregularized matched PINN,theta_f,0.030445915591943568,0.028812717982411362,0.0016331976095322054
Clean,2,Unregularized matched PINN,sigma_f,0.3642208828930416,0.3720924603538455,0.007871577460803914
Clean,2,Unregularized matched PINN,rho_f,-0.13646042473653947,-0.13869824166547684,0.002237816928937375
Clean,2,Unregularized matched PINN,v0_f,0.058044368878634046,0.05572197570049194,0.0023223931781421042
Clean,2,Selected regularized PINN,kappa_s,0.35443906139387477,0.7555410851794658,0.40110202378559107
Clean,2,Selected regularized PINN,theta_s,0.02064784604256839,0.02454732208824791,0.003899476045679518
Clean,2,Selected regularized PINN,sigma_s,0.030316317650493335,0.050092283912530906,0.01977596626203757
Clean,2,Selected regularized PINN,rho_s,-0.14091621295598222,-0.0961738677612971,0.04474234519468512
Clean,2,Selected regularized PINN,v0_s,0.02714261736377292,0.0295948306479633,0.0024522132841903813
Clean,2,Selected regularized PINN,kappa_f,5.6794707111702545,5.7927313556463105,0.113260644476056
Clean,2,Selected regularized PINN,theta_f,0.030445915591943568,0.02871622474394732,0.0017296908479962486
Clean,2,Selected regularized PINN,sigma_f,0.3642208828930416,0.37212495047967636,0.007904067586634755
Clean,2,Selected regularized PINN,rho_f,-0.13646042473653947,-0.13902026586380534,0.0025598411272658717
Clean,2,Selected regularized PINN,v0_f,0.058044368878634046,0.05560419655241702,0.002440172326217023
Clean,3,Original Double Heston,kappa_s,0.48207825187175274,0.5083525518986672,0.0262743000269145
Clean,3,Original Double Heston,theta_s,0.0543859714334859,0.04705373938131694,0.007332232052168958
Clean,3,Original Double Heston,sigma_s,0.18779004300663243,0.19684911358933455,0.009059070582702111
Clean,3,Original Double Heston,rho_s,0.0031961152154186268,0.011365441490617134,0.008169326275198507
Clean,3,Original Double Heston,v0_s,0.09037435734049153,0.08240668415655686,0.007967673183934668
Clean,3,Original Double Heston,kappa_f,9.964975239164083,9.988759925769987,0.023784686605903715
Clean,3,Original Double Heston,theta_f,0.04682899881249868,0.0549215974003407,0.008092598587842018
Clean,3,Original Double Heston,sigma_f,0.680459282941889,0.6436679953603477,0.036791287581541265
Clean,3,Original Double Heston,rho_f,0.0202574269135255,0.01804198706688387,0.0022154398466416314
Clean,3,Original Double Heston,v0_f,0.12815663335281338,0.13615829548748862,0.008001662134675236
Clean,3,Unregularized matched PINN,kappa_s,0.48207825187175274,0.5080238467232931,0.02594559485154041
Clean,3,Unregularized matched PINN,theta_s,0.0543859714334859,0.053895636211730796,0.0004903352217551019
Clean,3,Unregularized matched PINN,sigma_s,0.18779004300663243,0.18845771907704867,0.0006676760704162343
Clean,3,Unregularized matched PINN,rho_s,0.0031961152154186268,-0.0027115136010584795,0.005907628816477106
Clean,3,Unregularized matched PINN,v0_s,0.09037435734049153,0.08865508242863174,0.0017192749118597889
Clean,3,Unregularized matched PINN,kappa_f,9.964975239164083,9.907454188017523,0.057521051146560254
Clean,3,Unregularized matched PINN,theta_f,0.04682899881249868,0.04840170070638905,0.0015727018938903672
Clean,3,Unregularized matched PINN,sigma_f,0.680459282941889,0.6729296035585361,0.007529679383352805
Clean,3,Unregularized matched PINN,rho_f,0.0202574269135255,0.02387610491316927,0.0036186779996437712
Clean,3,Unregularized matched PINN,v0_f,0.12815663335281338,0.12963188655852398,0.0014752532057105971
Clean,3,Selected regularized PINN,kappa_s,0.48207825187175274,0.5173358232310243,0.0352575713592716
Clean,3,Selected regularized PINN,theta_s,0.0543859714334859,0.05546213798619808,0.001076166552712185
Clean,3,Selected regularized PINN,sigma_s,0.18779004300663243,0.18698110887122604,0.0008089341354063917
Clean,3,Selected regularized PINN,rho_s,0.0031961152154186268,-0.0028179664027566664,0.006014081618175293
Clean,3,Selected regularized PINN,v0_s,0.09037435734049153,0.08996792810376784,0.00040642923672368214
Clean,3,Selected regularized PINN,kappa_f,9.964975239164083,9.917448072300807,0.04752716686327574
Clean,3,Selected regularized PINN,theta_f,0.04682899881249868,0.047158915437728176,0.0003299166252294927
Clean,3,Selected regularized PINN,sigma_f,0.680459282941889,0.6779548369934493,0.002504445948439682
Clean,3,Selected regularized PINN,rho_f,0.0202574269135255,0.024123348981636483,0.003865922068110983
Clean,3,Selected regularized PINN,v0_f,0.12815663335281338,0.1283387426190064,0.0001821092661930257
Clean,4,Original Double Heston,kappa_s,1.104918022690338,1.098077620834756,0.006840401855581879
Clean,4,Original Double Heston,theta_s,0.027779644661646053,0.020021079226394838,0.0077585654352512155
Clean,4,Original Double Heston,sigma_s,0.12223046086313684,0.1294723148815544,0.007241854018417551
Clean,4,Original Double Heston,rho_s,-0.23986934691055106,-0.27070843508295483,0.030839088172403772
Clean,4,Original Double Heston,v0_s,0.09696018077000493,0.08962627710036751,0.007333903669637418
Clean,4,Original Double Heston,kappa_f,9.717750440511974,9.87095737712878,0.1532069366168063
Clean,4,Original Double Heston,theta_f,0.013359436239942183,0.02090284302366709,0.007543406783724907
Clean,4,Original Double Heston,sigma_f,0.3637660880532879,0.29777100630574505,0.06599508174754287
Clean,4,Original Double Heston,rho_f,0.16482312757872808,0.18960381838888152,0.02478069081015344
Clean,4,Original Double Heston,v0_f,0.05066947144956602,0.05809210893376153,0.007422637484195513
Clean,4,Unregularized matched PINN,kappa_s,1.104918022690338,1.1271374659454956,0.022219443255157678
Clean,4,Unregularized matched PINN,theta_s,0.027779644661646053,0.0252437931753464,0.002535851486299652
Clean,4,Unregularized matched PINN,sigma_s,0.12223046086313684,0.11990445952575604,0.002326001337380798
Clean,4,Unregularized matched PINN,rho_s,-0.23986934691055106,-0.25815877675070575,0.018289429840154692
Clean,4,Unregularized matched PINN,v0_s,0.09696018077000493,0.09482204219383582,0.00213813857616911
Clean,4,Unregularized matched PINN,kappa_f,9.717750440511974,9.942468211620037,0.2247177711080628
Clean,4,Unregularized matched PINN,theta_f,0.013359436239942183,0.0161922167534843,0.0028327805135421186
