run,selected_step,case,factor,parameter,truth,estimate,signed_error,relative_error,training_scaled_error,absolute_gate_tolerance,absolute_error_in_gate_units,parameter_pass,optimizer_success
double_standard_s17,12000,2,1,sigma,0.09645169951518268,0.0723351801715134,-0.024116519343669277,-0.25003726699365253,-0.25003726699365253,0.0048225849757591345,5.00074533987305,False,True
double_standard_s17,12000,2,1,rho,-0.5605928476095997,-0.6898816866493797,-0.12928883903977995,,-0.2585776780795599,0.05,2.585776780795599,False,True
double_standard_s17,12000,2,1,v0,0.033240407194620354,0.03132049013237381,-0.0019199170622465414,-0.05775853018302561,-0.05775853018302561,0.0016620203597310177,1.1551706036605123,False,True
double_standard_s17,12000,2,2,kappa,6.113867576332211,6.219191985233924,0.10532440890171291,0.017227132839684172,0.017227132839684172,0.3056933788166106,0.3445426567936834,True,True
double_standard_s17,12000,2,2,theta,0.03023963429925578,0.03161711506432326,0.001377480765067482,0.04555216347644068,0.04555216347644068,0.0015119817149627892,0.9110432695288134,True,True
double_standard_s17,12000,2,2,sigma,0.19754865714978864,0.24233698749525168,0.044788330345463034,0.2267205001120452,0.2267205001120452,0.009877432857489432,4.534410002240904,False,True
double_standard_s17,12000,2,2,rho,-0.044552561406894675,-0.09811555058895693,-0.05356298918206226,,-0.10712597836412452,0.05,1.0712597836412452,False,True
double_standard_s17,12000,2,2,v0,0.014806297704956386,0.01666911678553321,0.001862819080576823,0.12581261823158174,0.12581261823158174,0.0007403148852478193,2.516252364631635,False,True
double_standard_s17,12000,3,1,kappa,0.33124504983912395,0.2590293025451208,-0.07221574729400315,-0.21801306111314336,-0.21801306111314336,0.016562252491956198,4.360261222262867,False,True
double_standard_s17,12000,3,1,theta,0.04721768860646289,0.06189065442237115,0.01467296581590826,0.31075146304175316,0.31075146304175316,0.0023608844303231445,6.215029260835062,False,True
double_standard_s17,12000,3,1,sigma,0.09961979094491745,0.07467419287356294,-0.024945598071354505,-0.25040805481259865,-0.25040805481259865,0.004980989547245873,5.008161096251972,False,True
double_standard_s17,12000,3,1,rho,-0.0657839115595773,-0.02879605654746742,0.03698785501210988,,0.07397571002421977,0.05,0.7397571002421977,True,True
double_standard_s17,12000,3,1,v0,0.03544834961452888,0.04733228972455954,0.011883940110030654,0.33524664023173295,0.33524664023173295,0.0017724174807264442,6.704932804634659,False,True
double_standard_s17,12000,3,2,kappa,8.00549473509912,8.09220959220307,0.08671485710394933,0.010831917323455172,0.010831917323455172,0.400274736754956,0.21663834646910343,True,True
double_standard_s17,12000,3,2,theta,0.039856320121106514,0.027992869375884428,-0.011863450745222087,-0.29765544609171324,-0.29765544609171324,0.0019928160060553256,5.953108921834265,False,True
double_standard_s17,12000,3,2,sigma,0.36346010156817254,0.3890243707630756,0.025564269194903066,0.07033583351956471,0.07033583351956471,0.01817300507840863,1.406716670391294,False,True
double_standard_s17,12000,3,2,rho,0.2812903334114032,0.31506031329932005,0.03376997988791686,,0.06753995977583371,0.05,0.6753995977583371,True,True
double_standard_s17,12000,3,2,v0,0.08637275943563226,0.07455027433374649,-0.011822485101885771,-0.1368774736286649,-0.1368774736286649,0.004318637971781613,2.737549472573298,False,True
double_sobolev_s17,12000,0,1,kappa,1.649794501992554,1.809299937935677,0.15950543594312294,0.09668200236482716,0.09668200236482716,0.08248972509962771,1.933640047296543,False,True
double_sobolev_s17,12000,0,1,theta,0.03939342666365212,0.039301045183314884,-9.238148033723775e-05,-0.002345098869565392,-0.002345098869565392,0.001969671333182606,0.04690197739130783,True,True
double_sobolev_s17,12000,0,1,sigma,0.20588552972798105,0.27704082617811554,0.07115529645013449,0.3456061071613236,0.3456061071613236,0.010294276486399053,6.912122143226472,False,True
double_sobolev_s17,12000,0,1,rho,-0.2464467135076679,-0.20082007967927062,0.04562663382839727,,0.09125326765679453,0.05,0.9125326765679453,True,True
double_sobolev_s17,12000,0,1,v0,0.01845715886952104,0.01627565294177914,-0.002181505927741901,-0.11819294308314694,-0.11819294308314694,0.0009228579434760521,2.3638588616629383,False,True
double_sobolev_s17,12000,0,2,kappa,6.9659396312606585,7.686002960633024,0.7200633293723655,0.10336916015478766,0.10336916015478766,0.34829698156303296,2.067383203095753,False,True
double_sobolev_s17,12000,0,2,theta,0.04993438431331109,0.04992448106719134,-9.903246119748188e-06,-0.00019832518726196175,-0.00019832518726196175,0.0024967192156655545,0.0039665037452392355,True,True
double_sobolev_s17,12000,0,2,sigma,0.577942892411992,0.5646665746434453,-0.013276317768546764,-0.022971677553017843,-0.022971677553017843,0.028897144620599603,0.4594335510603568,True,True
double_sobolev_s17,12000,0,2,rho,-0.00752456823647496,-0.008954089060674963,-0.0014295208242000035,,-0.002859041648400007,0.05,0.02859041648400007,True,True
