generator_factors,case,model,parameter_index,truth,estimate,tolerance_error
2,5,double_sobolev_s17,3,-0.5991481800370149,-0.7101523177447808,2.220082754155319
2,5,double_sobolev_s17,4,0.07345538543573793,0.06323683459427543,2.782246878386378
2,5,double_sobolev_s17,5,5.700537494665994,5.661100216515322,0.13836336727044887
2,5,double_sobolev_s17,6,0.1493052147647979,0.16018550152572758,1.4574556927659226
2,5,double_sobolev_s17,7,0.4131411768800632,0.3873954291386069,1.2463414049348258
2,5,double_sobolev_s17,8,0.07697504542694233,0.011969028691020678,1.3001203347184331
2,5,double_sobolev_s17,9,0.05344306336187388,0.06363606316275919,3.8145267728634606
2,5,deep11_s17,0,0.5486948158467987,0.3560760118479867,7.020981370182771
2,5,deep11_s17,1,0.08253727363099257,0.07069526770351314,2.8694928743158243
2,5,deep11_s17,2,0.09240976082601485,0.056805473588992586,7.705741670310455
2,5,deep11_s17,3,-0.5991481800370149,-0.7738920585392723,3.4948775700451495
2,5,deep11_s17,4,0.07345538543573793,0.06072085853629254,3.467282030828393
2,5,deep11_s17,5,5.700537494665994,5.675742842311976,0.08699057721212537
2,5,deep11_s17,6,0.1493052147647979,0.1625705450946714,1.7769413279731048
2,5,deep11_s17,7,0.4131411768800632,0.3699672905222055,2.0900306613780724
2,5,deep11_s17,8,0.07697504542694233,0.021760013797351374,1.1043006325918192
2,5,deep11_s17,9,0.05344306336187388,0.06619853671737345,4.773481366189534
