family,bucket,DH_PINN,SH_BEST_FOUND,BS_SELECTED,SH_minus_DH
SMIRK_WEIGHTS,ATM,9.944658484774874e-06,0.00019982860375585603,0.00015429666336664712,0.00018988394527108115
SMIRK_WEIGHTS,K/F_0.70_0.90,7.649395802459507e-06,0.00030172624807617407,0.0010865001424648876,0.0002940768522737146
SMIRK_WEIGHTS,K/F_0.90_0.98,1.0237821766765154e-05,0.00034055966261700113,0.0008165397003866875,0.00033032184085023597
SMIRK_WEIGHTS,K/F_0.98_1.02,9.843678933407374e-06,0.0002165972055871267,0.00021934717112499183,0.0002067535266537193
SMIRK_WEIGHTS,K/F_1.02_1.10,1.308237935418943e-05,0.0002243526792400792,0.0005412277116323624,0.00021127029988588978
SMIRK_WEIGHTS,K/F_1.10_1.30,1.1097277655270616e-05,0.00031775632077509034,0.0008826668346651,0.0003066590431198197
SMIRK_WEIGHTS,long,1.2669006164776648e-05,0.00029589901267912725,0.0012882949311318124,0.0002832300065143506
SMIRK_WEIGHTS,medium,7.440251844922939e-06,0.00030815276053944464,0.0007628957090177624,0.00030071250869452174
SMIRK_WEIGHTS,short,5.39821109996794e-06,0.0001400430161494532,0.00024224824304636017,0.00013464480504948528
SMIRK_WEIGHTS,very_long,1.3894319173759496e-05,0.0004903925434306375,0.0009357247615367125,0.000476498224256878
SMIRK_WEIGHTS,wing,9.49818333085666e-06,0.0003126868957703707,0.0009925535257311626,0.00030318871243951404
