case,family,long_SSE,medium_SSE,short_SSE,very_long_SSE,share_short_le30d,share_long_gt90d,long_RMSE,medium_RMSE,short_RMSE,very_long_RMSE
FIXED_TOTAL_TWIST_random_02,FIXED_TOTAL_TWIST,5.63309443083345e-06,1.2421484068876647e-06,8.342952336394641e-07,6.392359232253033e-06,0.05916191386712736,0.8527543070395894,0.0001356790526556,7.636545463391438e-05,4.990424363971597e-05,0.0002050731453629
FIXED_TOTAL_TWIST_random_03,FIXED_TOTAL_TWIST,8.83350595251551e-05,9.764361204505038e-05,2.881181454572518e-05,0.00011439819155508531,0.08752371056491524,0.6158573026100478,0.0005372863902193,0.0006770677320819,0.0002932668009755,0.0008675365590472
FIXED_TOTAL_TWIST_random_04,FIXED_TOTAL_TWIST,2.3615294198903784e-05,6.5824537966389286e-06,2.6436028885644533e-06,2.223582182102545e-05,0.04799815892361696,0.8324885568364767,0.0002778023830868,0.0001757940242197,8.883328152310117e-05,0.0003824765371289
FIXED_TOTAL_TWIST_random_05,FIXED_TOTAL_TWIST,0.00010410686672380924,0.0001129713953823955,3.574366215599359e-05,0.0001251484615761506,0.0945673616114478,0.6065430967335314,0.000583282537631,0.0007282733950554,0.0003266458310971,0.0009073836795691
FIXED_TOTAL_TWIST_random_06,FIXED_TOTAL_TWIST,1.8420996522322932e-05,1.3872897211745415e-05,3.0949142844383467e-06,2.9569672725317395e-05,0.04764449920932911,0.738789896224644,0.0002453555278372,0.000255207705262,9.611737669537718e-05,0.0004410638508893
FIXED_TOTAL_TWIST_random_07,FIXED_TOTAL_TWIST,3.106675904585844e-06,9.491465910305209e-07,1.4721811800796464e-07,7.785735652876168e-06,0.012279661804960628,0.9085507407372353,0.0001007597917619,6.67539308343219e-05,2.096323135111788e-05,0.0002263226570291
SLOW_SHOCK_random_00,SLOW_SHOCK,0.00010898526131053087,9.456020306385482e-05,2.2631092533678247e-05,0.00011979731449305504,0.06541272160821637,0.6612712540316014,0.0005967922458234,0.0006662916893698,0.0002599144091822,0.0008877726211863
SLOW_SHOCK_random_01,SLOW_SHOCK,9.260234530070634e-05,8.453463437496399e-05,2.0459796830739793e-05,0.00010999367406198459,0.0665163589862177,0.6586551012501034,0.0005501109374175,0.0006299811248941,0.0002471315851733,0.0008506718477257
SLOW_SHOCK_random_02,SLOW_SHOCK,0.00012569339065378104,0.00013944945976721184,3.5961375105502666e-05,0.00017081159203562917,0.07620294503217956,0.6283005817035943,0.0006409077270207,0.000809130582401,0.000327639113011,0.0010600756925421
SLOW_SHOCK_random_03,SLOW_SHOCK,0.000122909965902051,9.45151593652103e-05,2.212483623954219e-05,0.00011566911321656406,0.06228504552232239,0.671639267413813,0.0006337716901499,0.0006661329766343,0.0002569908311248,0.0008723422539369
