case,family,kind,best_MSE,near_best_starts_of_12,best_at_bound,failed_starts,kappa,theta,sigma,rho,v0
BASE_random_00,BASE,independent,2.4478845458550836e-07,12,False,0,2.0940631910306173,0.05419778714094851,0.14940772134521316,-0.48832067355283004,0.026318175740054447
BASE_random_01,BASE,independent,5.153551216711782e-07,12,False,0,2.072323606442499,0.1046753595141882,0.21765522215840974,-0.5085642912896787,0.05036077128615699
BASE_random_02,BASE,independent,3.16722494411394e-07,12,False,0,2.0874543551797546,0.06740695643427028,0.16609879569950295,-0.5031742071027303,0.0326455978479468
BASE_random_03,BASE,independent,7.350901581213372e-07,12,False,0,2.059522944324301,0.14876108622497983,0.2862391410902808,-0.48611277215680504,0.07105116434329857
BASE_random_04,BASE,independent,5.632940025323872e-07,12,False,0,2.0691802313689776,0.11398783119555174,0.23157686150098616,-0.5051103977660617,0.05475506517439259
BASE_random_05,BASE,independent,7.441911988250619e-07,12,False,0,2.059079269605638,0.15067169786858622,0.2893374482714152,-0.4849441079867542,0.07194152758404879
BASE_random_06,BASE,independent,3.85888394810927e-07,12,False,0,2.081784782336142,0.08019325632906923,0.1829862302555513,-0.5098319431142039,0.038746609120051595
BASE_random_07,BASE,independent,7.809642883332656e-07,12,False,0,2.0573526563218123,0.1584685142537126,0.3020595841497258,-0.48014136810665276,0.07556961998382306
FAST_SHOCK_random_00,FAST_SHOCK,independent,6.39785498007647e-07,12,False,0,1.0549838301119874,0.05627823661211128,0.1214991078348638,-0.45093059476458236,0.038098364788210465
FAST_SHOCK_random_01,FAST_SHOCK,independent,6.56907272586186e-07,12,False,0,1.4942848675110503,0.10175573468623547,0.191416260760891,-0.48148342520427134,0.05692394719972675
FAST_SHOCK_random_02,FAST_SHOCK,independent,8.524233543125008e-07,12,False,0,1.5866454669180619,0.05104871676072962,0.16521431635093944,-0.4038579419170015,0.039802149262177525
FAST_SHOCK_random_03,FAST_SHOCK,independent,2.6759620627775427e-07,12,False,0,1.7932082984976565,0.053052294792802636,0.13879147849687887,-0.47688367684250293,0.028140544182629006
FAST_SHOCK_random_04,FAST_SHOCK,independent,1.3975085793364013e-06,12,False,0,1.1931009520291298,0.08663456274632653,0.20183118988938564,-0.39566623990600186,0.062418692185600234
FAST_SHOCK_random_05,FAST_SHOCK,independent,6.248123554132542e-07,12,False,0,1.6147388660330986,0.10413822707847614,0.19949779453461608,-0.4869807698283313,0.05660109816197219
FAST_SHOCK_random_06,FAST_SHOCK,independent,1.6636250126624415e-06,12,False,0,0.996561442569684,0.14009099637970696,0.2551707196053762,-0.3818384698120019,0.08859946245437118
FAST_SHOCK_random_07,FAST_SHOCK,independent,1.546780076832554e-06,12,False,0,1.0740944693692194,0.1042783400404096,0.216542599863948,-0.39168448972947617,0.07175702277100957
SLOW_SHOCK_random_00,SLOW_SHOCK,independent,3.4204980924033275e-07,12,False,0,2.3193551738911147,0.10088325856241252,0.24538451038427614,-0.40507528430773276,0.05677143883250288
SLOW_SHOCK_random_01,SLOW_SHOCK,independent,3.04019056716586e-07,12,False,0,2.4901190986106685,0.1076705425355733,0.2744045597316359,-0.3657797542276647,0.06480841900742527
SLOW_SHOCK_random_02,SLOW_SHOCK,independent,4.663377639509953e-07,12,False,0,2.4399574061413083,0.16143997171405958,0.373163118339524,-0.35014497183405385,0.09522477017737757
SLOW_SHOCK_random_03,SLOW_SHOCK,independent,3.5140710711525247e-07,12,False,0,2.1400507057090166,0.08091532584652679,0.19190838376234348,-0.4767759821086778,0.04095017707486077
SLOW_SHOCK_random_04,SLOW_SHOCK,independent,1.7725813594511346e-07,12,False,0,2.6567823717257526,0.07301816596026442,0.2203619170871647,-0.3524063318923396,0.04609192949439058
SLOW_SHOCK_random_05,SLOW_SHOCK,independent,4.016382680021246e-07,12,False,0,2.5108362987700716,0.1476642875299856,0.35438905512132146,-0.34460386420605144,0.08931970631163495
SLOW_SHOCK_random_06,SLOW_SHOCK,independent,3.939212234853284e-07,12,False,0,2.624886795352367,0.16145651430741922,0.393959381739703,-0.3238312265744383,0.10083623490924636
SLOW_SHOCK_random_07,SLOW_SHOCK,independent,3.0353582910343616e-07,12,False,0,2.2541388290897766,0.08273082943675293,0.20744674447733133,-0.43055950648796715,0.045000747427633804
FIXED_TOTAL_TWIST_random_00,FIXED_TOTAL_TWIST,independent,3.303499789428951e-07,12,False,0,2.8466033333519607,0.16593597725232795,0.4419563289171493,-0.2780000805782842,0.11763598243153339
FIXED_TOTAL_TWIST_random_01,FIXED_TOTAL_TWIST,independent,6.846560623000003e-09,12,False,0,13.999027613407907,0.05103353904539908,0.4767553859398606,-0.2114552266599376,0.03323676198524265
FIXED_TOTAL_TWIST_random_02,FIXED_TOTAL_TWIST,independent,1.4141006418646427e-08,12,False,0,14.533616709607816,0.0949241805722123,0.5983891216676115,-0.2295272270307296,0.06121669746113258
FIXED_TOTAL_TWIST_random_03,FIXED_TOTAL_TWIST,independent,3.254898333129325e-07,12,False,0,2.508089158210264,0.13037108594237082,0.34216504930366587,-0.30177906685680306,0.09139337985052466
FIXED_TOTAL_TWIST_random_04,FIXED_TOTAL_TWIST,independent,5.4969828146962936e-08,12,False,0,20.193437434557108,0.08226483419497446,0.6107662246190874,-0.20615504641257795,0.04824594144031434
FIXED_TOTAL_TWIST_random_05,FIXED_TOTAL_TWIST,independent,3.7385690395126493e-07,12,False,0,2.255789662156014,0.1262755785540807,0.31708409793909526,-0.31416670230125593,0.08725771994952909
FIXED_TOTAL_TWIST_random_06,FIXED_TOTAL_TWIST,independent,6.41670723698866e-08,12,False,0,5.370817965151778,0.0858698965398367,0.36794199889501117,-0.2676400329988578,0.06229118982387311
FIXED_TOTAL_TWIST_random_07,FIXED_TOTAL_TWIST,independent,1.191947612937674e-08,12,False,0,11.126266929978462,0.14015638506395328,0.6544404334492999,-0.2440428196616141,0.0952181019997794
SMIRK_WEIGHTS_random_00,SMIRK_WEIGHTS,independent,3.5207566834569963e-07,12,False,0,2.6794304471582797,0.11042044457679036,0.27649229649262763,-0.41809034937691786,0.05501179073944029
SMIRK_WEIGHTS_random_01,SMIRK_WEIGHTS,independent,5.66238879245383e-09,12,False,0,11.657253336829166,0.06124100728481442,0.45817556760025074,-0.20810158870297735,0.03309040888013417
SMIRK_WEIGHTS_random_02,SMIRK_WEIGHTS,independent,7.512952668659615e-09,12,False,0,10.761007935567852,0.08497284667527445,0.5095348551969847,-0.22378699850178133,0.048769143002713844
SMIRK_WEIGHTS_random_03,SMIRK_WEIGHTS,independent,8.147928848327187e-09,12,False,0,9.079869112539578,0.04807754618869387,0.3641362167895665,-0.22142695428451917,0.024789181456963932
SMIRK_WEIGHTS_random_04,SMIRK_WEIGHTS,independent,6.209323401067723e-07,12,False,0,2.1110695391305203,0.15650032275611053,0.32654006383289086,-0.40531423708453973,0.08496474794033756
SMIRK_WEIGHTS_random_05,SMIRK_WEIGHTS,independent,9.878862870968417e-08,12,False,0,4.293529353307246,0.09014128124305493,0.33681214547778787,-0.27974312286195174,0.06482877965710401
SMIRK_WEIGHTS_random_06,SMIRK_WEIGHTS,independent,9.746622931019882e-08,12,False,0,6.924626881193014,0.08034133768257953,0.4685200227238316,-0.25977539945008365,0.07089012110776978
SMIRK_WEIGHTS_random_07,SMIRK_WEIGHTS,independent,2.123947215506196e-08,12,False,0,10.285083936367688,0.16104586887576103,0.7013157519780011,-0.25076152590482337,0.11960992171171589
