scope,split,fold,rows,iv_rmse,iv_mae,iv_bias,iv_r2,raw_price_rmse,raw_price_mae
CESC,validation,calibration,39,0.05734310902492944,0.042946646209700644,0.037236621172981786,-7.758493421674331,0.958028296739978,0.6669819518924064
CESC,validation,holdout,19,0.05941587522707444,0.04472700211167108,0.03572912402173253,-12.215087156512427,1.0084981120215422,0.7193671421238006
JSWENERGY,test,calibration,195,0.03166412602499123,0.021837605563200548,0.01353918764706307,0.36990292019120086,1.5384084626926688,0.9491504303120936
JSWENERGY,test,holdout,97,0.03089100165650217,0.021308711647222225,0.013196401175471866,0.35032708420066627,1.5347906283692707,0.9428655764098552
JSWENERGY,validation,calibration,272,0.03516685495824515,0.020234645145845085,0.006881699349547826,0.6346499989105308,1.5516997781965844,0.7727995754822818
JSWENERGY,validation,holdout,136,0.03531328359130561,0.019991023769469877,0.00689034805877034,0.6103668082971783,1.5426849892532994,0.7721620650207864
NHPC,test,calibration,218,0.02242300524861309,0.013454027216029693,-0.003045290388917304,0.5865211373754642,0.1159498930452887,0.06368919781095858
NHPC,test,holdout,109,0.023910965421225793,0.01422630547094634,-0.002389109039290174,0.5218961300501173,0.11294823721905228,0.06852787711560111
NHPC,validation,calibration,164,0.014953762886689948,0.010288110178545093,-0.0018968419223485708,0.8488102662362853,0.057982915817910846,0.04682449998184019
NHPC,validation,holdout,81,0.016068957460310215,0.011153781736635792,-0.002501727343294408,0.8397019123817926,0.06049095089259004,0.04942598528095048
NTPC,test,calibration,532,0.027465294232861103,0.013644669806216208,-0.005913850015060017,0.5855421072037162,0.3327362307611713,0.20016268415929928
NTPC,test,holdout,260,0.02247451579292848,0.011766906977596985,-0.004221746508098614,0.6420382745000826,0.3058358340859215,0.19308316089825178
NTPC,validation,calibration,613,0.02580435905657215,0.016564778864387467,-0.004307064846693471,0.7331920565867409,0.3975747545440779,0.29274637599095865
NTPC,validation,holdout,304,0.023951881299261804,0.01619183909187645,-0.0035739183601709314,0.7467408223692091,0.4030225724403234,0.29940457172058993
POWERGRID,test,calibration,453,0.02189284416593388,0.012114641589060013,0.00027596282585092956,0.7506583806534936,0.4038271903476459,0.21592917345919777
POWERGRID,test,holdout,226,0.021747324784192147,0.011751775357636612,0.0006089368787648211,0.7427704939628835,0.38911854647316674,0.2130747989754869
POWERGRID,validation,calibration,583,0.03142456999383645,0.019297334828122615,-0.0017366293375934436,0.7284592208162741,0.46859416643077834,0.30360346195647475
POWERGRID,validation,holdout,286,0.028036142284125962,0.01836730721858428,0.0007524287904609353,0.7514279484357644,0.5022858661133938,0.32578317028050724
SJVN,test,calibration,70,0.016991070782302754,0.012218366727682176,-0.0022506459412282354,0.8489450558141418,0.07800564177071166,0.060909885118177166
SJVN,test,holdout,34,0.017444838403017193,0.01331547558653397,-1.5290550994362384e-05,0.835586839833292,0.09058239752083384,0.06958856605861777
SJVN,validation,calibration,46,0.009557810822863493,0.007263306859379339,0.0017943619314785347,0.6882931839808337,0.07348492127910905,0.05504378675599393
SJVN,validation,holdout,22,0.014007296524046413,0.010788980131737614,0.005922013404741497,0.4264212608407876,0.13332513510269275,0.09468696897207957
TATAPOWER,test,calibration,791,0.03439037271262685,0.018083297865414637,-0.008165202984358737,0.6610492957451115,0.40439170370746874,0.2737621953850782
TATAPOWER,test,holdout,393,0.034859558394507426,0.018295961203830736,-0.008559377954518077,0.6614484369641507,0.4172546415020663,0.2806288746928008
TATAPOWER,validation,calibration,803,0.03543814758037889,0.02332269692358621,-0.0010629915088015641,0.6849993460646124,0.786666340412579,0.5317486296447055
TATAPOWER,validation,holdout,405,0.030909336455404477,0.022335553666072767,0.0006700658668019243,0.7159683238846779,0.811914362300273,0.5542346832851799
TORNTPOWER,test,calibration,101,0.040930039580187975,0.027891232761943385,-0.0006182728297963631,0.5636160916139517,3.601834326558,2.4925980265011716
TORNTPOWER,test,holdout,50,0.035979883810511606,0.02624342345336763,0.004240509812948659,0.5473450548097445,4.261023982464189,2.8722813323819287
TORNTPOWER,validation,calibration,90,0.026078450614303104,0.017455967694677273,0.00600151238178895,0.8748932850110156,2.4704106237404226,1.520083523744754
TORNTPOWER,validation,holdout,45,0.024768131824208443,0.016484850480743947,0.011090777690764275,0.8688649044977095,2.885852355151202,1.705786779811653
