symbol,trade_date,kappa,theta,sigma,rho,v0,objective,optimizer_evaluations,starting_value_loss_spread,calibration_rows,holdout_rows,calibration_iv_rmse,holdout_iv_rmse,feller_gap
ADANIENSOL,2025-08-07,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.05378134008423109,7.001416190374116e-05,49,6.690193139606039e-11,8,4,0.022180796003152942,0.010852564776177437,0.07457065418310993
ADANIENSOL,2025-08-29,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.005333673379814146,7.001416190374116e-05,49,6.690193139606039e-11,7,3,0.01031099573467397,0.01126413921956777,0.07457065418310993
ADANIGREEN,2024-11-29,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.5731192205793139,3.5179935090579346e-05,39,1.0566054181224659e-10,9,5,0.030366063333048626,0.03007933211989976,0.09411880043292697
ADANIGREEN,2025-01-17,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.39582114442268856,3.5179935090579346e-05,39,1.0566054181224659e-10,16,8,0.046300160672317764,0.043274007932954946,0.09411880043292697
ADANIGREEN,2025-03-07,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.2331187524484149,3.5179935090579346e-05,39,1.0566054181224659e-10,12,6,0.023515351701294002,0.015747693596895217,0.09411880043292697
ADANIGREEN,2025-04-01,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.24999972965524,3.5179935090579346e-05,39,1.0566054181224659e-10,10,5,0.00663607763066469,0.004955166124116245,0.09411880043292697
ADANIGREEN,2025-04-08,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.3036407272181269,3.5179935090579346e-05,39,1.0566054181224659e-10,11,5,0.030891535754316087,0.015762824462657147,0.09411880043292697
ADANIGREEN,2025-04-25,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.25365229402245465,3.5179935090579346e-05,39,1.0566054181224659e-10,11,5,0.009771569034389721,0.006743771319519068,0.09411880043292697
ADANIGREEN,2025-05-05,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.1462385321938384,3.5179935090579346e-05,39,1.0566054181224659e-10,11,6,0.0139674164558218,0.014927983031538932,0.09411880043292697
ADANIGREEN,2025-06-06,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.06089377481145347,3.5179935090579346e-05,39,1.0566054181224659e-10,9,4,0.00597271567722518,0.004764043729621775,0.09411880043292697
ADANIGREEN,2025-06-13,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.1130495694287935,3.5179935090579346e-05,39,1.0566054181224659e-10,8,4,0.016601385874162832,0.015661284775335925,0.09411880043292697
ADANIGREEN,2025-06-27,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.005333673513267376,3.5179935090579346e-05,39,1.0566054181224659e-10,9,4,0.006795627917820682,0.004973619065723763,0.09411880043292697
ADANIGREEN,2025-07-03,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.0053336747401217235,3.5179935090579346e-05,39,1.0566054181224659e-10,8,4,0.00754209265822026,0.007700849941284672,0.09411880043292697
ADANIGREEN,2025-07-10,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.04995939817175338,3.5179935090579346e-05,39,1.0566054181224659e-10,6,3,0.010299548662989662,0.008016627171973142,0.09411880043292697
ADANIPOWER,2026-04-06,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.30853954346085777,2.0061298073782917e-05,27,1.540353254459771e-10,8,4,0.01858395899462866,0.016863874957716036,1.9667532890009163
ADANIPOWER,2026-04-08,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.2994517545420941,2.0061298073782917e-05,27,1.540353254459771e-10,11,5,0.024856657923818883,0.012195801264172114,1.9667532890009163
ADANIPOWER,2026-04-21,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.4331426701524561,2.0061298073782917e-05,27,1.540353254459771e-10,12,6,0.03882077147552797,0.023407207978635252,1.9667532890009163
ADANIPOWER,2026-04-22,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.3990729695074657,2.0061298073782917e-05,27,1.540353254459771e-10,8,4,0.013407482877272876,0.0071571632849382226,1.9667532890009163
ADANIPOWER,2026-04-23,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.40998490992443537,2.0061298073782917e-05,27,1.540353254459771e-10,8,4,0.007568094554562251,0.01549385234422014,1.9667532890009163
ADANIPOWER,2026-04-24,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.4509175167520731,2.0061298073782917e-05,27,1.540353254459771e-10,10,5,0.005664370962488403,0.009706388699630258,1.9667532890009163
ADANIPOWER,2026-04-27,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.43121439965321107,2.0061298073782917e-05,27,1.540353254459771e-10,11,6,0.009579938214852245,0.008606622630596583,1.9667532890009163
ADANIPOWER,2026-04-28,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.3420531336081684,2.0061298073782917e-05,27,1.540353254459771e-10,13,6,0.011014669392833484,0.00622151274288669,1.9667532890009163
ADANIPOWER,2026-04-29,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.3047095512076351,2.0061298073782917e-05,27,1.540353254459771e-10,15,7,0.01073998115042279,0.01357272049799935,1.9667532890009163
ADANIPOWER,2026-05-05,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.20364728077795813,2.0061298073782917e-05,27,1.540353254459771e-10,13,6,0.005592057500276814,0.004490661717126273,1.9667532890009163
