dimension,group,model,rows,iv_rmse,iv_mae,iv_bias,pooled_iv_r2,within_surface_centered_r2,mean_surface_iv_rmse,median_surface_iv_rmse
moneyness,wing,heston_training_median_v0,306,0.09522422516577661,0.06821527825381607,-0.016006325333408487,0.31990302548565364,0.5428276315194189,0.06782915357364414,0.04262910848247481
moneyness,wing,heston_prior_available_v0,294,0.08126314041684486,0.05763736977411829,-0.044356218291295824,0.5068509359096963,0.5395324246168758,0.059789001899496215,0.0392646200722383
moneyness,wing,heston_shuffled_v0,304,0.09818581344216462,0.07194861559457573,-0.04910543021323257,0.27736008232907605,0.28162097731242786,0.07174206447033786,0.05004538764382904
moneyness,wing,heston_train_half_a,306,0.07523653879753392,0.051135958283404975,-0.04467050203246238,0.5754453873831515,0.5468646178098887,0.054065104291014396,0.032869868453784874
moneyness,wing,heston_train_half_b,305,0.08298149064621724,0.05951995923246441,-0.033914064091875966,0.4848374738302268,0.5338392349774272,0.06118272440127,0.03767413995122104
maturity,7-30d,heston_same_day_v0,3554,0.03138527237134755,0.016328153270033792,-0.005854513715613359,0.9015992840493187,0.6208145285344051,0.023180112019145313,0.014670914321469213
maturity,7-30d,flat_anchor_iv,3554,0.04475193929233242,0.023935412429322216,-0.012997599676429716,0.7999354349799526,-0.007227612366542235,0.03635290131861438,0.029474247334048447
maturity,7-30d,quadratic_anchor_smile,3554,0.015864109218414444,0.006027596260728598,0.0005970992055677664,0.9748592727327382,0.869484569556604,0.009741087395472211,0.00586419212115023
maturity,7-30d,heston_training_median_v0,3554,0.06699549690954974,0.05093975173012393,0.020285103517100743,0.5516288302242571,0.5939389469945691,0.055385224763795114,0.04515651454634759
maturity,7-30d,heston_prior_available_v0,3363,0.04267074466692758,0.02729330843748408,-0.011548686319526342,0.8153907320682424,0.6137214771086033,0.03367944149816824,0.02484174084710946
maturity,7-30d,heston_shuffled_v0,3548,0.07403350602501751,0.056584719753201895,-0.016263417771301338,0.4513723464658379,0.39284256278883334,0.06234474848440195,0.05269964104841168
maturity,7-30d,heston_train_half_a,3554,0.0310962662942973,0.016398881709145337,-0.005853281984553658,0.9034031536727949,0.6283180454944617,0.02294446358270601,0.014736318157434604
maturity,7-30d,heston_train_half_b,3553,0.038942017316629336,0.020387257015164202,-0.0028136132971010603,0.8484250067377672,0.6280518620155511,0.026675128003914337,0.015642443596625637
maturity,31-60d,heston_same_day_v0,1155,0.025401956182370795,0.01613969911349062,0.010762069442758926,0.903727922622274,0.5847275174994591,0.0222188107082524,0.015666629719304152
maturity,31-60d,flat_anchor_iv,1155,0.023457490094600356,0.013801774720408853,-0.005989334554422897,0.9179026570941131,-0.02798185522649632,0.018556853790760622,0.016700223955434388
maturity,31-60d,quadratic_anchor_smile,1155,0.010394789283412812,0.005547664779678087,-6.844589131832552e-05,0.9838787988022848,0.7816909387934319,0.008341917595623683,0.005689024155506648
maturity,31-60d,heston_training_median_v0,1155,0.06892140717411116,0.05369426201540945,0.04925395111217986,0.2912806507523451,0.6345139013152425,0.05521071338479689,0.04338990719956097
maturity,31-60d,heston_prior_available_v0,1149,0.04097347793685709,0.027501109061676184,0.02287840911286157,0.7507048099854454,0.45059461328714046,0.035017256458856484,0.021944017730839732
maturity,31-60d,heston_shuffled_v0,1155,0.050439920606691585,0.03878786046093952,0.02103710470274342,0.6204099615534202,-0.010688009616619087,0.0438347334098077,0.03605070242999574
maturity,31-60d,heston_train_half_a,1155,0.030422841453967373,0.019870125998273938,0.014798211478870123,0.8619089390104614,0.5942592303576845,0.026884152102507827,0.017788406120453765
maturity,31-60d,heston_train_half_b,1155,0.04788749195587272,0.0313120620475201,0.02724285543231949,0.6578549964866813,0.5808269606184903,0.03504874427154589,0.020589108145159324
symbol,ADANIENSOL,heston_same_day_v0,269,0.03167070152358304,0.014464666956370643,-0.005540514309723202,0.8286255517200622,0.612777807054403,0.020969980603233115,0.010168211306665044
symbol,ADANIENSOL,flat_anchor_iv,269,0.049708337973378126,0.023984609892059902,-0.013056494857372165,0.5778282313247531,0.0014363863041181313,0.03847097141470011,0.0301056625814451
symbol,ADANIENSOL,quadratic_anchor_smile,269,0.015329149567665243,0.007855098345698027,-0.0008007227119290168,0.9598517309084711,0.896066861251972,0.012190663198603053,0.008256220307200454
symbol,ADANIENSOL,heston_training_median_v0,269,0.07628615101586414,0.05413708955666619,-0.03367995982181878,0.005689307787555498,0.6290682111931332,0.05978977710171359,0.042845680316242696
symbol,ADANIENSOL,heston_prior_available_v0,254,0.050509265365815285,0.03333536063916496,0.001671500732219494,0.5814243877998523,0.5799028778311226,0.03719389063318153,0.024224452157227024
symbol,ADANIENSOL,heston_shuffled_v0,269,0.08791075646310874,0.06659299542062208,-0.006003405584956037,-0.3204280369081909,0.4848640090007825,0.07380496295539596,0.06794464348082557
