scope,model,rows,iv_rmse,iv_mae,iv_bias,iv_r2,forecast_on_actual_slope
CESC,original_locked_heston,221,0.0514195840875883,0.04166326019982318,0.0305065770408058,0.15610386826767209,0.5419706455618376
CESC,guarded_candidate_raw,221,0.0514195840875883,0.04166326019982318,0.0305065770408058,0.15610386826767209,0.5419706455618376
CESC,generalized_heston,221,0.0514195840875883,0.04166326019982318,0.0305065770408058,0.15610386826767209,0.5419706455618376
CESC,prior_session_median_iv,221,0.06780231370906964,0.045539584246267716,-0.030817510411815806,-0.4673067163349325,-0.026238667860593475
JSWENERGY,original_locked_heston,596,0.043534079213472396,0.03326505551954033,0.01117694564097037,0.401168440556373,0.3991331766719768
JSWENERGY,guarded_candidate_raw,596,0.043534079213472396,0.03326505551954033,0.01117694564097037,0.401168440556373,0.3991331766719768
JSWENERGY,generalized_heston,596,0.043534079213472396,0.03326505551954033,0.01117694564097037,0.401168440556373,0.3991331766719768
JSWENERGY,prior_session_median_iv,596,0.05197368917700271,0.03449672234093745,-0.028950566360094913,0.14648129397673448,0.3230302168170574
NHPC,original_locked_heston,605,0.04435474364116699,0.033313779573588796,-0.0061925524515592705,0.46990148633898465,0.3873126184601566
NHPC,guarded_candidate_raw,605,0.04435474364116699,0.033313779573588796,-0.0061925524515592705,0.46990148633898465,0.3873126184601566
NHPC,generalized_heston,605,0.03554731746083846,0.02833758234073503,-0.0001435636406061271,0.6595211769395017,0.6095650731094109
NHPC,prior_session_median_iv,605,0.07444581790444497,0.05204180015427358,-0.0399927370108124,-0.49333433617638756,0.03577009177671499
NTPC,original_locked_heston,1637,0.044832428957661104,0.026151842907688173,-0.014387791168184508,0.47128703649331183,0.36241197855011975
NTPC,guarded_candidate_raw,1637,0.044832428957661104,0.026151842907688173,-0.014387791168184508,0.47128703649331183,0.36241197855011975
NTPC,generalized_heston,1637,0.027261927697071534,0.020072963826022562,-0.003295659597299916,0.804499197539471,0.8230801468975228
NTPC,prior_session_median_iv,1637,0.07015379360800149,0.04221157100253236,-0.03449391629584842,-0.29460637874474815,0.06666264538418078
POWERGRID,original_locked_heston,1436,0.03824448791426702,0.024313486009601225,-0.00296942737505405,0.5947533452499709,0.4750157509242471
POWERGRID,guarded_candidate_raw,1436,0.038080319844938926,0.023864848096593214,-0.003802004456418523,0.598224996955776,0.47786428394776675
POWERGRID,generalized_heston,1436,0.027643050056566563,0.020880885757953195,0.0014630777620747853,0.7882840105677993,0.83394913077279
POWERGRID,prior_session_median_iv,1436,0.05932206174446962,0.035769292323387415,-0.027675909272742095,0.02497845751081451,0.27049254076065465
SJVN,original_locked_heston,142,0.03893340895748007,0.029337928441566772,0.007273102072924153,0.5266341553970507,0.48906919493615986
SJVN,guarded_candidate_raw,142,0.03893340895748007,0.029337928441566772,0.007273102072924153,0.5266341553970507,0.48906919493615986
SJVN,generalized_heston,142,0.03893340895748007,0.029337928441566772,0.007273102072924153,0.5266341553970507,0.48906919493615986
SJVN,prior_session_median_iv,142,0.05972793993680263,0.04376127656993992,-0.014126434470188416,-0.11405626926148726,0.14508232337723595
TATAPOWER,original_locked_heston,1936,0.047751678777264106,0.027979819283399612,-0.011878762762615392,0.5479079378413848,0.43162231886526164
TATAPOWER,guarded_candidate_raw,1936,0.04788958915903746,0.027943294433844378,-0.012329502170291795,0.5452928162967886,0.4320065528266369
TATAPOWER,generalized_heston,1936,0.03435261334894942,0.024678260220751126,-0.0012803187006731422,0.7660251618872091,0.8436930438161263
TATAPOWER,prior_session_median_iv,1936,0.06891921433647774,0.0434061137462163,-0.03230701069102865,0.058261709771916026,0.24433848587874527
TORNTPOWER,original_locked_heston,316,0.056686864296411905,0.04264594832370331,0.0029185763421300196,0.47616898602185576,0.35089536651732367
TORNTPOWER,guarded_candidate_raw,316,0.056686864296411905,0.04264594832370331,0.0029185763421300196,0.47616898602185576,0.35089536651732367
TORNTPOWER,generalized_heston,316,0.056686864296411905,0.04264594832370331,0.0029185763421300196,0.47616898602185576,0.35089536651732367
TORNTPOWER,prior_session_median_iv,316,0.08591840776815275,0.05763966159216521,-0.032763108703450415,-0.20336888997791225,0.08030941064893077
