spot,strike,tau,rate,dividend,call_price,pinn_price,absolute_error
100.0,86.76470588235294,0.15,0.03,0.01,13.560511011686188,13.556311185032294,0.0041998266538936235
100.0,91.61764705882354,0.15,0.03,0.01,9.085420755120794,9.094074650752457,0.008653895631663744
100.0,96.47058823529412,0.15,0.03,0.01,5.306332334665868,5.3030078079219,0.0033245267439676596
100.0,101.3235294117647,0.15,0.03,0.01,2.617839572223204,2.609745648555056,0.008093923668147873
100.0,106.17647058823529,0.15,0.03,0.01,1.0706585883926678,1.0719955949536508,0.0013370065609830117
100.0,111.02941176470588,0.15,0.03,0.01,0.3609652069631597,0.3716874146016228,0.0107222076384631
100.0,115.88235294117646,0.15,0.03,0.01,0.10072915161137885,0.11024816621166873,0.00951901460028988
100.0,120.73529411764706,0.15,0.03,0.01,0.023498705530551445,0.026439626462959682,0.002940920932408237
100.0,125.58823529411765,0.15,0.03,0.01,0.004642347276386877,0.0069137038383527034,0.0022713565619658267
100.0,130.44117647058823,0.15,0.03,0.01,0.0007876050804577414,0.0022146655570203034,0.001427060476562562
100.0,135.2941176470588,0.15,0.03,0.01,0.00011636447529658409,0.0006414709065223917,0.0005251064312258076
100.0,140.1470588235294,0.15,0.03,0.01,1.5173084746294453e-05,8.406379966667329e-05,6.889071492037884e-05
100.0,145.0,0.15,0.03,0.01,1.7680032675913306e-06,1.3260705901446448e-06,4.419326774466858e-07
100.0,62.5,0.25,0.03,0.01,37.71731037181225,37.72381253692104,0.006502165108784652
100.0,67.3529411764706,0.25,0.03,0.01,32.90068625406985,32.908126556108336,0.007440302038482116
100.0,72.20588235294117,0.25,0.03,0.01,28.084996980142748,28.090044765406194,0.005047785263446514
100.0,77.05882352941177,0.25,0.03,0.01,23.277940013361928,23.27629041219532,0.0016496011666085053
100.0,81.91176470588235,0.25,0.03,0.01,18.518190593132886,18.514931774893732,0.003258818239153527
100.0,86.76470588235294,0.25,0.03,0.01,13.924589588145949,13.929302091861448,0.004712503715499139
100.0,91.61764705882354,0.25,0.03,0.01,9.729204270699512,9.738482695818002,0.009278425118489864
