case_id,case_index,distribution,noise_level,seed,start_index,start_strategy,optimizer_success_is_unique_recovery_proof,initial_kappa_slow,initial_theta_slow,initial_sigma_slow,initial_rho_slow,initial_v0_slow,initial_kappa_fast,initial_theta_fast,initial_sigma_fast,initial_rho_fast,initial_v0_fast,success,optimizer_status,optimizer_message,nfev,loss,price_rmse,price_mae,max_abs_price_error,parameter_rmse,parameter_mae,max_relative_parameter_error,boundary_near,boundary_reasons,predicted_kappa_slow,predicted_theta_slow,predicted_sigma_slow,predicted_rho_slow,predicted_v0_slow,predicted_kappa_fast,predicted_theta_fast,predicted_sigma_fast,predicted_rho_fast,predicted_v0_fast,runtime_seconds
case_2,1,interior_train,0.01,20261922,1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,True,2,`ftol` termination condition is satisfied.,114,7.178250870936016e-05,0.13762407347462668,0.07987061236289653,0.6875689953774113,0.6991976298269904,0.3499236158739103,1.1716619754799495,True,kappa_slow:near_upper_hard_bound;rho_slow:near_lower_hard_bound;fast_feller:near_boundary,2.9999999473244348,0.13364275554271404,0.17962332095574188,-0.9493587593342984,0.09002052174015542,4.462394739839646,0.060260906471746756,0.7333585269770715,-0.03489597227776228,0.09568182985688628,25.881384333013557
case_2,1,interior_train,0.01,20261922,2,disclosed_target_perturbation,False,1.6078816455001594,0.13581868501807215,0.2527107882302298,-0.7192074799812176,0.10905577334038175,7.089282836209678,0.08152999182619426,0.771397870058906,-0.06524297624664062,0.06272180999447746,True,2,`ftol` termination condition is satisfied.,46,7.178250874197033e-05,0.13762407159279647,0.0798706111328314,0.6875689953780935,0.699200613318626,0.3499248132296219,1.1716619158066353,True,kappa_slow:near_upper_hard_bound;rho_slow:near_lower_hard_bound;fast_feller:near_boundary,2.9999998648899022,0.13364285515002275,0.17962324870798246,-0.9493584221788103,0.09002011593362268,4.462380458893505,0.06026085332699579,0.7333567133871298,-0.03489708424819911,0.09568223681190724,10.345150957989972
case_3,2,wide_valid_train,0.0,20262822,0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,True,1,`gtol` termination condition is satisfied.,29,2.8814261449424596e-28,8.801753642835565e-14,5.808512348444685e-14,2.7000623958883807e-13,6.564782542292202e-11,3.3089705975264395e-11,9.405271992533385e-11,False,,1.3454711236483403,0.1040236832908161,0.192773806811786,-0.12436020195746182,0.1830631299571493,6.931444137916451,0.07733598233624088,0.5905528253305449,-0.28706529679041953,0.12205413745081102,6.917292083991924
case_3,2,wide_valid_train,0.0,20262822,1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,True,1,`gtol` termination condition is satisfied.,116,4.438235994365741e-27,4.4276765963570235e-13,3.0094154325811446e-13,1.0160761121369433e-12,2.2895588284734698e-11,9.740694362214697e-12,5.289511409644049e-11,False,,1.3454711234506262,0.10402368328986461,0.19277380680182124,-0.12436020195658902,0.18306312995903282,6.931444137740885,0.07733598233161128,0.5905528253361778,-0.28706529679578274,0.12205413744892761,28.23981208400801
case_3,2,wide_valid_train,0.0,20262822,2,disclosed_target_perturbation,False,1.5715557532695195,0.12041161432614082,0.24204865431346884,-0.1569255985205494,0.18469039945726334,8.042567160993771,0.08510745405901825,0.5698009322351808,-0.3464892112599801,0.10365291963254161,True,1,`gtol` termination condition is satisfied.,84,6.158556923978629e-28,9.28622583115919e-14,6.533190269639475e-14,2.5579538487363607e-13,4.830493962727452e-11,2.402956028602077e-11,9.549525693539571e-11,False,,1.345471123393309,0.10402368328718423,0.19277380679824077,-0.12436020195551578,0.18306312995714064,6.93144413767097,0.0773359823325654,0.5905528253326616,-0.28706529679493875,0.12205413745079886,20.2942359590088
case_3,2,wide_valid_train,0.01,20262922,0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,False,0,The maximum number of function evaluations is exceeded.,300,7.937785964313272e-05,0.12329424402290744,0.07972458166886473,0.44243862842125736,1.3346527510726887,0.6313954270769091,8.146674859546726,True,theta_slow:near_upper_hard_bound;v0_fast:near_upper_hard_bound,1.011488357637082,0.24996984253590662,0.05291263929808704,0.8887619288690306,0.05532891388976374,2.8676346961720993,0.047558489302022874,0.30015992199382824,-0.32846636178902566,0.24998106573714082,74.12360045799869
case_3,2,wide_valid_train,0.01,20262922,1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,False,0,The maximum number of function evaluations is exceeded.,300,7.937790254614436e-05,0.12329403068567944,0.0797245960661031,0.44243862823010716,1.3346336531342136,0.6312333194770113,8.140835280995637,True,theta_slow:near_upper_hard_bound;v0_fast:near_upper_hard_bound,1.0126171095572924,0.24996157619142864,0.05290311483402345,0.8880357177010612,0.05533428512057182,2.867422477128815,0.047465851724968214,0.30017791698113366,-0.32842282949329216,0.2499757366002651,68.86450458300533
case_3,2,wide_valid_train,0.01,20262922,2,disclosed_target_perturbation,False,1.5715557532695195,0.12041161432614082,0.24204865431346884,-0.1569255985205494,0.18469039945726334,8.042567160993771,0.08510745405901825,0.5698009322351808,-0.3464892112599801,0.10365291963254161,False,0,The maximum number of function evaluations is exceeded.,300,7.937787896515356e-05,0.1232940027572337,0.07972457670528456,0.44243862824502855,1.3346735032855392,0.6312859468775998,8.144200118517562,True,theta_slow:near_upper_hard_bound;v0_fast:near_upper_hard_bound,1.0125590166075364,0.24996612064069457,0.052882048578353144,0.8884541695748471,0.05533131599421751,2.867401801625719,0.047468803036911235,0.30017602250862174,-0.328421398467919,0.24997869831302338,79.5542838749825
case_4,3,wide_valid_train,0.0,20263822,0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,True,1,`gtol` termination condition is satisfied.,46,6.535488647487967e-23,2.2831188002856553e-11,1.771195621849943e-11,4.644107320928015e-11,5.695558652764438e-11,3.5162342482131234e-11,1.2974237031046923e-10,False,,2.29718794846122,0.19993119185690467,0.7611044302525924,0.18275161348640573,0.05235696725546416,7.478763310769146,0.06444403621881244,0.9115907740289443,0.6143052142771285,0.19585096645720854,11.828392124996753
case_4,3,wide_valid_train,0.0,20263822,1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,True,1,`gtol` termination condition is satisfied.,61,2.159279847336426e-25,1.230237257394364e-12,9.201237942222344e-13,3.510081114654895e-12,4.320136965868876e-12,2.2932197807357112e-12,7.487382830498318e-12,False,,2.2971879485166844,0.19993119186175531,0.7611044302385157,0.1827516134964746,0.05235696725839741,7.478763310650486,0.06444403621224822,0.9115907741540417,0.6143052142844827,0.1958509664543135,15.684083500003908
case_4,3,wide_valid_train,0.0,20263822,2,disclosed_target_perturbation,False,2.4485796838284015,0.20991106146699484,0.8143645266199077,0.21535294474108843,0.05328295035371189,8.462948033335485,0.07164063810959943,0.9940396343913258,0.6674239462664195,0.18205664547343148,True,1,`gtol` termination condition is satisfied.,7,5.676306676258448e-25,1.9651442876505815e-12,1.5044013809900818e-12,4.916955731459893e-12,6.828759562255789e-12,4.0360735586997265e-12,1.0572801299346434e-11,False,,2.297187948543945,0.19993119186203487,0.7611044302397616,0.18275161349807043,0.05235696725862998,7.478763310641838,0.06444403621127048,0.9115907741568543,0.6143052142857762,0.1958509664540758,1.9476157080207486
case_4,3,wide_valid_train,0.01,20263922,0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,True,2,`ftol` termination condition is satisfied.,76,7.002789299196653e-05,0.13429280691155526,0.08005586888927656,0.6032357045697836,0.3307694899204771,0.19669128404001768,0.7218816568250395,True,theta_slow:near_upper_hard_bound;fast_feller:near_boundary,1.6212150141050146,0.24999999884426888,0.6789001312234799,0.16862437025762883,0.0901525015296252,8.229134248387114,0.04418905688184015,0.8528043007570013,0.8551315853826209,0.1593457055379641,18.599144834006438
case_4,3,wide_valid_train,0.01,20263922,1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,True,2,`ftol` termination condition is satisfied.,115,7.002789299835477e-05,0.1342928068752217,0.08005586871067673,0.6032357045777701,0.33076934088652066,0.196691216018357,0.7218814761618236,True,theta_slow:near_upper_hard_bound;fast_feller:near_boundary,1.6212152454837554,0.24999999831272976,0.6789001992571946,0.16862435954900995,0.09015249207064713,8.229133801090017,0.044189054086084645,0.8528042334168024,0.8551315905461322,0.15934571506258566,26.070589416020084
case_4,3,wide_valid_train,0.01,20263922,2,disclosed_target_perturbation,False,2.4485796838284015,0.20991106146699484,0.8143645266199077,0.21535294474108843,0.05328295035371189,8.462948033335485,0.07164063810959943,0.9940396343913258,0.6674239462664195,0.18205664547343148,True,2,`ftol` termination condition is satisfied.,74,7.002789298647066e-05,0.13429280643273636,0.08005586850081678,0.6032357045773011,0.33076953259194924,0.19669132870792194,0.7218820878777265,True,theta_slow:near_upper_hard_bound;fast_feller:near_boundary,1.6212154098742348,0.24999999906136366,0.6789002137835262,0.16862440873091072,0.09015252409823662,8.229134701301742,0.04418903364612582,0.8528041218127616,0.8551318490345257,0.1593456835885667,15.225557999976445
