case_id,case_index,distribution,noise_level,start_index,start_strategy,optimizer_success,optimizer_status,nfev,price_rmse_normalized,price_rmse_clean_normalized,parameter_rmse_full_range,constraint_valid,finite_solution,bound_hit,bound_reasons,material_displacement,near_equivalent,weakest_direction_absolute_cosine,runtime_seconds,true_kappa_slow,recovered_kappa_slow,scaled_displacement_kappa_slow,true_theta_slow,recovered_theta_slow,scaled_displacement_theta_slow,true_sigma_slow,recovered_sigma_slow,scaled_displacement_sigma_slow,true_rho_slow,recovered_rho_slow,scaled_displacement_rho_slow,true_v0_slow,recovered_v0_slow,scaled_displacement_v0_slow,true_kappa_fast,recovered_kappa_fast,scaled_displacement_kappa_fast,true_theta_fast,recovered_theta_fast,scaled_displacement_theta_fast,true_sigma_fast,recovered_sigma_fast,scaled_displacement_sigma_fast,true_rho_fast,recovered_rho_fast,scaled_displacement_rho_fast,true_v0_fast,recovered_v0_fast,scaled_displacement_v0_fast
case_1,0,interior_train,0.005,8,deterministic_broad_8,False,0,120,0.0007826686834948299,0.0002786943270705415,0.30964489272413265,True,True,True,kappa_slow:near_upper_hard_bound;sigma_fast:near_lower_hard_bound;slow_feller:near_boundary,True,False,0.6432764191723623,2.4162772909912746,0.7201001270341181,2.999332532613331,0.7726211544336316,0.0627343918595344,0.07145536902116487,0.035595825149512095,0.2119791852951291,0.6544920568450485,0.44473655432152703,-0.1802978834235966,-0.06863169357702097,0.05877167886661876,0.0730662426958352,0.11663173078812816,0.14767962065184057,3.703463446201858,6.93981079864114,0.27196196238985565,0.0433194740041468,0.037913942688674214,-0.027300663209457492,0.2627966047238745,0.010336594175581401,-0.16886957227310573,-0.1036039245690306,0.004136329110932116,0.056705396673664595,0.0678851614425259,0.02415408169760007,-0.17633499897147514
case_1,0,interior_train,0.005,9,deterministic_broad_9,True,1,81,0.000769890831731199,0.00030096532798358565,0.4156793378015724,True,True,True,kappa_slow:near_upper_hard_bound;kappa_fast:near_upper_hard_bound;fast_feller:near_boundary,True,False,0.3687772548007327,1.6834040420071688,0.7201001270341181,2.99999900396642,0.772847076926204,0.0627343918595344,0.04466615953784851,-0.07374788702728935,0.2119791852951291,0.26105740276051725,0.04932484167375694,-0.1802978834235966,-0.877999187520546,-0.3672112126826049,0.0730662426958352,0.08594523389244363,0.043657597276638746,3.703463446201858,11.999992110078132,0.6971872826786785,0.0433194740041468,0.06393074008155741,0.10409730342126573,0.2627966047238745,1.2386833085282176,0.6527670259560823,-0.1036039245690306,0.3627908436407666,0.2454709306367354,0.0678851614425259,0.054970957261454186,-0.05207340395593435
case_1,0,interior_train,0.005,10,deterministic_broad_10,True,1,110,0.0007698908303758014,0.00030096273716718374,0.4156791468348916,True,True,True,kappa_slow:near_upper_hard_bound;kappa_fast:near_upper_hard_bound;fast_feller:near_boundary,True,False,0.36877906102731867,2.26412187499227,0.7201001270341181,2.999999894358536,0.7728473787540399,0.0627343918595344,0.04466652258620064,-0.07374640519728068,0.2119791852951291,0.26105539350296697,0.04932282231943504,-0.1802978834235966,-0.8779988458360777,-0.36721103284867423,0.0730662426958352,0.08594547147823091,0.04365840265218885,3.703463446201858,11.99999998057733,0.6971879440651658,0.0433194740041468,0.06393039541223268,0.1040955626671004,0.2627966047238745,1.2386804187516294,0.6527650929951537,-0.1036039245690306,0.3627919842659176,0.2454715309657622,0.0678851614425259,0.054970732535330906,-0.052074310109657254
case_1,0,interior_train,0.005,11,deterministic_broad_11,True,1,114,0.0007748117715697308,0.00028608954283002757,0.30898004038584365,True,True,True,theta_slow:near_lower_hard_bound;rho_slow:near_lower_hard_bound;fast_feller:near_boundary,True,False,0.001306356392849598,2.2607204999949317,0.7201001270341181,1.6874830518182653,0.32792641518106685,0.0627343918595344,0.0050000006405354885,-0.2356505764040772,0.2119791852951291,0.07292059197344002,-0.1397573802228031,-0.1802978834235966,-0.9499999443983235,-0.40510634788143524,0.0730662426958352,0.06004766351882561,-0.04413077687121895,3.703463446201858,8.3204272424547,0.387980150945617,0.0433194740041468,0.08762520968077275,0.2237663418011412,0.2627966047238745,1.2075421605973609,0.6319368266712283,-0.1036039245690306,-3.071904159898941e-10,0.054528381190442204,0.0678851614425259,0.081718696672025,0.0557803839899157
case_1,0,interior_train,0.01,0,neutral_transform_midpoint,False,0,120,0.0014319950764111339,0.0001779387521729184,0.2356303041863144,True,True,True,theta_slow:near_lower_hard_bound;sigma_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;theta_fast:near_lower_hard_bound;rho_fast:near_lower_hard_bound;kappa_ordering_gap:near_boundary,True,False,0.3682441109210093,2.457469165994553,0.7201001270341181,0.39977812046148486,-0.10858373104157057,0.0627343918595344,0.005278075563509608,-0.23451557671846857,0.2119791852951291,0.020308052843644,-0.1926343039713418,-0.1802978834235966,-0.10665567989277529,0.03875905448990595,0.0730662426958352,0.005536696991464359,-0.22891371425210455,3.703463446201858,0.4474690806005066,-0.2736129718992732,0.0433194740041468,0.003451316424774478,-0.2013543312089511,0.2627966047238745,0.046843397538843895,-0.144450305809385,-0.1036039245690306,-0.9363601244497111,-0.4382927367793055,0.0678851614425259,0.133049563833752,0.2627596870613955
case_1,0,interior_train,0.01,1,deterministic_broad_1,False,0,120,0.0014319863365014882,0.0001777722377724662,0.23636844723635117,True,True,True,theta_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;theta_fast:near_lower_hard_bound;rho_fast:near_lower_hard_bound,True,False,0.42689270366163923,2.6269351670052856,0.7201001270341181,0.19156448316740088,-0.17916462503956515,0.0627343918595344,0.005625157968680537,-0.23309891384021986,0.2119791852951291,0.045086187990032264,-0.1677316555830119,-0.1802978834235966,-0.2354309738922709,-0.02901741603614438,0.0730662426958352,0.005191585046079496,-0.23008358525340916,3.703463446201858,0.44585308537593976,-0.27374876981730406,0.0433194740041468,0.002954967504263656,-0.20386114393880375,0.2627966047238745,0.04728105639921135,-0.14415755740780142,-0.1036039245690306,-0.9170561084481786,-0.42813272835744637,0.0678851614425259,0.13339388033859007,0.26414806006477487
case_1,0,interior_train,0.01,2,deterministic_broad_2,False,0,120,0.0014297302725476972,0.00016790723272329082,0.30351095982291104,True,True,True,kappa_slow:near_lower_hard_bound;theta_slow:near_upper_hard_bound;rho_slow:near_lower_hard_bound;theta_fast:near_lower_hard_bound;sigma_fast:near_lower_hard_bound,True,False,0.30432042499186485,2.521645458007697,0.7201001270341181,0.0681507252529059,-0.22099979721397023,0.0627343918595344,0.24953185369282924,0.762438619727734,0.2119791852951291,0.05782894960897076,-0.1549248599860888,-0.1802978834235966,-0.94901953690521,-0.40459034393769133,0.0730662426958352,0.09501187759051972,0.07439198269384585,3.703463446201858,2.3124768891867946,-0.11688962663992128,0.0433194740041468,0.0020880850659585563,-0.2082393380716578,0.2627966047238745,0.005688893859159207,-0.1719784019161975,-0.1036039245690306,-0.001856192381131642,0.05355143799363103,0.0678851614425259,0.045243551370976375,-0.0912968148046352
case_1,0,interior_train,0.01,3,deterministic_broad_3,True,1,73,0.0014256285676120556,0.00018255489870452017,0.31655328110509734,True,True,True,theta_slow:near_upper_hard_bound;rho_slow:near_lower_hard_bound;v0_slow:near_lower_hard_bound;theta_fast:near_lower_hard_bound;sigma_fast:near_lower_hard_bound,True,False,0.129886074163601,1.5029030830191914,0.7201001270341181,0.47900777583956056,-0.0817262207439178,0.0627343918595344,0.2499987881273258,0.764344474562414,0.2119791852951291,0.31968960968768234,0.10825168280658617,-0.1802978834235966,-0.9499967766405257,-0.405104680640489,0.0730662426958352,0.005000005848301581,-0.23073300626282583,3.703463446201858,1.5853081396884934,-0.17799624424482055,0.0433194740041468,0.0020003071920446716,-0.20868266066718244,0.2627966047238745,0.005000891138066448,-0.17243860440522277,-0.1036039245690306,-1.6826588762239382e-05,0.05451952525277282,0.0678851614425259,0.13541844885266385,0.27231164278281433
case_1,0,interior_train,0.01,4,deterministic_broad_4,False,0,120,0.0014261825419766244,0.00018871127638603024,0.30729209853761114,True,True,True,theta_slow:near_lower_hard_bound;sigma_slow:near_lower_hard_bound;v0_fast:near_lower_hard_bound;kappa_ordering_gap:near_boundary,True,False,0.34088340685414165,2.516946709016338,0.7201001270341181,2.5714340450395508,0.6275708196628585,0.0627343918595344,0.005056662519889789,-0.2354193034271209,0.2119791852951291,0.016915953948382346,-0.19604344858969522,-0.1802978834235966,0.28007160987352436,0.2422997333142742,0.0730662426958352,0.1376333440389234,0.21887152997657022,3.703463446201858,2.571790844712848,-0.09509853794025291,0.0433194740041468,0.10317108941829954,0.30228088593006436,0.2627966047238745,0.2894705139113776,0.017842079724082353,-0.1036039245690306,-0.9067206394116665,-0.42269300781191366,0.0678851614425259,0.0020063383711443187,-0.26564041561040963
case_1,0,interior_train,0.01,5,deterministic_broad_5,False,0,120,0.001427769536743693,0.0001654099593514392,0.303193776906888,True,True,True,theta_slow:near_upper_hard_bound;rho_slow:near_lower_hard_bound;theta_fast:near_lower_hard_bound;sigma_fast:near_lower_hard_bound,True,False,0.17092234661739478,2.3083316669799387,0.7201001270341181,0.4462971307046348,-0.09281457502694349,0.0627343918595344,0.24794896098416855,0.755977833161772,0.2119791852951291,0.17470475087741666,-0.03746174313337934,-0.1802978834235966,-0.9451133856637358,-0.40253447486323124,0.0730662426958352,0.021632416761441245,-0.17435195231997952,3.703463446201858,1.7245310280891077,-0.16629684185821428,0.0433194740041468,0.002434686067450305,-0.20648882796311357,0.2627966047238745,0.006376006304940597,-0.17151879492905275,-0.1036039245690306,-0.006891221603207747,0.05090142261359098,0.0678851614425259,0.1193173465684995,0.20738784324989354
