symbol,origin_date,target_date,target_split,candidate,calendar_gap_days,origin_v0_slow,origin_v0_fast,forecast_v0_slow,forecast_v0_fast,state_fit_information_cutoff,origin_clean_quotes,optimizer_evaluations
TATAPOWER,2026-03-05,2026-03-06,validation,full_start_3,1,0.0028302350536659865,0.02539638906633181,0.002834196066230716,0.0294182716297815,2026-03-05,21,7
TATAPOWER,2026-03-05,2026-03-06,validation,training_half_a,1,0.0029361256920989584,0.02634657157808433,0.0029399854864354605,0.030251107956803303,2026-03-05,21,8
TATAPOWER,2026-03-05,2026-03-06,validation,training_half_b,1,0.0007568961549506261,0.006791813219907412,0.0007810467736864557,0.012023937099071125,2026-03-05,21,7
TATAPOWER,2026-03-09,2026-03-10,validation,full_start_1,1,0.020593642214720285,0.045472137547610765,0.02059511106359501,0.04895160903393636,2026-03-09,20,14
TATAPOWER,2026-03-09,2026-03-10,validation,full_start_2,1,0.04407094941733057,0.013853646717743046,0.0440545191109452,0.018153439741774052,2026-03-09,20,7
TATAPOWER,2026-03-09,2026-03-10,validation,full_start_3,1,0.02056908441764836,0.045505429621844784,0.020570534747885807,0.04898403538263996,2026-03-09,20,10
TATAPOWER,2026-03-09,2026-03-10,validation,training_half_a,1,0.038153030410338795,0.021875338895858316,0.038151906160940094,0.025900672580908474,2026-03-09,20,10
TATAPOWER,2026-03-09,2026-03-10,validation,training_half_b,1,0.030499581040817857,0.014039940221393484,0.030518924628858413,0.019227061542147816,2026-03-09,20,14
TATAPOWER,2026-03-11,2026-03-12,validation,full_start_1,1,0.006115648808309364,0.05487720757601622,0.006119166836594813,0.05810258762330428,2026-03-11,35,6
TATAPOWER,2026-03-11,2026-03-12,validation,full_start_2,1,0.006053250410843549,0.05431729154462197,0.006083143696031398,0.05752388203014237,2026-03-11,35,6
TATAPOWER,2026-03-11,2026-03-12,validation,full_start_3,1,0.00611561728363306,0.05487692469741034,0.006119113296978625,0.05810234503811097,2026-03-11,35,6
TATAPOWER,2026-03-11,2026-03-12,validation,training_half_a,1,0.006160834364657774,0.05528266858806785,0.006164237784727827,0.05840545129325554,2026-03-11,35,6
TATAPOWER,2026-03-11,2026-03-12,validation,training_half_b,1,0.003754192547184773,0.03368728488991569,0.003777858741067397,0.038752418726751614,2026-03-11,35,6
TATAPOWER,2026-03-13,2026-03-16,validation,full_start_1,3,0.008371118039148296,0.07511608280277561,0.008380713065195625,0.08293673293131623,2026-03-13,43,6
TATAPOWER,2026-03-13,2026-03-16,validation,full_start_2,3,0.008315345393842285,0.07461562126068012,0.008396657178321467,0.08237669028253683,2026-03-13,43,6
TATAPOWER,2026-03-13,2026-03-16,validation,full_start_3,3,0.008371101989727478,0.0751159387874103,0.008380630985411145,0.08293668805506976,2026-03-13,43,6
TATAPOWER,2026-03-13,2026-03-16,validation,training_half_a,3,0.008409650238730653,0.07546184162266811,0.008418904403628347,0.08298764136234998,2026-03-13,43,6
TATAPOWER,2026-03-13,2026-03-16,validation,training_half_b,3,0.005895312124614389,0.05290007280148309,0.0059652612527057725,0.06764567274921174,2026-03-13,43,6
TATAPOWER,2026-03-18,2026-03-19,validation,full_start_1,1,0.0027017759966196718,0.02424369430152941,0.0027057772160269944,0.028296682590668004,2026-03-18,13,8
TATAPOWER,2026-03-18,2026-03-19,validation,full_start_2,1,0.015125169922786971,0.00168558553723125,0.015144009306627852,0.006314121941355666,2026-03-18,13,13
TATAPOWER,2026-03-18,2026-03-19,validation,full_start_3,1,0.002701749905781993,0.024243460513401777,0.002705729103595584,0.028296491223188724,2026-03-18,13,9
TATAPOWER,2026-03-18,2026-03-19,validation,training_half_a,1,0.015731454424790993,0.001757492900111961,0.015733503370657983,0.006326341489929194,2026-03-18,13,35
TATAPOWER,2026-03-18,2026-03-19,validation,training_half_b,1,0.000534798277135491,0.004798875281734696,0.0005589847914644619,0.010043373020510726,2026-03-18,13,5
TATAPOWER,2026-03-19,2026-03-20,validation,full_start_1,1,0.00916658314386468,0.08225398509887681,0.009169669350443322,0.08473974228573058,2026-03-19,37,6
TATAPOWER,2026-03-19,2026-03-20,validation,full_start_2,1,0.009136280755640457,0.08198207438249319,0.00916241744739334,0.08444124799652071,2026-03-19,37,6
TATAPOWER,2026-03-19,2026-03-20,validation,full_start_3,1,0.00916658217202089,0.08225397637828845,0.009169646364594473,0.08473976336541185,2026-03-19,37,6
TATAPOWER,2026-03-19,2026-03-20,validation,training_half_a,1,0.009206569040404811,0.08261278829594156,0.009209541415357441,0.0849972053026624,2026-03-19,37,6
TATAPOWER,2026-03-19,2026-03-20,validation,training_half_b,1,0.006982053743085215,0.06265167026031829,0.007005198248091787,0.06753696847284008,2026-03-19,37,6
TATAPOWER,2026-03-20,2026-03-23,validation,full_start_1,3,0.005983438187247527,0.04678488445447313,0.005994046908723769,0.05684028119036444,2026-03-20,17,8
TATAPOWER,2026-03-20,2026-03-23,validation,full_start_2,3,0.028905670271695726,0.006958117718255689,0.028911807380084625,0.020056058105831442,2026-03-20,17,15
TATAPOWER,2026-03-20,2026-03-23,validation,full_start_3,3,0.005956592886385245,0.046832251733415445,0.005967146955440639,0.056884009004111405,2026-03-20,17,9
TATAPOWER,2026-03-20,2026-03-23,validation,training_half_a,3,0.020709081313268898,0.021872852653922772,0.020713114216298206,0.0336257359372609,2026-03-20,17,8
TATAPOWER,2026-03-20,2026-03-23,validation,training_half_b,3,0.00703654587027021,0.0007841696996563581,0.007105941747126254,0.016494494954676142,2026-03-20,17,8
TATAPOWER,2026-03-23,2026-03-24,validation,full_start_1,1,0.08593033327544025,0.009576284286300822,0.08592255453051326,0.014025533667219398,2026-03-23,21,32
TATAPOWER,2026-03-23,2026-03-24,validation,full_start_2,1,0.08835239314556854,0.009846204493978779,0.08828200703525117,0.014254266212802263,2026-03-23,21,18
TATAPOWER,2026-03-23,2026-03-24,validation,full_start_3,1,0.08592745682332403,0.009575963801409326,0.0859196566036993,0.014025259598764134,2026-03-23,21,31
TATAPOWER,2026-03-23,2026-03-24,validation,training_half_a,1,0.0865780719021908,0.009648469841340187,0.08657009433826587,0.01400413141393711,2026-03-23,21,15
TATAPOWER,2026-03-23,2026-03-24,validation,training_half_b,1,0.0636654055391827,0.007095026855674182,0.06367938884663628,0.012325268125806477,2026-03-23,21,15
TATAPOWER,2026-03-24,2026-03-25,validation,full_start_1,1,0.07453212645050471,0.008306040530149557,0.07452596097960604,0.01278960736569143,2026-03-24,20,17
TATAPOWER,2026-03-24,2026-03-25,validation,full_start_2,1,0.0766940573218439,0.008546971338055705,0.076637876594841,0.012990134318524055,2026-03-24,20,10
TATAPOWER,2026-03-24,2026-03-25,validation,full_start_3,1,0.07452921712962735,0.008305716308396684,0.07452303016903503,0.012789329804533761,2026-03-24,20,17
TATAPOWER,2026-03-24,2026-03-25,validation,training_half_a,1,0.07516260325396036,0.008376302390826368,0.07515624125493121,0.012766333546074426,2026-03-24,20,11
TATAPOWER,2026-03-24,2026-03-25,validation,training_half_b,1,0.05313239855704877,0.00592120306901415,0.05314808421545253,0.01115873243902521,2026-03-24,20,8
TATAPOWER,2026-03-25,2026-03-27,validation,full_start_1,2,0.040770478564856126,0.004543560790779916,0.04076770489979076,0.01359011585334971,2026-03-25,19,15
TATAPOWER,2026-03-25,2026-03-27,validation,full_start_2,2,0.04186612542280202,0.00466566232794961,0.04183865459950456,0.013638836678776106,2026-03-25,19,10
TATAPOWER,2026-03-25,2026-03-27,validation,full_start_3,2,0.04076828545713306,0.004543317964143076,0.04076546849660715,0.013589961068629836,2026-03-25,19,14
TATAPOWER,2026-03-25,2026-03-27,validation,training_half_a,2,0.04132943279043953,0.004605852002269508,0.04132628543885552,0.01346828792691579,2026-03-25,19,10
TATAPOWER,2026-03-25,2026-03-27,validation,training_half_b,2,0.02090841029839776,0.0023300838394139343,0.02095019435923995,0.012817078556044414,2026-03-25,19,8
TATAPOWER,2026-03-27,2026-03-30,validation,full_start_1,3,0.03266159416348006,0.0338223128557027,0.03266087660738043,0.04490018885797592,2026-03-27,26,11
TATAPOWER,2026-03-27,2026-03-30,validation,full_start_2,3,0.051720297800438464,0.005763835143602088,0.051643139368578825,0.01895598137888918,2026-03-27,26,11
TATAPOWER,2026-03-27,2026-03-30,validation,full_start_3,3,0.03258681388384964,0.03393888355397709,0.03258606216391883,0.045007665498277616,2026-03-27,26,11
TATAPOWER,2026-03-27,2026-03-30,validation,training_half_a,3,0.05103356822269585,0.005687304340356396,0.05102472800287753,0.01871689887049993,2026-03-27,26,15
TATAPOWER,2026-03-27,2026-03-30,validation,training_half_b,3,0.03198885922793856,0.0035649158814345136,0.03204615863617703,0.019223766326366576,2026-03-27,26,8
TATAPOWER,2026-03-30,2026-04-01,validation,full_start_1,2,0.04613154501017571,0.028305450645913065,0.046127253868313615,0.036085426233816026,2026-03-30,22,17
TATAPOWER,2026-03-30,2026-04-01,validation,full_start_2,2,0.06206494027057782,0.006916667134595669,0.061988275959949046,0.015769854147640816,2026-03-30,22,13
TATAPOWER,2026-03-30,2026-04-01,validation,full_start_3,2,0.046116409596102644,0.028324467738473875,0.046112078840600236,0.03610349954015074,2026-03-30,22,9
TATAPOWER,2026-03-30,2026-04-01,validation,training_half_a,2,0.06036659561868004,0.007604171479651704,0.06035806021048874,0.01630678733082655,2026-03-30,22,16
TATAPOWER,2026-03-30,2026-04-01,validation,training_half_b,2,0.044019280646117674,0.004905615156486706,0.044053594924995707,0.0153607269664352,2026-03-30,22,8
TATAPOWER,2026-04-01,2026-04-02,validation,full_start_1,1,0.034114584961969334,0.035928240048072414,0.0341141400900187,0.039665553596430536,2026-04-01,20,11
TATAPOWER,2026-04-01,2026-04-02,validation,full_start_2,1,0.055134620869983796,0.006144335568697371,0.05510470976357458,0.010652410336856044,2026-04-01,20,13
TATAPOWER,2026-04-01,2026-04-02,validation,full_start_3,1,0.03408239001426732,0.035974762362074926,0.034081927727916815,0.039710853825470266,2026-04-01,20,11
TATAPOWER,2026-04-01,2026-04-02,validation,training_half_a,1,0.052252597047310854,0.009435907518713104,0.05224947736823632,0.013797311793116357,2026-04-01,20,13
TATAPOWER,2026-04-01,2026-04-02,validation,training_half_b,1,0.03950217735529797,0.004402218234851916,0.03952006593828476,0.009649178759105759,2026-04-01,20,11
TATAPOWER,2026-04-06,2026-04-07,validation,full_start_1,1,0.03633092396376803,0.04428649166163604,0.0363301653966718,0.04779799506994056,2026-04-06,21,18
TATAPOWER,2026-04-06,2026-04-07,validation,full_start_2,1,0.0639764814948894,0.007129693912943482,0.063935796807989,0.011611147346126505,2026-04-06,21,9
TATAPOWER,2026-04-06,2026-04-07,validation,full_start_3,1,0.03620297585629107,0.04446535917350677,0.036202213431116015,0.04797206404455778,2026-04-06,21,10
TATAPOWER,2026-04-06,2026-04-07,validation,training_half_a,1,0.06350690861494387,0.007077363577148217,0.06350219617859804,0.011502487585068666,2026-04-06,21,11
TATAPOWER,2026-04-06,2026-04-07,validation,training_half_b,1,0.051642810457119194,0.005755199769213427,0.051658736863651356,0.010993759829386884,2026-04-06,21,11
TATAPOWER,2026-04-07,2026-04-08,validation,full_start_1,1,0.008413227062155946,0.07549393733119147,0.008416419896892804,0.07816232689186765,2026-04-07,19,11
TATAPOWER,2026-04-07,2026-04-08,validation,full_start_2,1,0.05869799834453481,0.006541446977393816,0.05866374535402777,0.011038793023463417,2026-04-07,19,10
TATAPOWER,2026-04-07,2026-04-08,validation,full_start_3,1,0.008413212663730105,0.07549380810710028,0.008416383485063624,0.0781622314857332,2026-04-07,19,10
TATAPOWER,2026-04-07,2026-04-08,validation,training_half_a,1,0.04627782020594184,0.023273218964669915,0.046275546102289775,0.027260786745127885,2026-04-07,19,10
TATAPOWER,2026-04-07,2026-04-08,validation,training_half_b,1,0.023148396268792025,0.03313604387313687,0.02316892795975542,0.03820460028466699,2026-04-07,19,15
TATAPOWER,2026-04-08,2026-04-09,validation,full_start_1,1,0.005743223408870776,0.051535343679401616,0.005746794149326974,0.05485100896688394,2026-04-08,28,9
TATAPOWER,2026-04-08,2026-04-09,validation,full_start_2,1,0.0323850080213833,0.015939200203172316,0.03238281673499443,0.020182648022162464,2026-04-08,28,7
TATAPOWER,2026-04-08,2026-04-09,validation,full_start_3,1,0.005743189582369603,0.05153504014010328,0.005746738307569731,0.0548507466559261,2026-04-08,28,9
TATAPOWER,2026-04-08,2026-04-09,validation,training_half_a,1,0.017436885711153673,0.03596754529052129,0.017438693297247947,0.03961215609807389,2026-04-08,28,9
TATAPOWER,2026-04-08,2026-04-09,validation,training_half_b,1,0.011102391398766679,0.02540729447328206,0.011124869972312712,0.0305238375572624,2026-04-08,28,15
TATAPOWER,2026-04-09,2026-04-10,validation,full_start_1,1,0.006624728873029032,0.059445307095804575,0.006628174847380087,0.06254727339102657,2026-04-09,22,8
TATAPOWER,2026-04-09,2026-04-10,validation,full_start_2,1,0.04077850881190267,0.01398825170699602,0.04076609025998615,0.01828440812051957,2026-04-09,22,13
TATAPOWER,2026-04-09,2026-04-10,validation,full_start_3,1,0.006624710902307001,0.059445145840134904,0.006628134860677346,0.06254714862794997,2026-04-09,22,8
TATAPOWER,2026-04-09,2026-04-10,validation,training_half_a,1,0.017014447087415185,0.045831089863732126,0.017016314458791357,0.049209221670972886,2026-04-09,22,8
TATAPOWER,2026-04-09,2026-04-10,validation,training_half_b,1,0.006213976494673462,0.03984318532420524,0.006237245136788805,0.04487009807733244,2026-04-09,22,8
TORNTPOWER,2025-12-22,2025-12-23,validation,full_start_1,1,0.014844038556963646,0.0032416654021842077,0.018013336540390695,0.008707651487379647,2025-12-22,9,16
TORNTPOWER,2025-12-22,2025-12-23,validation,full_start_2,1,0.0015294818918458715,0.013724413859162772,0.0026759774030681305,0.02204049914694295,2025-12-22,9,12
TORNTPOWER,2025-12-22,2025-12-23,validation,full_start_3,1,0.014867943690347898,0.003228865480925314,0.01803339043206942,0.008695682591965487,2025-12-22,9,15
TORNTPOWER,2025-12-22,2025-12-23,validation,training_half_a,1,0.0019671698963132102,0.01765189501898708,0.0036386465772084847,0.024060874402887955,2025-12-22,9,6
TORNTPOWER,2025-12-22,2025-12-23,validation,training_half_b,1,0.0005365921295986927,0.004814971983363826,0.0009439979506590951,0.01657529913262673,2025-12-22,9,24
TORNTPOWER,2026-01-05,2026-01-06,validation,full_start_1,1,0.004798877068353109,0.0005347985674967618,0.008101080167501412,0.006072271299628423,2026-01-05,12,5
TORNTPOWER,2026-01-05,2026-01-06,validation,full_start_2,1,0.0005347982589740457,0.004798875138913832,0.0016934672529703987,0.013355466725530785,2026-01-05,12,5
TORNTPOWER,2026-01-05,2026-01-06,validation,full_start_3,1,0.0047988770688373785,0.0005347985732118044,0.008097242352398643,0.006072854882915257,2026-01-05,12,5
TORNTPOWER,2026-01-05,2026-01-06,validation,training_half_a,1,0.0005347982621235241,0.00479887515739794,0.0022253454978256315,0.011389162747673376,2026-01-05,12,5
TORNTPOWER,2026-01-05,2026-01-06,validation,training_half_b,1,0.0005347998106817434,0.004798881260367432,0.0009422147903490746,0.016559640014386035,2026-01-05,12,4
TORNTPOWER,2026-01-06,2026-01-07,validation,full_start_1,1,0.004798875494685251,0.0005347983674164269,0.008101078614654394,0.006072271104832078,2026-01-06,10,5
TORNTPOWER,2026-01-06,2026-01-07,validation,full_start_2,1,0.0005347982591728444,0.004798875140895531,0.0016934672531667694,0.013355466727459131,2026-01-06,10,5
TORNTPOWER,2026-01-06,2026-01-07,validation,full_start_3,1,0.004798875479415164,0.0005347983666678977,0.008097240783957876,0.006072854681832968,2026-01-06,10,5
TORNTPOWER,2026-01-06,2026-01-07,validation,training_half_a,1,0.0005347982641390731,0.004798875180689518,0.0022253454998143463,0.01138916277063634,2026-01-06,10,5
TORNTPOWER,2026-01-06,2026-01-07,validation,training_half_b,1,0.0005347999318524689,0.004798881452473554,0.0009422149109006295,0.016559640201339265,2026-01-06,10,4
TORNTPOWER,2026-01-13,2026-01-14,validation,full_start_1,1,0.014414207869063887,0.0016063555581951453,0.01758919283894514,0.007115529145616556,2026-01-13,9,7
TORNTPOWER,2026-01-13,2026-01-14,validation,full_start_2,1,0.0010534051948715816,0.009452461602386003,0.002205727193308707,0.017883658309015782,2026-01-13,9,6
TORNTPOWER,2026-01-13,2026-01-14,validation,full_start_3,1,0.014436387865571696,0.0016088273144146815,0.017607531438301294,0.007118483087128646,2026-01-13,9,7
TORNTPOWER,2026-01-13,2026-01-14,validation,training_half_a,1,0.0017586517620180233,0.015780810969240295,0.0034329046473656893,0.022216184375455694,2026-01-13,9,6
TORNTPOWER,2026-01-13,2026-01-14,validation,training_half_b,1,0.0005347989159966193,0.004798880725276247,0.0009422139002357166,0.016559639493647693,2026-01-13,9,5
