symbol,candidate,candidate_source,training_objective,training_dates,training_first_date,training_last_date,optimizer_evaluations,v0_slow_training_median,v0_fast_training_median,kappa_slow,theta_slow,sigma_slow,rho_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,feller_gap_slow,feller_gap_fast,correlation_radius
POWERGRID,training_half_b,alternating training-date half B,5.513168883576545e-06,6,2024-07-25,2024-12-23,74,0.0060478038313301,0.0172608003212883,4.6260986468503456,0.0417757686190448,0.6183891020366193,-0.9496703797866016,4.728590032322976,0.2261277663338839,1.4545751429455926,-5.62561080850291e-06,0.0041125718417364,0.0227421573605335,0.949670379803264
SJVN,full_start_1,all training dates; generic start 1,4.795513855231951e-05,12,2024-12-31,2025-06-04,140,0.0162401645596192,0.0532979040652499,1.063320341238336,0.1507939590797468,0.5632659417896362,-0.9496797432567452,4.253820343611514,0.8429799372813612,2.663735822566794,-2.310263999169628e-06,0.0034160468705463,0.0762818805020284,0.9496797432595554
SJVN,full_start_2,all training dates; generic start 2,4.795765821176884e-05,12,2024-12-31,2025-06-04,140,0.0163673436303952,0.0539540985981649,1.0799654836978196,0.1514303858981415,0.5685281806979512,-0.9490742351078436,4.254102606385196,0.842251788557044,2.662650368072379,-9.16665455343913e-06,0.0038548876583455,0.076344075270252,0.9490742351521116
SJVN,full_start_3,all training dates; generic start 3,4.7950564473756366e-05,12,2024-12-31,2025-06-04,140,0.0162400615195448,0.0538103016073476,1.079691822328725,0.1506183374665957,0.5671180196144859,-0.9493869844126538,4.248931840238871,0.8434236084833396,2.662905282227036,-1.659362865479384e-06,0.0036199263394067,0.0762343076754019,0.949386984414104
SJVN,training_half_a,alternating training-date half A,4.720866302801709e-05,6,2025-01-02,2025-06-04,88,0.0175342884712508,0.0379008900556251,0.0693703191601682,0.1505132691928368,0.1437327905733764,-0.9493542022206222,5.245648983332797,0.848576067959539,2.967822389762211,-1.9454465941904e-06,0.0002231919574847,0.0946946391711147,0.9493542022226156
SJVN,training_half_b,alternating training-date half B,4.454792051498991e-05,6,2024-12-31,2025-05-20,140,0.0282979526731085,0.0576221039810296,2.1786456973974766,0.1517484458163659,0.8083731973791944,-0.9491094294869576,3.9715303912016457,0.8408575034174598,2.570439220800178,-1.3429814699139771e-05,0.0077449708880975,0.0718244711569395,0.9491094295819728
TATAPOWER,full_start_1,all training dates; generic start 1,1.7117904854087222e-05,12,2024-07-25,2024-10-30,56,0.0061485801067216,0.0537491846251237,0.0516648544064848,0.0309714472092593,0.0562528253407463,-0.9487302939923562,9.99665115955824,0.1742630685395758,1.8566205157143831,-7.765159337658114e-07,3.5890262832519865e-05,0.0370544729971125,0.948730293992674
TATAPOWER,full_start_2,all training dates; generic start 2,1.6653099102301636e-05,12,2024-07-25,2024-10-30,44,0.0061504709725015,0.0531372635308719,0.4450143167935126,0.0305866227161895,0.1641171786413053,-0.947340398329798,9.99682926931754,0.1730055802565392,1.84992616057593,0.0666405597345122,0.0002885216969499,0.0367876973444705,0.9496814173760532
TATAPOWER,full_start_3,all training dates; generic start 3,1.7117875077938015e-05,12,2024-07-25,2024-10-30,38,0.0061485895773924,0.0537491280568276,0.0516642251373682,0.0308161751508923,0.0561020577587405,-0.9477162986655736,9.996693450649412,0.1742637789176024,1.8566282271691383,-6.701105935888782e-07,3.6746736971487136e-05,0.0370547808608088,0.9477162986658104
TATAPOWER,training_half_a,alternating training-date half A,1.661955996554489e-05,6,2024-07-25,2024-10-22,74,0.0060821693009624,0.0545767877951658,0.051659983145841,0.0302091627283877,0.0555731587980871,-0.9482838353972052,9.996697357889884,0.170870412346577,1.838463074775264,0.0514934771652118,3.283369599954653e-05,0.0363331219810447,0.9496808993899992
TATAPOWER,training_half_b,alternating training-date half B,1.4170454968971063e-05,6,2024-08-02,2024-10-30,86,0.0038940074053204,0.022752511489461,0.0589962880895617,0.1501847422393699,0.1324124017988401,-0.9496814173723468,2.2732961197163952,0.8494794226393415,1.9547786876919284,-6.715000951306478e-07,0.0001876404894834,0.0410768326752997,0.9496814173725844
TORNTPOWER,full_start_1,all training dates; generic start 1,2.2126628837185013e-05,12,2025-03-07,2025-10-16,140,0.0338866437958492,0.0396467757872696,4.861459003130713,0.2543841787259946,1.5625777397680014,0.6417659029732611,9.76899180562749,0.2102131361173168,2.0143953760796225,-0.6988636384340158,0.0317073190245227,0.0493520771596838,0.948827623619968
TORNTPOWER,full_start_2,all training dates; generic start 2,2.7109255553273093e-05,12,2025-03-07,2025-10-16,30,0.0113561390590789,0.0308718222964594,4.49463011460772,0.0952085334283654,0.9201929292534268,-0.9496811721163484,9.970177186203504,0.3223464399597755,2.52177153304817,3.116177688309829e-06,0.0090992559815323,0.0683705785896275,0.9496811721214607
TORNTPOWER,full_start_3,all training dates; generic start 3,2.2136543161290287e-05,12,2025-03-07,2025-10-16,140,0.0339450582731787,0.0396189802559428,4.850333517784417,0.2546621340875742,1.5612423708624896,0.6416086206426084,9.78159830681659,0.2099685726327492,2.0150335501855876,-0.6988371825944182,0.0329148287746141,0.0472962607248597,0.9487017602278468
TORNTPOWER,training_half_a,alternating training-date half A,3.212335545522296e-05,6,2025-03-19,2025-10-16,100,0.0257688460620921,0.0188368213713311,4.892239841819369,0.1275102287728504,1.1110131140537427,-0.9496769880436878,5.185449910287584,0.4719873107234368,2.2006522462556943,-1.0475663980859762e-06,0.0132711032846881,0.052062807145214,0.9496769880442656
TORNTPOWER,training_half_b,alternating training-date half B,1.819082408595217e-05,6,2025-03-07,2025-10-13,75,0.0101474390165373,0.0200075038280696,1.8699025376742264,0.080265001232681,0.544944366520534,-0.949651934555726,9.924171882073813,0.4432535294785922,2.950299574111967,-2.1503412832466652e-06,0.0032110963803644,0.0935808507575863,0.9496519345581608
