S,tau_days,C_BS,C_SH,C_DH,C_PINN,SH_minus_DH,BS_minus_DH,PINN_minus_DH,advantage
103.04347826086956,7.487686885170823,3.2571492423476474,3.242935341924516,3.2953151361499393,3.294857261043271,-0.05237979422542338,-0.03816589380229196,-0.0004578751066683928,0.05192191911875499
103.91304347826087,7.487686885170823,4.029556943322585,4.021149673378156,4.0635262398555465,4.063152835169659,-0.0423765664773903,-0.03396929653296166,-0.000373404685887202,0.042003161791503096
104.78260869565217,7.487686885170823,4.842367440195221,4.8379433979041515,4.869495315169963,4.8692164117188135,-0.03155191726581119,-0.027127874974741673,-0.0002789034511492261,0.031273013814661965
105.65217391304347,7.487686885170823,5.680976247087574,5.678934184032,5.700740614657926,5.700534941689645,-0.0218064306259258,-0.01976436757035227,-0.00020567296828133408,0.021600757657644465
106.52173913043478,7.487686885170823,6.534777785351077,6.533976928148745,6.548071405647755,6.54792099917551,-0.014094477499009272,-0.013293620296678021,-0.00015040647224484616,0.013944071026764426
107.3913043478261,7.487686885170823,7.396847256678597,7.396602731678639,7.405179746576285,7.405073232979526,-0.008577014897645618,-0.008332489897687978,-0.00010651359675861727,0.008470501300887001
108.26086956521739,7.487686885170823,8.263082561102232,8.263044360083514,8.267988823862776,8.267917202703318,-0.004944463779262165,-0.004906262760544067,-7.16211594582461e-05,0.004872842619803919
109.13043478260869,7.487686885170823,9.13126481375645,9.13128241441126,9.133998076713825,9.133952706061422,-0.002715662302565036,-0.002733262957374194,-4.537065240306504e-05,0.002670291650161971
110.0,7.487686885170823,10.000292609358606,10.000314223836504,10.001742830725169,10.00171573690034,-0.0014286068886644188,-0.0014502213665625874,-2.7093824828128277e-05,0.0014015130638362905
110.86956521739131,7.487686885170823,10.869662230786515,10.869676205006648,10.870399598269925,10.870384269183498,-0.0007233932632768614,-0.000737367483409912,-1.5329086426874028e-05,0.0007080641768499873
111.73913043478261,7.487686885170823,11.739160706852704,11.739167853735406,11.739522047130606,11.739513770445809,-0.000354193395200042,-0.00036134027790168943,-8.276684797081657e-06,0.00034591671040296035
112.6086956521739,7.487686885170823,12.608704549792485,12.60870771572954,12.60887610632151,12.608871805414429,-0.00016839059196982475,-0.0001715565290254517,-4.300907081145056e-06,0.0001640896848886797
113.47826086956522,7.487686885170823,13.478263335090583,13.478264595272078,13.478342620084957,13.478340449426888,-7.802481287910723e-05,-7.92849943742624e-05,-2.1706580692892885e-06,7.585415480981794e-05
114.34782608695653,7.487686885170823,14.347826731650205,14.347827191203697,14.347862544106126,14.34786147029814,-3.5352902429508504e-05,-3.5812455921657715e-05,-1.0738079865291184e-06,3.4279094442979385e-05
