t_days,tau_days,S,C_BS,C_SH,C_DH,C_PINN
87.71543086172345,642.2845691382765,105.0,14.497175269715672,14.572722870782178,14.555094761695997,
88.78947368421052,641.2105263157895,105.0,,,,14.545237272951855
89.17735470941884,640.8226452905811,105.0,14.481972053417111,14.558221589833524,14.540247958994948,
90.6015037593985,639.3984962406015,105.0,,,,14.526815658275854
90.63927855711424,639.3607214428857,105.0,14.466748971514562,14.54370404521038,14.525386622928385,
92.10120240480963,637.8987975951903,105.0,14.451505948159902,14.529170189287118,14.510510715846832,
92.41353383458646,637.5864661654135,105.0,,,,14.508371554525183
93.56312625250501,636.4368737474949,105.0,14.436242907018785,14.51461997421712,14.495620199922081,
94.22556390977444,635.7744360902255,105.0,,,,14.489904889982213
95.0250501002004,634.9749498997996,105.0,14.420959771266196,14.500053351931339,14.480715037145798,
96.0375939849624,633.9624060150376,105.0,,,,14.471415592517133
96.48697394789579,633.5130260521042,105.0,14.40565646358209,14.48547027413682,14.46579518932824,
97.84962406015038,632.1503759398496,105.0,,,,14.45290358958412
97.9488977955912,632.0511022044088,105.0,14.39033290614689,14.470870692315211,14.45086061809678,
99.41082164328658,630.5891783567134,105.0,14.37518063385401,14.456254557721163,14.435911284894654,
99.66165413533834,630.3383458646616,105.0,,,,14.434368808217496
100.87274549098197,629.127254509018,105.0,14.36019752830504,14.441621821380911,14.420947150979432,
101.47368421052632,628.5263157894736,105.0,,,,14.415811175027764
102.33466933867736,627.6653306613226,105.0,14.345194941950552,14.42697243409066,14.405968177421737,
103.28571428571428,626.7142857142858,105.0,,,,14.397230616197708
103.79659318637275,626.2034068136272,105.0,14.330172800741618,14.412306346414955,14.390974325103706,
105.09774436090225,624.9022556390978,105.0,,,,14.378627057478363
105.25851703406815,624.7414829659318,105.0,14.31513103015675,14.397623508685257,14.375965554717599,
106.72044088176354,623.2795591182364,105.0,14.30006955519768,14.382923870998223,14.36094182676437,
106.90977443609022,623.0902255639098,105.0,,,,14.360000424184964
108.18236472945893,621.8176352705411,105.0,14.284988300385145,14.368207383214177,14.345903101552144,
108.7218045112782,621.2781954887218,105.0,,,,14.341350641192784
109.64428857715431,620.3557114228457,105.0,14.269887189754394,14.353473994955444,14.330849339194753,
110.53383458646616,619.4661654135339,105.0,,,,14.322677632933
111.1062124248497,618.8937875751503,105.0,14.254766146851019,14.338723655604687,14.315780499610225,
112.34586466165413,617.6541353383459,105.0,,,,14.303981323388504
112.56813627254509,617.4318637274549,105.0,14.239625094726337,14.323956314303318,14.300696542519304,
114.03006012024049,615.9699398797595,105.0,14.224463955932995,14.30917191994979,14.285597427443875,
114.1578947368421,615.8421052631579,105.0,,,,14.285261636089537
115.49198396793588,614.5080160320641,105.0,14.209282652520436,14.294370421197888,14.270483113705417,
115.96992481203007,614.0300751879699,105.0,,,,14.26651849410938
116.95390781563127,613.0460921843687,105.0,14.194081106030255,14.279551766455082,14.255353560423464,
117.78195488721805,612.218045112782,105.0,,,,14.247751820060017
118.41583166332666,611.5841683366733,105.0,14.178859237491647,14.264715903880754,14.24020872651398,
119.59398496240601,610.406015037594,105.0,,,,14.228961536087603
119.87775551102204,610.1222444889779,105.0,14.1636169674166,14.249862781384493,14.225048570687845,
121.33967935871745,608.6603206412825,105.0,14.1483542157952,14.234992346624312,14.209873051449124,
121.40601503759399,608.593984962406,105.0,,,,14.210147563867954
