S,tau_days,C_BS,C_SH,C_DH,C_PINN,payoff,BS_minus_DH,SH_minus_DH,PINN_minus_DH
87.5,90.0,0.37422665873804334,0.3187241725320996,0.25206609514685663,0.25251033872970563,0.0,0.12216056359118671,0.06665807738524299,0.0004442435828490021
87.55,90.0,0.37905556106356786,0.3232537665174144,0.2562442088745208,0.2566874534833126,0.0,0.12281135218904704,0.06700955764289357,0.00044324460879180405
87.6,90.0,0.38393416808610853,0.32783465581396515,0.26047685030725515,0.260919023408434,0.0,0.12345731777885338,0.06735780550671,0.00044217310117883324
87.65,90.0,0.38886282527928495,0.3324672298811582,0.2647644831764304,0.2652055124324586,0.0,0.12409834210285453,0.06770274670472776,0.00044102925602818033
87.7,90.0,0.39384187863224146,0.33715187873751884,0.26910757165952937,0.2695473849525454,0.0,0.1247343069727121,0.06804430707798947,0.00043981329301601146
87.75,90.0,0.3988716746305099,0.34188899293375363,0.2735065803361628,0.27394510579118386,0.0,0.12536509429434706,0.06838241259759081,0.0004385254550210438
87.8,90.0,0.4039525602363921,0.3466789635255338,0.2779619741437291,0.2783991401514918,0.0,0.125990586092663,0.0687169893818047,0.00043716600776272374
87.85,90.0,0.4090848828696422,0.35152218204623764,0.2824742183330366,0.2829099535723689,0.0,0.12661066453660558,0.06904796371320104,0.0004357352393323244
87.9,90.0,0.41426899038762943,0.35641904047950196,0.287043778423704,0.28747801188341654,0.0,0.12722521196392544,0.06937526205579797,0.0004342334597125519
87.95,90.0,0.4195052310656005,0.3613699312315543,0.29167112015940355,0.29210378115977204,0.0,0.12783411090619695,0.06969881107215076,0.00043266100036848387
88.0,90.0,0.42479395357679395,0.3663752471034547,0.2963567094629994,0.2967877276766881,0.0,0.12843724411379454,0.07001853764045529,0.0004310182136886831
88.05,90.0,0.4301355069723399,0.37143538126319026,0.3011010123915304,0.30153031786403356,0.0,0.12903449458080946,0.07033436887165984,0.00042930547250313866
88.1,90.0,0.43553024066117335,0.3765507272175797,0.3059044950910602,0.3063320182606168,0.0,0.12962574557011314,0.07064623212651949,0.0004275231695565762
88.15,90.0,0.44097850438972486,0.38172167878405805,0.310767623751493,0.31119329546839686,0.0,0.13021088063823183,0.07095405503256502,0.00042567171690383043
88.2,90.0,0.4464806482215281,0.38694863006234426,0.31569086456111917,0.3161146161065644,0.0,0.13078978366040894,0.07125776550122509,0.00042375154544521676
88.25,90.0,0.4520370225167394,0.39223197540592025,0.3206746836612896,0.32109644676553556,0.0,0.1313623388554498,0.07155729174463066,0.00042176310424596464
88.3,90.0,0.4576479779115285,0.3975721093934564,0.3257195471008025,0.32613925396083254,0.0,0.13192843081072603,0.07185256229265391,0.00041970686003006685
88.35,90.0,0.46331386529738205,0.4029694268000741,0.3308259207904016,0.33124350408685055,0.0,0.13248794450698048,0.07214350600967251,0.00041758329644897563
88.39999999999999,90.0,0.4690350358002525,0.40842432256842975,0.3359942704570391,0.3364096633706335,0.0,0.1330407653432134,0.07243005211139064,0.00041539291359438124
88.45,90.0,0.47481184075964483,0.4139371917798244,0.3412250615982167,0.3416381978254723,0.0,0.13358677916142814,0.07271213018160771,0.00041313622725558385
88.5,90.0,0.4806446317076194,0.41950842962504453,0.34651875943620514,0.3469295732045387,0.0,0.13412587227141426,0.0729896701888394,0.0004108137683335733
88.55,90.0,0.48653376034765966,0.4251384313752229,0.35187582887230845,0.3522842549544193,0.0,0.1346579314753512,0.07326260250291444,0.0004084260821108354
88.6,90.0,0.49247957853344515,0.43082759235249685,0.35729673444096477,0.3577027081686571,0.0,0.13518284409248038,0.07353085791153208,0.00040597372769235474
88.64999999999999,90.0,0.49848243824754923,0.4365763079006633,0.3627819402640638,0.36318539754122825,0.0,0.13570049798348544,0.07379436763659952,0.000403457277164454
88.7,90.0,0.5045426915800534,0.44238497335562627,0.36833191000499516,0.368732787320037,0.0,0.13621078157505823,0.07405306335063111,0.00040087731504184765
88.75,90.0,0.5106606907070584,0.448253984015914,0.37394710682291793,0.37434534126039726,0.0,0.1367135838841405,0.07430687719299606,0.00039823443747932785
88.8,90.0,0.5168367878691122,0.454183735112875,0.3796279933269101,0.38002352257852645,0.0,0.13720879454220214,0.07455574178596491,0.00039552925161634445
88.85,90.0,0.5230713353495029,0.46017462178109225,0.38537503153023694,0.38576779390503757,0.0,0.13769630381926595,0.07479959025085531,0.0003927623748006259
88.89999999999999,90.0,0.5293646854526148,0.46622703902846113,0.39118868280457075,0.39157861723850407,0.0,0.13817600264804408,0.07503835622389038,0.0003899344339333144
88.95,90.0,0.5357171904820573,0.47234138170632295,0.39706940783433714,0.3974564538990303,0.0,0.1386477826477202,0.07527197387198581,0.00038704606469314173
89.0,90.0,0.5421292027187435,0.47851804447950164,0.40301766657103594,0.4034017644818616,0.0,0.1391115361477076,0.0755003779084657,0.0003840979108256648
89.05,90.0,0.5486010743990404,0.4847574217963317,0.40903391818772333,0.4094150088111092,0.0,0.13956715621131704,0.07572350360860836,0.0003810906233858713
89.1,90.0,0.5551331576925637,0.4910599078585039,0.41511862103346187,0.4154966458934866,0.0,0.1400145366591018,0.07594128682504203,0.00037802486002475044
89.14999999999999,90.0,0.5617258046802533,0.49742589659100395,0.4212722325879195,0.4216471338721661,0.0,0.14045357209233383,0.07615366400308443,0.0003749012842466093
89.2,90.0,0.5683793673320795,0.503855781611874,0.4274952094160779,0.42786692998071224,0.0,0.14088415791600162,0.07636057219579617,0.0003717205646343591
89.25,90.0,0.5750941974848425,0.5103499562020358,0.433788007122964,0.4341564904971181,0.0,0.14130619036187847,0.07656194907907182,0.0003684833741540716
89.3,90.0,0.5818706468199054,0.5169088132750376,0.4401510803085656,0.44051627069796523,0.0,0.14171956651133982,0.07675773296647198,0.0003651903893996389
89.35,90.0,0.5887090668408625,0.5235327453466981,0.44658488252285367,0.44694672481269676,0.0,0.14212418431800888,0.07694786282384447,0.0003618422898430951
89.39999999999999,90.0,0.5956098088510426,0.530222144504835,0.4530898662209005,0.4534483059780082,0.0,0.14251994263014217,0.07713227828393449,0.00035843975710775355
89.45,90.0,0.6025732239311431,0.536977402378902,0.45966648271818833,0.460021466192427,0.0,0.14290674121295477,0.07731091966071368,0.00035498347423867926
89.5,90.0,0.6095996629166789,0.5437989101096045,0.4663151821460144,0.46666665627099474,0.0,0.14328448077066447,0.07748372796359004,0.00035147412498032216
89.55,90.0,0.6166894763754738,0.5506870583185381,0.47303641340709107,0.4733843258001406,0.0,0.1436530629683827,0.07765064491144708,0.00034791239304954313
89.6,90.0,0.6238430145849836,0.5576422370777493,0.4798306241313149,0.48017492309272714,0.0,0.1440123904536687,0.0778116129464344,0.00034429896141224825
89.64999999999999,90.0,0.631060627509741,0.5646648358793737,0.4866982606316408,0.48703889514326026,0.0,0.14436236687810022,0.07796657524773287,0.00034063451161947533
89.7,90.0,0.6383426647786127,0.5717552436052092,0.4936397678602651,0.4939766875833168,0.0,0.1447028969183476,0.07811547574494415,0.0003369197230517207
89.75,90.0,0.6456894756621097,0.5789138484963214,0.5006555893648882,0.500988744637152,0.0,0.14503388629722147,0.07825825913143325,0.000333155272263852
89.8,90.0,0.6531014090496458,0.58614103812264,0.5077461672452203,0.5080755090775358,0.0,0.1453552418044255,0.0783948708774197,0.00032934183231558833
89.85,90.0,0.660578813426756,0.5934371993525844,0.5149119421097045,0.5152374221817878,0.0,0.14566687131705147,0.07852525724287995,0.0003254800720833284
89.89999999999999,90.0,0.6681220368522824,0.6008027183227037,0.5221533530324596,0.522474923688071,0.0,0.14596868381982286,0.07864936529024413,0.00032157065561144726
89.95,90.0,0.6757314269355335,0.6082379804073059,0.5294708375104372,0.5297884517519016,0.0,0.14626058942509623,0.0787671428968687,0.0003176142414643701
90.0,90.0,0.683407330813447,0.61574337018817,0.5368648314207863,0.5371784429029115,0.0,0.14654249939266062,0.07887853876738371,0.00031361148212516454
90.05,90.0,0.6911500951276919,0.6233192714242289,0.5443357689785202,0.5446453320018835,0.0,0.14681432614917167,0.07898350244570873,0.00030956302336326846
90.1,90.0,0.6989600660018005,0.6309660670213831,0.5518840826944206,0.5521895521980306,0.0,0.14707598330737992,0.07908198432696256,0.0003054695036099897
