case,model,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
SMIRK_WEIGHTS_random_00,BS_TERM,medium,0.0011999065099709968,0.0009906992073956166,0.002115572080020244,0.002458610634848979,0.0011999065099709968,3.5907214430269425,213,213
SMIRK_WEIGHTS_random_00,BS_TERM,long,0.0020465728669073575,0.0018875807419767815,0.0028669918165646624,0.003017246159504161,0.0020465728669073575,1.7363564036570647,306,306
SMIRK_WEIGHTS_random_00,BS_TERM,very_long,0.001506709748897508,0.0013299300000742108,0.0023996060931503692,0.0025794688897229356,0.001506709748897508,0.43212881325705826,152,152
SMIRK_WEIGHTS_random_00,BS_TERM,ATM,0.00030143565585272143,0.0002542708576741208,0.000570519081517795,0.000635480351884099,0.00030143565585272143,0.21957634092243175,49,49
SMIRK_WEIGHTS_random_00,BS_TERM,wing,0.0015550268303966802,0.0011599891189821281,0.00273912735417533,0.003017246159504161,0.0015550268303966802,3.6749024230850442,599,659
SMIRK_WEIGHTS_random_00,BS_TERM,K/F_0.70_0.90,0.001660633078780992,0.0012369790691040413,0.0028624947746427763,0.003017246159504161,0.001660633078780992,4.288760667508779,298,329
SMIRK_WEIGHTS_random_00,BS_TERM,K/F_0.90_0.98,0.0013684985645470449,0.0012072071262895882,0.002318994592163253,0.002588119064999894,0.0013684985645470449,1.625050452745461,132,132
SMIRK_WEIGHTS_random_00,BS_TERM,K/F_0.98_1.02,0.0004194804627657706,0.0003471096339994063,0.0008356175536963495,0.0009056779642344637,0.0004194804627657706,0.332980344919791,66,66
SMIRK_WEIGHTS_random_00,BS_TERM,K/F_1.02_1.10,0.0008968604878452274,0.0007657664059284711,0.0016371915973518304,0.0018644684198087513,0.0008968604878452274,1.1801726035609836,132,132
SMIRK_WEIGHTS_random_00,BS_TERM,K/F_1.10_1.30,0.0014339886831408314,0.0010828326538213759,0.002485088829377505,0.002629640265366162,0.0014339886831408314,2.900452959361324,318,347
SMIRK_WEIGHTS_random_00,BS_SELECTED,short,0.0003955638917324984,0.0002247247417210452,0.0009585741510100486,0.001342883185618926,0.0003955638917324984,4.263587620759177,275,335
SMIRK_WEIGHTS_random_00,BS_SELECTED,medium,0.0011999065099709968,0.0009906992073956166,0.002115572080020244,0.002458610634848979,0.0011999065099709968,3.5907214430269425,213,213
SMIRK_WEIGHTS_random_00,BS_SELECTED,long,0.0020465728669073575,0.0018875807419767815,0.0028669918165646624,0.003017246159504161,0.0020465728669073575,1.7363564036570647,306,306
SMIRK_WEIGHTS_random_00,BS_SELECTED,very_long,0.001506709748897508,0.0013299300000742108,0.0023996060931503692,0.0025794688897229356,0.001506709748897508,0.43212881325705826,152,152
SMIRK_WEIGHTS_random_00,BS_SELECTED,ATM,0.00030143565585272143,0.0002542708576741208,0.000570519081517795,0.000635480351884099,0.00030143565585272143,0.21957634092243175,49,49
