bucket,model,eligible_quotes,scored_quotes,price_RMSE_index_points,price_MAE_index_points,max_abs_error_index_points,forward_normalized_RMSE,equal_date_forward_RMSE,IV_RMSE_volatility_points,IV_valid_quotes
K/F_0.70-0.90,double_state_exact,20,20,6.352689651006572,5.9843601314861266,9.144185855267844,0.0002651884848715309,0.0002514059506599577,11.671099533921177,20.0
K/F_0.70-0.90,double_state_PINN,20,3,2.777582416702138,2.733327065755359,3.1999958089547116,0.0001193044109188338,0.0001193044109188338,18.446554836172254,3.0
K/F_0.70-0.90,BS_state_flat,20,20,6.679550186152496,6.220865356810344,10.611396242030535,0.0002786890232027195,0.00026095482210600787,11.204179722609057,14.0
K/F_0.70-0.90,BS_state_term,20,20,6.680545326618424,6.22158344080527,10.613213589268812,0.00027873012833835474,0.00026098299300491234,11.355850643736495,14.0
K/F_0.90-0.98,single_state_exact,206,206,36.90812347164307,25.59167999791012,128.59909118166024,0.001559470804670493,0.001582746413183084,3.5497192708928313,206.0
K/F_0.90-0.98,double_state_exact,206,206,32.138193420369305,22.82791968887919,112.68696009488158,0.0013575940095823097,0.0013762619273696849,3.3751678047273375,206.0
K/F_0.90-0.98,double_state_PINN,206,39,27.19111605304715,23.64642410204244,58.1019031740949,0.0011748610258605276,0.001180351067434771,3.6893186535391997,39.0
K/F_0.90-0.98,BS_state_flat,206,206,21.403323585566742,18.86771482461008,59.42257673571868,0.0009096279727342128,0.0009205657786840176,3.433780687636559,206.0
K/F_0.90-0.98,BS_state_term,206,206,20.96302151018344,19.018638085547497,47.723937275453075,0.0008906075785261207,0.0009008424740786398,3.4472721056330773,206.0
K/F_0.98-1.02,single_state_exact,407,407,63.787824911853754,51.89885182158988,185.2102835346166,0.0026969161329425118,0.0027538165192962484,2.428225736638567,407.0
K/F_0.98-1.02,double_state_exact,407,407,57.29970984154751,47.16892771474314,169.26079948658327,0.0024216418187845037,0.0024697800526752817,2.2473435862439843,407.0
K/F_0.98-1.02,double_state_PINN,407,76,43.08487055328982,37.234423653149236,78.4645132490671,0.0018638118967966243,0.0018698908593263017,1.9210177846044607,76.0
K/F_0.98-1.02,BS_state_flat,407,407,11.551611375662196,9.604447330805488,34.26671898620181,0.0004884766224044145,0.0004984899437797206,0.49047533044199193,407.0
K/F_0.98-1.02,BS_state_term,407,407,9.894940676948606,8.220137090641035,49.842246334052604,0.00041944727233495963,0.00042929989179771197,0.408793687377805,407.0
K/F_1.02-1.10,single_state_exact,303,303,29.642800126873375,19.062698003718502,140.68965446212783,0.001259148560637881,0.0013096642296568323,3.9274058855676426,249.0
K/F_1.02-1.10,double_state_exact,303,303,27.071944892917386,17.646265729568455,127.48163957263938,0.00114981249917877,0.0011951928422706817,4.210257819095119,277.0
K/F_1.02-1.10,double_state_PINN,303,84,21.368077371430093,15.403491616049347,72.4403984353123,0.0009258153100049142,0.0009235544634111652,5.485329625768855,84.0
K/F_1.02-1.10,BS_state_flat,303,303,9.629752273295118,7.378338745167414,31.126381292883767,0.00041046878515614213,0.00041629862932069127,2.3355558136626353,303.0
K/F_1.02-1.10,BS_state_term,303,303,9.404886547556371,7.128767536549687,29.536203571877834,0.0004011705054660349,0.0004033197818879289,2.314482614708444,303.0
K/F_1.10-1.30,single_state_exact,31,31,6.065355815968318,4.531492002972224,18.15983818882741,0.00026189763905708923,0.00021805701697355035,7.4742273813675375,15.0
K/F_1.10-1.30,double_state_exact,31,31,5.724547494480022,4.364844548065183,16.490414402846874,0.00024707720665943274,0.00020657290275336352,6.597840827967049,17.0
K/F_1.10-1.30,double_state_PINN,31,10,8.38044721300119,6.564725975260698,16.447326641738847,0.00036454876555162217,0.0003581319856896596,9.69136300920778,10.0
K/F_1.10-1.30,BS_state_flat,31,31,4.60810069120692,3.852921821563096,10.440858428983525,0.00019812920391540256,0.00017260692503009965,7.221942524421501,28.0
K/F_1.10-1.30,BS_state_term,31,31,4.727835907091763,3.911067991745413,10.752739779746767,0.0002033933550609258,0.0001774754527057928,7.169991186336193,28.0
