split,index,check,x,K/F,tau_days,v_slow,v_fast,teacher,reference,abs_diff,reference_error,seconds
train,25462,accepted_vs_adaptive_1e-10,-0.03279096099911527,1.0333345094493311,300.95004683474394,0.005598248474034174,0.0813588836446261,0.10595216320896961,0.10595216320899603,2.6423307986078726e-14,,0.047312250004324596
train,74043,accepted_vs_adaptive_1e-10,-0.08447625388288149,1.0881470046589958,323.3511292633062,0.14271507059922936,0.12268211895849503,0.1320496518464,0.13204965184643397,3.397282455352979e-14,,0.0189797919956618
train,59085,accepted_vs_adaptive_1e-10,-0.02916979891058591,1.0295994044906582,278.90230973716257,0.03537961487900714,0.013028927948624983,0.10771299688506741,0.10771299688509389,2.6478819137309983e-14,,0.035245374994701706
train,86449,accepted_vs_adaptive_1e-10,-0.07478011433510245,1.0776471656672126,126.0445457666081,0.048901852742925245,0.029173365922034723,0.054828516481855716,0.05482851648187781,2.2093438190040615e-14,,0.024326833001396153
train,77209,accepted_vs_adaptive_1e-10,-0.09294733870698424,1.0974039430357876,98.45916155640654,0.0007568210233813179,0.0034405998462614684,0.01762809975387436,0.017628099753891124,1.6764367671839864e-14,,0.04508625000016764
train,4944,accepted_vs_adaptive_1e-10,-0.0681035718477348,1.0704761739326956,112.60578018188765,0.0006386098920495586,0.0016909156479624308,0.021056235713112603,0.021056235713127036,1.4432899320127035e-14,,0.030800415996054653
train,65060,accepted_vs_adaptive_1e-10,-0.0727669587438361,1.0754798765273272,219.25512769193955,0.0038490575375694446,0.09854475776900451,0.04842449755364203,0.04842449755366268,2.0650148258027912e-14,,0.038265167000645306
train,11691,accepted_vs_adaptive_1e-10,-0.06586931186631434,1.068087121731906,290.599371429734,0.0017637909878161007,0.1622683340951982,0.05928150425792411,0.05928150425794604,2.1926904736346842e-14,,0.06227308300003642
train,91184,accepted_vs_adaptive_1e-10,-0.07765515198458733,1.0807498999430707,330.14026003499333,0.027283166440271085,0.006277547556709285,0.051419645021519134,0.05141964502154095,2.1815882433884326e-14,,0.022822041995823383
train,62509,accepted_vs_adaptive_1e-10,-0.042038274273078546,1.0429343955427233,221.8358110880033,0.09399137026243928,0.0045298805481865925,0.10584141905161498,0.10584141905164224,2.7255975254547593e-14,,0.0372757079967414
train,69217,accepted_vs_adaptive_1e-10,-0.05110665867768177,1.0524351386373598,108.33377937828553,0.0005506567447543118,0.18503887506676495,0.04178955394194139,0.041789553941961044,1.965094753586527e-14,,0.03244591700058663
train,97106,accepted_vs_adaptive_1e-10,-0.038122961916771336,1.038858965114842,120.14584998101328,0.04515292171988165,0.0038646864161434955,0.0470460919421814,0.04704609194219822,1.6819878823071122e-14,,0.021058459002233576
train,90045,accepted_vs_adaptive_1e-10,-0.036392000468851105,1.0370622957277265,358.35452107283845,0.015159496594383494,0.0021036088463715287,0.10595842247032328,0.10595842247035014,2.6867397195928788e-14,,0.02619691599829821
train,22183,accepted_vs_adaptive_1e-10,-0.037332457385269635,1.0380380668999551,278.15719101051064,0.0926058416043916,0.03389026482278668,0.09717063967225703,0.09717063967228268,2.5646151868841116e-14,,0.017579875006049406
train,27442,accepted_vs_adaptive_1e-10,-0.038139647776708474,1.0388762995146477,103.22910080483187,0.0070118770376638,0.0011292306111521679,0.03553916030796023,0.03553916030797433,1.4099832412739488e-14,,0.05400887499854434
train,11264,accepted_vs_adaptive_1e-10,-0.04725586419512251,1.048390220285258,203.0210889157141,0.0006233371420382464,0.07887047745003639,0.07160008864162554,0.07160008864164774,2.220446049250313e-14,,0.05072245799965458
train,38978,accepted_vs_adaptive_1e-10,-0.027039227816117395,1.0274081049492194,119.05677635564209,0.00032208106606475284,0.0322364534115609,0.05006248927594814,0.05006248927596413,1.5987211554602254e-14,,0.04596612499881303
train,15757,accepted_vs_adaptive_1e-10,-0.03129871203526674,1.0317936670444674,97.28714248846829,0.002697644619740259,0.00983335585745802,0.0404580012509681,0.0404580012509827,1.459943277382081e-14,,0.028221167005540337
train,73451,accepted_vs_adaptive_1e-10,-0.06001258157650152,1.0618499062071447,147.01245080486748,0.0007128785554585377,0.016927083182727343,0.03343552972199659,0.0334355297220128,1.6209256159527285e-14,,0.04210041699843714
train,98177,accepted_vs_adaptive_1e-10,-0.1684197373326361,1.1834332375245706,215.8217558681313,0.007085724300155324,0.004652188152350966,0.024698481101476988,0.024698481101503383,2.6395552410463097e-14,,0.017821292000007816
train,96071,accepted_vs_adaptive_1e-10,-0.2951512340537476,1.3433295004907881,205.27812120828764,0.0023256953106736856,0.04865841999245325,0.013038657805121201,0.013038657805158296,3.709532681028804e-14,,0.022810415997810196
train,41598,accepted_vs_adaptive_1e-10,-0.2567989419486413,1.292785175759345,137.55974384769254,0.00035970623369668494,0.005654094787253071,0.001687780417249686,0.0016877804172830968,3.3410774147313305e-14,,0.017733082997438032
