t_days,tau_days,S,C_BS,C_SH,C_DH
44.70175438596491,320.29824561403507,296.1,29.726254037647184,30.71692757013476,30.408952976059126
45.614035087719294,319.3859649122807,296.1,29.693219382065354,30.68461255340085,30.37657948677751
46.526315789473685,318.4736842105263,296.1,29.660135978913768,30.652254571382947,30.344165550686828
47.43859649122807,317.56140350877195,296.1,29.627003615222858,30.619853459814315,30.311711017563525
48.35087719298245,316.64912280701753,296.1,29.593822076469653,30.587409053400677,30.279215736246552
49.26315789473684,315.7368421052632,296.1,29.560591146562015,30.554921185811608,30.246679554629253
50.175438596491226,314.82456140350877,296.1,29.52731060782247,30.522389689671535,30.214102319651065
51.08771929824561,313.9122807017544,296.1,29.493980240972217,30.489814396550624,30.18148387728906
52.0,313.0,296.1,29.46059982511435,30.457195136955608,30.148824072549573
52.91228070175438,312.0877192982456,296.1,29.427169137717247,30.42453174032075,30.116122749459507
53.82456140350877,311.17543859649123,296.1,29.39368795459779,30.3918240349986,30.083379751057766
54.73684210526316,310.2631578947368,296.1,29.360156049904006,30.359071848250142,30.050594919386413
55.64912280701754,309.35087719298247,296.1,29.326573196097822,30.32627500623555,30.017768095481948
56.561403508771924,308.43859649122805,296.1,29.292939163937593,30.293433334004654,29.984899119366105
57.473684210526315,307.5263157894737,296.1,29.25925372245997,30.26054665548688,29.951987830036995
58.3859649122807,306.6140350877193,296.1,29.225516638962166,30.227614793481656,29.919034065459805
59.29824561403508,305.70175438596493,296.1,29.191727678983035,30.19463756964839,29.886037662557587
60.21052631578947,304.7894736842105,296.1,29.157886606285413,30.161614804496256,29.852998457201807
61.122807017543856,303.87719298245617,296.1,29.123993182836422,30.12854631737423,29.81991628420282
62.03508771929824,302.96491228070175,296.1,29.090047168789,30.095431926460616,29.786790977300456
62.94736842105263,302.0526315789474,296.1,29.056048322462214,30.062271448752735,29.75362236915409
63.859649122807014,301.140350877193,296.1,29.021996400321818,30.029064700056296,29.720410291332797
64.7719298245614,300.2280701754386,296.1,28.98789115696039,29.995811494974856,29.687154574305673
65.68421052631578,299.3157894736842,296.1,28.95373234507704,29.962511646898925,29.65385504743144
66.59649122807018,298.4035087719298,296.1,28.919519715457202,29.929164967995295,29.620511538948502
67.50877192982456,297.49122807017545,296.1,28.885253016951772,29.89577126919569,29.587123875964433
68.42105263157895,296.57894736842104,296.1,28.850931996456172,29.86233036018593,29.553691884445836
69.33333333333333,295.6666666666667,296.1,28.816556398889134,29.82884204939459,29.520215389207465
70.24561403508771,294.7543859649123,296.1,28.782125967170963,29.79530614398138,29.486694213901817
71.1578947368421,293.8421052631579,296.1,28.74764044220184,29.761722449825992,29.453128181008168
72.0701754385965,292.9298245614035,296.1,28.713099562839542,29.728090771516115,29.419517111821744
72.98245614035088,292.0175438596491,296.1,28.67850306587685,29.694410912335837,29.38586082644264
73.89473684210526,291.10526315789474,296.1,28.64385068601896,29.660682674253703,29.352159143764506
74.80701754385964,290.1929824561404,296.1,28.609142155860123,29.626905857910554,29.31841188146346
75.71929824561403,289.280701754386,296.1,28.57437720586029,29.59308026260737,29.28461885598632
76.63157894736841,288.36842105263156,296.1,28.539555564321265,29.55920568629299,29.250779882539312
77.54385964912281,287.4561403508772,296.1,28.504676957362683,29.525281925551585,29.216894775076046
78.45614035087719,286.5438596491228,296.1,28.469741108897306,29.49130877558994,29.182963346285906
79.36842105263158,285.63157894736844,296.1,28.43474774060624,29.457286030224772,29.148985407581655
80.28070175438596,284.719298245614,296.1,28.399696571913964,29.423213481869787,29.114960769087638
81.19298245614034,283.8070175438597,296.1,28.364587319962375,29.389090921522627,29.0808892396272
82.10526315789473,282.89473684210526,296.1,28.329419699585277,29.35491813875151,29.046770626710334
83.01754385964912,281.9824561403509,296.1,28.294193423281616,29.320694921682065,29.012604736520988
83.9298245614035,281.0701754385965,296.1,28.25890820118925,29.28642105698348,28.97839137390418
84.84210526315789,280.1578947368421,296.1,28.223563741057376,29.252096329855096,28.944130342353276
85.75438596491227,279.2456140350877,296.1,28.18815974821952,29.217720524012368,28.909821443996556
86.66666666666666,278.33333333333337,296.1,28.15269592556522,29.183293421672893,28.87546447958439
87.57894736842104,277.42105263157896,296.1,28.117171973512107,29.14881480354214,28.841059248475325
88.49122807017544,276.50877192982455,296.1,28.081587589976845,29.11428444879913,28.80660554862274
89.40350877192982,275.5964912280702,296.1,28.045942470346013,29.07970213508195,28.772103176560993
90.3157894736842,274.6842105263158,296.1,28.01023630744693,29.04506763847301,28.737551927391515
91.22807017543859,273.7719298245614,296.1,27.97446879151706,29.01038073348399,28.702951594768557
92.14035087719297,272.859649122807,296.1,27.93863961017378,28.975641193041024,28.668301970884986
93.05263157894737,271.9473684210526,296.1,27.90274844838361,28.94084878846937,28.633602846457762
93.96491228070175,271.03508771929825,296.1,27.86679498843046,28.906003289477724,28.59885401071325
94.87719298245614,270.1228070175439,296.1,27.830778909883982,28.871104464142984,28.564055251372242
95.78947368421052,269.2105263157895,296.1,27.79469988956723,28.836152078894276,28.52920635463521
96.7017543859649,268.29824561403507,296.1,27.7585576015234,28.801145898496834,28.494307105166644
97.61403508771929,267.3859649122807,296.1,27.722351716983038,28.76608568603596,28.459357286079882
98.52631578947368,266.4736842105263,296.1,27.686081904329797,28.7309712029006,28.42435667892127
99.43859649122807,265.56140350877195,296.1,27.649747829065983,28.695802208766597,28.389305063654522
100.35087719298245,264.64912280701753,296.1,27.60885646761041,28.660578461580165,28.3542022186445
101.26315789473684,263.7368421052632,296.1,27.567315081584038,28.62529971754065,28.319047920640948
102.17543859649122,262.82456140350877,296.1,27.52568890438526,28.589965731083282,28.28384194476203
103.0877192982456,261.9122807017544,296.1,27.483977422878596,28.55457625486202,28.24858406447752
104.0,261.0,296.1,27.442180118752944,28.519131039731725,28.213274051592233
104.91228070175438,260.0877192982456,296.1,27.400296468449042,28.483629834730205,28.177911676228348
105.82456140350877,259.17543859649123,296.1,27.35832594308508,28.44807238706032,28.142496706808373
106.73684210526315,258.2631578947369,296.1,27.31626800838115,28.412458442071514,28.107028910037496
107.64912280701753,257.35087719298247,296.1,27.274122124582533,28.37678774324137,28.07150805088566
108.56140350877192,256.43859649122805,296.1,27.231887746381314,28.341060032156832,28.035933892569506
109.47368421052632,255.5263157894737,296.1,27.18956432283661,28.305275048495183,28.000306196533987
110.3859649122807,254.6140350877193,296.1,27.14715129729345,28.26943253000468,27.964624722433875
111.29824561403508,253.70175438596493,296.1,27.10464810730003,28.233532212485343,27.928889228114922
112.21052631578947,252.78947368421052,296.1,27.06205418452362,28.19757382976892,27.893099469594713
113.12280701754385,251.87719298245617,296.1,27.019368954664667,28.161557113699025,27.857255201043234
114.03508771929823,250.96491228070175,296.1,26.976591837369487,28.125481794111106,27.821356174763597
114.94736842105263,250.05263157894737,296.1,26.933722246141222,28.089347598811425,27.785402141171613
115.85964912280701,249.140350877193,296.1,26.890759588249114,28.05315425355689,27.749392848776182
116.7719298245614,248.2280701754386,296.1,26.84770326463628,28.016901482033607,27.71332804415856
117.68421052631578,247.31578947368422,296.1,26.804552669825313,27.980589005835753,27.6772074719516
118.59649122807016,246.40350877192984,296.1,26.761307191822578,27.944216544444156,27.641030874818806
119.50877192982456,245.49122807017545,296.1,26.71796621202025,27.90778381520411,27.60479799343317
120.42105263157895,244.57894736842104,296.1,26.67452910509684,27.871290533303554,27.568508566455286
121.33333333333333,243.66666666666669,296.1,26.630995238915585,27.834736411750427,27.532162330511728
122.24561403508771,242.75438596491227,296.1,26.587363974420754,27.798121161350185,27.495759020172546
123.1578947368421,241.84210526315792,296.1,26.543634665532462,27.761444490682642,27.459298367929
124.07017543859648,240.9298245614035,296.1,26.49980665903874,27.724706106078877,27.422780104170435
124.98245614035088,240.01754385964912,296.1,26.455879294486174,27.687905711597256,27.386203957161364
125.89473684210526,239.10526315789474,296.1,26.411851904067724,27.651043008999938,27.349569653017813
126.80701754385964,238.19298245614036,296.1,26.36922622051904,27.614117697728542,27.312876915683283
127.71929824561403,237.28070175438597,296.1,26.33015964745861,27.577129474879236,27.27612546690488
128.6315789473684,236.3684210526316,296.1,26.29101348710806,27.540078035178617,27.23931502620864
129.5438596491228,235.4561403508772,296.1,26.251787259041873,27.502963070957787,27.20244531087456
130.45614035087718,234.54385964912282,296.1,26.212480478013845,27.465784272127244,27.165516035911264
131.36842105263156,233.63157894736844,296.1,26.17309265388977,27.42854132615087,27.12852691403059
132.28070175438594,232.71929824561406,296.1,26.13362329157889,27.391233918019886,27.091477655621226
133.19298245614036,231.80701754385964,296.1,26.09407189096417,27.353861730226086,27.054367968722666
134.10526315789474,230.89473684210526,296.1,26.05443794683136,27.316424442735126,27.017197558998138
135.01754385964912,229.98245614035088,296.1,26.01472094879668,27.278921732959056,26.979966129707528
135.9298245614035,229.0701754385965,296.1,25.974920381233424,27.241353275728983,26.942673381679686
136.8421052631579,228.1578947368421,296.1,25.935035723196744,27.2037187432667,26.905319013284444
137.75438596491227,227.24561403508773,296.1,25.89506644834771,27.1660178051567,26.867902720404206
138.66666666666666,226.33333333333334,296.1,25.855012024875588,27.128250128316996,26.830424196405033
139.57894736842104,225.42105263157896,296.1,25.81487191541867,27.090415376970387,26.792883132107175
140.49122807017542,224.50877192982458,296.1,25.77464557698378,27.052513212614663,26.755279215755657
141.4035087719298,223.5964912280702,296.1,25.73433246086432,27.014543293992745,26.71761213298964
142.3157894736842,222.6842105263158,296.1,25.693932012556814,26.97650527706225,26.67988156681197
143.22807017543857,221.77192982456143,296.1,25.653443671675596,26.93839881496488,26.642087197558002
144.140350877193,220.859649122807,296.1,25.612866871866384,26.900223557995066,26.604228702863892
145.05263157894737,219.94736842105263,296.1,25.572201040717914,26.861979153568495,26.566305757634343
145.96491228070175,219.03508771929825,296.1,25.531445599671933,26.82366524618999,26.528318034010216
146.87719298245614,218.12280701754386,296.1,25.490599963931484,26.785281477421023,26.49026520133511
147.78947368421052,217.21052631578948,296.1,25.449663542367876,26.746827485846847,26.4521469261218
148.7017543859649,216.2982456140351,296.1,25.408635737425044,26.708302907043088,26.41396287201789
149.6140350877193,215.3859649122807,296.1,25.367515945022944,26.66970737354177,26.375712699771196
150.52631578947367,214.47368421052633,296.1,25.32630355445859,26.631040514797142,26.33739606719434
151.43859649122805,213.56140350877195,296.1,25.284997948305346,26.592301957150912,26.299012629128782
152.35087719298244,212.64912280701756,296.1,25.24359850231022,26.553491323796827,26.26056203740831
153.26315789473682,211.73684210526318,296.1,25.202104585289188,26.514608234744948,26.222043940822264
154.17543859649123,210.82456140350877,296.1,25.16051555902066,26.4756523067855,26.183457985077265
155.08771929824562,209.91228070175438,296.1,25.118830778136463,26.436623153451826,26.144803812759523
156.0,209.0,296.1,25.077049590011136,26.39752038498344,26.106081063295562
156.91228070175438,208.08771929824562,296.1,25.03517133464876,26.358343608287896,26.0672893729126
157.82456140350877,207.17543859649123,296.1,24.993195344567617,26.319092426902674,26.02842837459842
158.73684210526315,206.26315789473685,296.1,24.951120944682696,26.27976644095602,25.9894976980605
159.64912280701753,205.35087719298247,296.1,24.90894745218554,26.240365247127826,25.950496969684195
160.56140350877192,204.43859649122808,296.1,24.866674176422187,26.20088843860923,25.911425812490645
161.4736842105263,203.5263157894737,296.1,24.82430041876817,26.161335605062572,25.872283846093517
162.38596491228068,202.61403508771932,296.1,24.838863011133114,26.121706332579684,25.8330706866553
163.29824561403507,201.70175438596493,296.1,24.85793159683992,26.0820002036405,25.793785946843037
164.21052631578945,200.78947368421055,296.1,24.876979798149584,26.042216797070644,25.75442923578256
165.12280701754386,199.87719298245614,296.1,24.89600767911222,26.002355687998534,25.715000159012707
166.03508771929825,198.96491228070175,296.1,24.915015303447124,25.962416447811528,25.67549831843838
166.94736842105263,198.05263157894737,296.1,24.934002734544723,25.922398644112363,25.635923312282756
167.859649122807,197.140350877193,296.1,24.952970035469107,25.8823018406736,25.59627473503884
168.7719298245614,196.2280701754386,296.1,24.97191726896063,25.84212559739284,25.556552177419917
169.68421052631578,195.31578947368422,296.1,24.99084449743765,25.801869470246057,25.51675522630922
170.59649122807016,194.40350877192984,296.1,25.009751782999142,25.761533011241163,25.47688346470897
171.50877192982455,193.49122807017545,296.1,25.028639187426997,25.721115768370385,25.4369364716877
172.42105263157893,192.57894736842107,296.1,25.047506772187973,25.680617285562235,25.396913822328038
173.33333333333331,191.66666666666669,296.1,25.0663545984362,25.640037102632462,25.35681508767164
174.2456140350877,190.7543859649123,296.1,25.08518272701508,25.599374755234706,25.316639834664958
175.15789473684208,189.84210526315792,296.1,25.10399121845977,25.558629774810008,25.276387626102487
176.0701754385965,188.9298245614035,296.1,25.1227801329991,25.51780168853599,25.2360580205703
176.98245614035088,188.01754385964912,296.1,25.14154953055782,25.476890019274933,25.195650572387375
177.89473684210526,187.10526315789474,296.1,25.110875817866383,25.435894285521325,25.15516483154653
178.80701754385964,186.19298245614036,296.1,25.00177287423597,25.394814001348475,25.114600343653947
179.71929824561403,185.28070175438597,296.1,24.892002894220063,25.35364867635456,25.073956649867586
180.6315789473684,184.3684210526316,296.1,24.78155371927521,25.31239781560765,25.033233286834623
181.5438596491228,183.4561403508772,296.1,24.6704128212146,25.271060919590113,24.992429786627113
182.45614035087718,182.54385964912282,296.1,24.558567286548797,25.22963748414195,24.951545676677277
183.36842105263156,181.63157894736844,296.1,24.446003799983277,25.18812700040351,24.910580479710553
184.28070175438594,180.71929824561406,296.1,24.33270862701781,25.14652895475742,24.86953371367819
185.19298245614033,179.80701754385967,296.1,24.21866759558986,25.10484282876947,24.82840489168786
186.10526315789474,178.89473684210526,296.1,24.103866076699276,25.063068099128518,24.787193521933304
187.01754385964912,177.98245614035088,296.1,23.98828896394656,25.021204237585877,24.74589910762238
187.9298245614035,177.0701754385965,296.1,23.87192065191395,24.97925071089351,24.704521146903517
188.8421052631579,176.1578947368421,296.1,23.7547450133094,24.937206980741397,24.663059132791155
189.75438596491227,175.24561403508773,296.1,23.654598045861288,24.895072503693783,24.621512553088962
190.66666666666666,174.33333333333334,296.1,23.612466704197477,24.852846731125073,24.579880890312236
191.57894736842104,173.42105263157896,296.1,23.570228464412384,24.810529109153894,24.538163621608014
192.49122807017542,172.50877192982458,296.1,23.527882526708755,24.768119078576813,24.496360218673747
193.4035087719298,171.5964912280702,296.1,23.485428081452827,24.725616074800893,24.454470147674776
194.3157894736842,170.6842105263158,296.1,23.442864309008552,24.68301952777536,24.412492869159014
195.22807017543857,169.77192982456143,296.1,23.400190379568503,24.640328861921706,24.37042783797062
196.14035087719296,168.85964912280704,296.1,23.357405452981567,24.597543496063455,24.32827450316177
197.05263157894737,167.94736842105263,296.1,23.314508678576356,24.55466284335469,24.286032307901987
197.96491228070175,167.03508771929825,296.1,23.27149919498156,24.51168631120694,24.24370068938607
198.87719298245614,166.12280701754386,296.1,23.228376129942,24.46861330121589,24.20127907873964
199.78947368421052,165.21052631578948,296.1,23.185138600131097,24.425443209086176,24.158766900922647
200.7017543859649,164.2982456140351,296.1,23.141785710959184,24.38217542455565,24.116163574630907
201.6140350877193,163.3859649122807,296.1,23.098316556377778,24.338809331318114,24.073468512195184
202.52631578947367,162.47368421052633,296.1,23.05473021867989,24.295344306944962,24.030681119478352
203.43859649122805,161.56140350877195,296.1,23.011025768295376,24.251779722806063,23.987800795769488
204.35087719298244,160.64912280701756,296.1,22.9672022635828,24.208114943988633,23.944826933676385
205.26315789473682,159.73684210526318,296.1,22.923258750615975,24.164349329215696,23.901758919015105
206.1754385964912,158.8245614035088,296.1,22.879194262966667,24.12048223076303,23.858596130696878
207.08771929824562,157.91228070175438,296.1,22.83500782148184,24.076512994374603,23.81533794061262
