S,tau_days,C_BS,C_SH,C_DH
256.21065411963303,84.45920022854165,2.081472007621615,1.4118973313829857,1.4641545875469855
256.69774661795935,84.45920022854165,2.1644108547342236,1.4779205043808896,1.5358990983952268
257.1848391162856,84.45920022854165,2.24984016652075,1.5467321725775378,1.6105504850078276
257.67193161461194,84.45920022854165,2.337801990121549,1.6184231330315768,1.6881810865477682
258.15902411293825,84.45920022854165,2.4283379766754023,1.6930847909556244,1.7688624791296292
258.6461166112645,84.45920022854165,2.5214893449454276,1.7708089553887953,1.8526653421553136
259.13320910959084,84.45920022854165,2.617296845167515,1.8516876213281346,1.939659325612251
259.62030160791716,84.45920022854165,2.7158007231773196,1.935812739046522,2.0299129188837743
260.1073941062434,84.45920022854165,2.8170406848730876,2.02327597152235,2.123493321614694
260.59448660456974,84.45920022854165,2.921055861069884,2.114168441110343,2.2204663171638557
261.08157910289606,84.45920022854165,3.027884772799948,2.20858046678296,2.320896149160912
261.5686716012223,84.45920022854165,3.1375652971144117,2.30660129347196,2.424845401665795
262.05576409954864,84.45920022854165,3.250134633438701,2.408318815225831,2.5323748834081528
262.5428565978749,84.45920022854165,3.3656292705347757,2.513819294074261,2.643543516558997
263.0299490962012,84.45920022854165,3.4840849541206427,2.6231870766475276,2.758408230458483
263.51704159452754,84.45920022854165,3.6055366551974086,2.7365043107296643,2.8770238606935505
264.0041340928538,84.45920022854165,3.730018539131827,2.8538506640302583,2.9994430538873935
264.4912265911801,84.45920022854165,3.8575639355418336,2.9753030475318925,3.1257161785260745
264.97831908950644,84.45920022854165,3.9882053090293335,3.1009353458087734,3.2558912421133943
265.4654115878327,84.45920022854165,4.121974230804752,3.230818156711667,3.3900138149058807
265.952504086159,84.45920022854165,4.258901351244572,3.3650185427745902,3.528126960442571
266.43959658448534,84.45920022854165,4.39901637342179,3.503599796619874,3.6702711730445383
266.9266890828116,84.45920022854165,4.542348027647199,3.6466212225177785,3.8164843224197473
267.4137815811379,84.45920022854165,4.688924047057543,3.7941379361003524,3.9668016054708493
267.9008740794642,84.45920022854165,4.838771144284109,3.9462006840347468,4.121255505363056
268.3879665777905,84.45920022854165,4.9919149892335515,4.102855685237047,4.279875757873352
268.8750590761168,84.45920022854165,5.148380188010258,4.264144494954741,4.4426893250038155
269.3621515744431,84.45920022854165,5.3081902630074875,4.43010389277134,4.609720375807173
269.8492440727694,84.45920022854165,5.47136763419237,4.6007657952972325,4.7809902743387855
270.33633657109567,84.45920022854165,5.6379336016068455,4.776157194009649,4.956517574615996
270.823429069422,84.45920022854165,5.807908329105407,4.956300118403292,5.13631802243687
271.3105215677483,84.45920022854165,5.981310829346834,5.141211624313373,5.320404563880876
271.79761406607463,84.45920022854165,6.158158950055831,5.330903806982932,5.508787360288956
