i,n_expiries,vol_now,bs_s,bs_reprice,sh_s,sh_reprice,dh_s,dh_reprice,dh_param
2124,2,0.7452034505229904,0.0100518750041374,0.008850916646397035,1.4720460829994408,0.011339171989132034,9.094816207994882,0.011614662868488735,38.35269761951785
3838,2,0.8515312051194724,0.009740666006109677,0.002862622187825196,0.4430041669984348,0.0026822611851172293,2.8260742499987828,0.002883748075113643,0.6116164632104149
804,5,0.40748819178052753,0.010034958002506755,0.009504713129244547,3.747240583994426,0.01169371161770128,11.990752208999766,0.01169508720611237,0.2956400517236429
3216,8,0.593758563196282,0.01039262499398319,0.0036144379676112926,3.334046750002017,0.0014432232305740134,8.6524417920009,0.001115312089575006,1124.737046546039
3560,1,0.143482544374007,0.009866499996860512,0.0006984256856788707,0.43792300000495743,0.0007022641925235278,1.3532504579998204,0.0007021596935297249,0.37081299421680247
2495,3,0.4688609199780113,0.010226625003269874,0.0077449416875845336,0.36875812499783933,0.005764556201326765,6.700040499999886,0.005764097249835327,7.556274983638104
1570,8,0.7586648932374843,0.010459166005603038,0.002071370056934988,0.7285960000008345,0.0013596143820313086,7.985490334001952,0.0015791747979688375,0.25628426502251256
1366,2,0.6153260577133854,0.010196374998486135,0.008605465784284186,0.8851663340028608,0.010549027667865132,1.2176268750044983,0.0104968648115871,1.5278848402457865
1909,8,0.5425799942685349,0.010385875000793021,0.006158765874259658,0.5215931660059141,0.0006549453293614033,4.115202582994243,0.0007089494582676729,20.926244503218093
799,8,0.3230737915753436,0.010595207997539546,0.0021785690886671565,0.34733308300201315,0.00027932227944826263,2.4119815419981023,0.00028174674260560286,0.24463250824509503
3585,1,0.159319523322642,0.009999708003306296,0.0003956427788702474,0.8743092500008061,0.000631855767536689,0.8289792080031475,0.0006324852302025462,0.3368700271906677
16,7,0.16390673065545938,0.009951583000656683,0.0005252030730808168,0.39569529100117506,0.0006796810265715496,1.6374135840014787,0.00071690868230409,165.8252665141551
3508,2,0.21478785132996436,0.009932249995472375,0.0006325265853252083,0.9840092080048635,0.00029245990724544003,3.632965792006871,0.00029611870692526735,1.9919055238429515
3173,8,0.5040664293856453,0.010151667003810871,0.0016915773265123331,0.6473824999993667,0.0005160859178172329,2.3116864580006222,0.0003229223302129489,0.5118856548981982
