symbol,origin_date,target_date,target_split,calendar_gap_days,candidate,kappa,theta,sigma,rho,origin_v0,forecast_v0,origin_clean_quotes,optimizer_evaluations,state_information_cutoff
ADANIENSOL,2026-04-23,2026-04-24,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.33255174266573884,0.33444721402452565,12,3,2026-04-23
ADANIENSOL,2026-04-23,2026-04-24,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.3290199819440789,0.33114758326712557,12,4,2026-04-23
ADANIENSOL,2026-04-27,2026-04-28,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.28639735026449537,0.28813357737935863,14,4,2026-04-27
ADANIENSOL,2026-04-27,2026-04-28,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.26425507680252863,0.2679956826229186,14,5,2026-04-27
ADANIENSOL,2026-04-27,2026-04-28,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.26649710597419335,0.2698741002644939,14,5,2026-04-27
ADANIENSOL,2026-04-29,2026-04-30,validation,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.23800930382280017,0.24105280235754195,16,4,2026-04-29
ADANIENSOL,2026-04-29,2026-04-30,validation,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.21843929466107084,0.22341768094183972,16,5,2026-04-29
ADANIENSOL,2026-04-29,2026-04-30,validation,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.222403972035219,0.22666207824804321,16,5,2026-04-29
ADANIENSOL,2026-05-05,2026-05-06,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.27181916625685365,0.27394924360350675,16,4,2026-05-05
ADANIENSOL,2026-05-05,2026-05-06,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.2564567505643112,0.2604080395901417,16,4,2026-05-05
ADANIENSOL,2026-05-05,2026-05-06,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.25852601321321883,0.2620622936381125,16,6,2026-05-05
ADANIENSOL,2026-05-06,2026-05-07,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.2363849165391963,0.2394723001907557,15,4,2026-05-06
ADANIENSOL,2026-05-06,2026-05-07,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.22201511387924877,0.226896894166379,15,4,2026-05-06
ADANIENSOL,2026-05-06,2026-05-07,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.22580373890379865,0.22999390766572966,15,5,2026-05-06
ADANIENSOL,2026-05-07,2026-05-08,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.2947183371403803,0.2962297610418893,14,4,2026-05-07
