method,seed,surface_id,parameter_range_scaled_rmse,noisy_price_rmse,clean_latent_price_rmse
model2,22,R2_FINAL_interior_train_009535,0.1781585721771625,0.0023493490869015286,0.0023364838815834997
model2,22,R2_FINAL_interior_train_009536,0.11462519076558449,0.0011871994952377953,0.0011615862375094013
model2,22,R2_FINAL_interior_train_009537,0.12326749249633748,0.0012287681938240149,0.0012211592493089857
model2,22,R2_FINAL_interior_train_009538,0.13247064783305318,0.0002556691505173768,0.0002389012914083383
model2,22,R2_FINAL_interior_train_009539,0.13560337809542614,0.0018668257800930931,0.0018877498319043878
model2,22,R2_FINAL_interior_train_009541,0.13001052919343087,0.001174832858483806,0.0011569003683421855
model2,22,R2_FINAL_interior_train_009543,0.13773992958680864,0.0005119893033535567,0.0005079300540099165
model2,22,R2_FINAL_interior_train_009544,0.16874974955000585,0.0006121441622416306,0.0006124403555100815
model2,22,R2_FINAL_interior_train_009545,0.1701966317020782,0.0009611935254043,0.0009919240713024745
model2,22,R2_FINAL_interior_train_009546,0.1461845716565189,0.002821316207650038,0.0028078216875934833
model2,22,R2_FINAL_interior_train_009547,0.09559593563149131,0.00021320244675886263,0.00017654829897366953
model2,22,R2_FINAL_interior_train_009550,0.12885517000442062,0.0006944450114288916,0.0006685480320631637
model2,22,R2_FINAL_interior_train_009551,0.13698178660649496,0.0015659936724100626,0.0015593458495295068
model2,22,R2_FINAL_interior_train_009552,0.12412326714007356,8.89518880600203e-05,6.654199879989113e-05
model2,22,R2_FINAL_interior_train_009553,0.15333822757794666,0.00034880874266594695,0.0003265955730058107
model2,22,R2_FINAL_interior_train_009555,0.14315074798015076,0.0007423168652278563,0.0006892354591617584
model2,22,R2_FINAL_interior_train_009556,0.17285117715517925,0.0005826286749627283,0.0005754153848797538
model2,22,R2_FINAL_interior_train_009557,0.17163765722937552,0.0007744906749638565,0.000750889654811616
model2,22,R2_FINAL_interior_train_009558,0.21027586993460937,0.0014826227095294559,0.001463319616198118
model2,22,R2_FINAL_interior_train_009559,0.10409889179907776,0.0014647814212769854,0.0014724170595752355
model2,22,R2_FINAL_interior_train_009564,0.13737733262807603,0.0011520574847120114,0.0011457257477937351
model2,22,R2_FINAL_interior_train_009565,0.10971834858858247,0.0005787777369938353,0.000618682560254037
model2,22,R2_FINAL_interior_train_009566,0.14501393607787122,0.0007895454152790002,0.0007806004464393803
model2,22,R2_FINAL_interior_train_009568,0.13753852275426906,0.0012685343213012007,0.001265869714294228
model2,22,R2_FINAL_interior_train_009570,0.14680800883242381,0.0010470389687138454,0.00107517860911515
model2,22,R2_FINAL_interior_train_009572,0.09452454285009942,0.0009402710812840993,0.0009592352100775516
model2,22,R2_FINAL_interior_train_009573,0.16354052810046632,0.0008195727061302389,0.0008320072874241769
model2,22,R2_FINAL_interior_train_009574,0.1364857487933871,0.001563839382528299,0.001565119296261387
model2,22,R2_FINAL_interior_train_009575,0.17189153385867834,0.0009403133622448262,0.0009535700770711056
model2,22,R2_FINAL_interior_train_009576,0.14765778241957309,0.0004562874176308236,0.0004196183225406938
model2,22,R2_FINAL_interior_train_009577,0.14225038205945428,0.001512466019513935,0.001517417489339836
model2,22,R2_FINAL_interior_train_009578,0.13004842741956638,0.000618677617564638,0.000590219983871378
model2,22,R2_FINAL_interior_train_009580,0.15648917107819604,0.0006504445675852909,0.0006399864552311474
model2,22,R2_FINAL_interior_train_009581,0.12187692317683237,0.00013988960835986888,0.0001160806190970842
model2,22,R2_FINAL_interior_train_009582,0.1313194067665408,0.000511003268310907,0.0004908103087948229
model2,22,R2_FINAL_interior_train_009583,0.12544325683882207,0.000349923157295372,0.0003474070983692752
model2,22,R2_FINAL_interior_train_009584,0.13930683917539394,0.00023187021168165735,0.00022261646234924973
model2,22,R2_FINAL_interior_train_009587,0.12295636611689267,0.00015767914119625437,0.00015517164296900728
model2,22,R2_FINAL_interior_train_009589,0.12839256988445716,0.00014331283706771786,9.639186967899862e-05
