generator_factors,case,model,model_factors,status,own_model,parameter_gate,neural_holdout_price_rmse,neural_fit_price_rmse,exact_holdout_price_rmse,exact_fit_price_rmse,seconds,optimizer_success,scaled_parameter_rmse,tolerance_scaled_rmse,worst_tolerance_error
1,5,deep11_s17,2,fitted,False,,6.535117408870233e-06,6.3412386409147566e-06,3.070255710408624e-05,2.9549647023590465e-05,1.1930177920003189,True,,,
1,5,deep17_full_s29,2,fitted,False,,8.116062503636632e-06,7.68263412173162e-06,9.055490208854523e-05,9.230802812381655e-05,1.1837385420076316,True,,,
1,5,deep11_balanced_s43,2,fitted,False,,7.6083391331820715e-06,7.302983153468154e-06,4.426384753057486e-05,4.543228475611326e-05,0.9609872919972986,True,,,
1,6,single_sobolev_s17,1,fitted,True,True,5.226561292117596e-05,5.1461564112035114e-05,2.0289069970776747e-05,1.9640889397313682e-05,0.07787208299851045,True,0.0023731494038021304,0.0424965288954428,0.08941023133220338
1,6,double_sobolev_s17,2,fitted,False,,0.00016433572703230062,0.00015769537526435893,0.00023982897180957068,0.0002177742964746893,0.3040606660069898,True,,,
1,6,deep11_s17,2,fitted,False,,0.00017081865278766826,0.00016312724750435116,0.00018151847735631982,0.00017049406665559569,0.500059500001953,True,,,
1,6,deep17_full_s29,2,fitted,False,,0.00018002720520978631,0.00017411326872894612,0.00022479166340915298,0.00021696105025839198,0.7493405419954797,True,,,
1,6,deep11_balanced_s43,2,fitted,False,,0.00017199025052748592,0.0001650326767993859,0.0002042563097806548,0.00019178438730781827,0.47930900000210386,True,,,
1,7,single_sobolev_s17,1,fitted,True,False,1.3617038122933679e-05,1.4441995369211555e-05,2.1381280264857997e-05,2.1068896999739042e-05,0.1912585840036627,True,0.13991059687389873,2.7809742733410214,5.151000374627296
1,7,double_sobolev_s17,2,fitted,False,,2.42050721279302e-06,2.6518806095147604e-06,0.00011546627386108993,0.00011143556737621515,0.530142125004204,True,,,
1,7,deep11_s17,2,fitted,False,,2.5056460264208404e-06,2.48246363538193e-06,0.00012412330368572798,0.00012126778220048146,1.2517668750078883,True,,,
1,7,deep17_full_s29,2,fitted,False,,3.5759636194019476e-06,3.571762928605678e-06,3.714505222212792e-05,3.599727664131953e-05,1.5386564590007765,True,,,
1,7,deep11_balanced_s43,2,fitted,False,,3.2048245514585134e-06,2.900746042018224e-06,5.459153016148679e-05,5.2812693605160166e-05,1.0023787090030964,True,,,
