case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,quote,holdout,strike,tau,true_price_spot,observed_price_spot,true_iv,observed_iv
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,89,True,0.9,1.0,0.20088287281514344,0.20088287281514344,0.3865136967673655,0.3865136967673655
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,90,False,0.92,1.0,0.1904552965842804,0.1904552965842804,0.3864524045699494,0.3864524045699494
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,91,False,0.9400000000000001,1.0,0.18047627365045774,0.18047627365045774,0.38639365644030316,0.38639365644030316
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,92,True,0.96,1.0,0.17093635406858676,0.17093635406858676,0.3863373255449487,0.3863373255449487
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,93,False,0.98,1.0,0.16182518688400666,0.16182518688400666,0.38628329358804436,0.38628329358804436
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,94,False,1.0,1.0,0.1531316623409013,0.1531316623409013,0.38623145008397464,0.38623145008397464
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,95,True,1.02,1.0,0.14484404583388108,0.14484404583388108,0.38618169170468336,0.38618169170468336
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,96,False,1.04,1.0,0.13695010291948112,0.13695010291948112,0.38613392169280814,0.38613392169280814
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,97,False,1.06,1.0,0.1294372149733868,0.1294372149733868,0.38608804933287116,0.38608804933287116
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,98,True,1.08,1.0,0.12229248530582999,0.12229248530582999,0.38604398947382323,0.38604398947382323
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,99,False,1.1,1.0,0.11550283573515917,0.11550283573515917,0.38600166209713294,0.38600166209713294
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,100,False,1.12,1.0,0.10905509377176985,0.10905509377176985,0.38596099192533756,0.38596099192533756
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,101,True,1.1400000000000001,1.0,0.10293607068526409,0.10293607068526409,0.38592190806664106,0.38592190806664106
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,102,False,1.16,1.0,0.09713263082068818,0.09713263082068818,0.3858843436916752,0.3858843436916752
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,103,False,1.18,1.0,0.09163175259868693,0.09163175259868693,0.3858482357390311,0.3858482357390311
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,104,True,1.2,1.0,0.08642058168285716,0.08642058168285716,0.3858135246465675,0.3858135246465675
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,105,False,0.8,2.0,0.30064862968585376,0.30064862968585376,0.36711473652251253,0.36711473652251253
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,106,False,0.8200000000000001,2.0,0.2894501861138963,0.2894501861138963,0.3670382193394734,0.3670382193394734
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,107,True,0.8400000000000001,2.0,0.2786229458733637,0.2786229458733637,0.36696438582779284,0.36696438582779284
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,108,False,0.86,2.0,0.2681599860245417,0.2681599860245417,0.36689309303784706,0.36689309303784706
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,109,False,0.88,2.0,0.25805392812968897,0.25805392812968897,0.36682420854971054,0.36682420854971054
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,110,True,0.9,2.0,0.24829701325050774,0.24829701325050774,0.3667576094858127,0.3667576094858127
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,111,False,0.92,2.0,0.23888117099720882,0.23888117099720882,0.36669318163540415,0.36669318163540415
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,112,False,0.9400000000000001,2.0,0.22979808276738725,0.22979808276738725,0.3666308186760699,0.3666308186760699
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,113,True,0.96,2.0,0.22103923937082037,0.22103923937082037,0.36657042147974733,0.36657042147974733
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,114,False,0.98,2.0,0.2125959932788021,0.2125959932788021,0.36651189749254653,0.36651189749254653
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,115,False,1.0,2.0,0.2044596057664046,0.2044596057664046,0.36645516017921864,0.36645516017921864
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,116,True,1.02,2.0,0.19662128923538316,0.19662128923538316,0.3664001285243972,0.3664001285243972
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,117,False,1.04,2.0,0.18907224501629424,0.18907224501629424,0.36634672658384637,0.36634672658384637
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,118,False,1.06,2.0,0.18180369695245,0.18180369695245,0.3662948830798548,0.3662948830798548
