instrument,expiry,strike,cp,ts,tau,price_usdc,mark_usdc,trade_iv,index,f_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
XRP_USDC-27FEB26-1d2-P,2026-02-27,1.2,P,1770331959028,0.058575626966007106,0.0995,0.10486039,0.9547,1.2249,1.22490821348645,1.0000067054342803,1.2248999024771476,0.9796718879421968,0.020537571600553837,True,0.10155923943301026,0.10593542559251579,0.9546699335835611,21.380103842592593,0.09455730394458414,False,False,2026-02-05
XRP_USDC-27FEB26-1d3-C,2026-02-27,1.3,C,1770334415975,0.05849771768772197,0.113,0.11099489,1.1543999999999999,1.24,1.239990227439961,0.9999921189031944,1.239999901274931,1.0483871802436264,-0.0472529644675399,True,0.09112903951348444,0.08951201519119345,1.15436051229715,21.35166695601852,0.09644698641657182,True,False,2026-02-05
XRP_USDC-27FEB26-1d4-C,2026-02-27,1.4,C,1770334415882,0.05849772063673262,0.078,0.07766817,1.1362999999999999,1.24,1.2399840258987715,0.9999871176602997,1.239999901274931,1.1290323479546744,-0.12136093662126163,True,0.06290323081461759,0.06263562595460201,1.1362471241037961,21.351668032407407,0.09212665296813423,False,False,2026-02-05
XRP_USDC-27FEB26-1d5-C,2026-02-27,1.5,C,1770334415909,0.05849771978056824,0.053,0.05368557,1.1271,1.24,1.240012822710175,1.0000103408953025,1.239999901274931,1.2096775156657227,-0.19035380810821312,True,0.042741938886855534,0.04329481796313217,1.1271363058312565,21.351667719907407,0.08239612160856763,True,False,2026-02-05
XRP_USDC-27FEB26-1d6-C,2026-02-27,1.6,C,1770333397580,0.05853001078132927,0.0285,0.03029697,1.0092,1.2525,1.2524840110132307,0.9999872343419008,1.2524999002797186,1.2774452114867834,-0.24486215488584717,True,0.022754492829608328,0.024189199530661704,1.0091633452469757,21.363453935185184,0.06548061335794025,False,False,2026-02-05
XRP_USDC-27FEB26-1d7-C,2026-02-27,1.7,C,1770301471253,0.05954238796930492,0.018,0.01855829,0.7896,1.3611,1.3610902182781435,0.9999928133701738,1.3610998916333135,1.2489898871125527,-0.22233513432327368,True,0.013224598804721146,0.013634774430648247,0.7895814663207487,21.732971608796298,0.055644132411946864,True,False,2026-02-05
XRP_USDC-27FEB26-1d8-C,2026-02-27,1.8,C,1770317444695,0.05903587344622019,0.0085,0.00681928,0.9879000000000001,1.2296,1.2296213279197832,1.0000173454129662,1.2295999021029478,1.463890812711935,-0.38109783127686414,True,0.006912817726695249,0.005545934078505691,0.9879375242922015,21.54809380787037,0.03301874242824437,False,False,2026-02-05
XRP_USDC-27FEB26-1d9-C,2026-02-27,1.9,C,1770312348556,0.05919747095383054,0.0095,0.0050668,1.0545,1.2649,1.2648900098648321,0.9999921020356014,1.2648998992924678,1.5020951468671795,-0.4068608981180301,True,0.007510475734335898,0.004005692468498224,1.0544831108755623,21.607076898148147,0.033554248831581875,True,False,2026-02-05
XRP_USDC-27FEB26-2-C,2026-02-27,2.0,C,1770301146392,0.05955268924403856,0.0065,0.00522742,0.932,1.3528,1.3528129380870144,1.0000095639318558,1.3527998922941344,1.4784152566779973,-0.39097074157470607,True,0.004804849584203491,0.0038641487405318485,0.9320194796146369,21.736731574074074,0.026841735477372255,False,False,2026-02-05
XRP_USDC-27FEB26-2d3-C,2026-02-27,2.3,C,1770289492589,0.05992222891298833,0.003,0.00384133,1.0123,1.374,1.3739809123862459,0.999986107995812,1.3739998906062543,1.6739448203195735,-0.5151830087519406,True,0.002183406287373357,0.0027957280246252987,1.0122758199692259,21.871613553240742,0.014441662446794143,True,False,2026-02-05
XRP_USDC-27FEB26-2d6-C,2026-02-27,2.6,C,1770299949685,0.059590636574074075,0.001,0.00179935,1.0765,1.3502,1.3502417951095251,1.0000309547544994,1.3501998925011387,1.9256407991439737,-0.6552587950187976,True,0.000740631076593836,0.0013326545276691189,1.0765471298328564,21.750582349537037,0.005984541055412474,False,False,2026-02-05
XRP_USDC-27MAR26-1-P,2026-03-27,1.0,P,1770333917804,0.1352258433536276,0.068,0.0652217,0.9798,1.2373,1.2373174336249275,1.0000140900548997,1.23730018412628,0.8082113078372734,0.21293173505074575,True,0.24674706109566114,0.244501607619097,0.9797718148439272,49.35743282407408,0.10897092393970219,False,True,2026-02-05
XRP_USDC-27MAR26-1d2-P,2026-03-27,1.2,P,1770316209879,0.13578735797184172,0.132,0.13232767,0.8106,1.2245,1.2244966603561984,0.9999972726469567,1.224500182221474,0.9799916875659208,0.020211189429083464,True,0.12780739806633046,0.12807499296321778,0.8106082948129196,49.562385659722224,0.1435863271730581,True,True,2026-02-05
XRP_USDC-27MAR26-1d4-C,2026-03-27,1.4,C,1770310882320,0.13595629375951293,0.0945,0.09562061,0.7637,1.2729,1.2729130580842396,1.000010258531102,1.2729001894240215,1.099850570871146,-0.09517432591400835,True,0.07423991353380235,0.07512027321110515,0.7637295615328097,49.62404722222222,0.14426730862589685,False,True,2026-02-05
XRP_USDC-27MAR26-1d5-C,2026-03-27,1.5,C,1770310783146,0.13595943854642314,0.072,0.07267447,0.784,1.2771,1.2771242180143931,1.0000189632874428,1.277100190049036,1.1745358834708226,-0.16087307677513238,True,0.05637772240659948,0.056905848551482535,0.7840473648929772,49.625195069444445,0.13513591395067792,True,True,2026-02-05
XRP_USDC-27MAR26-1d6-C,2026-03-27,1.6,C,1770331821307,0.13529232283739218,0.0435,0.04577765,0.8387,1.215,1.215020852302717,1.0000171623890675,1.215000180807751,1.3168722320158792,-0.27525940364027096,True,0.035802463807931714,0.037677072582463576,0.8387350535011423,49.38169783564815,0.11175917858314903,False,True,2026-02-05
XRP_USDC-27MAR26-1d7-C,2026-03-27,1.7,C,1770331827966,0.13529211168188737,0.028,0.03286173,0.8134,1.215,1.2150001969656323,1.0000001621116315,1.215000180807751,1.3991767465168716,-0.3358840254567058,True,0.023045264060277886,0.027046687333126988,0.813400024045674,49.38162076388889,0.09139817668070094,True,True,2026-02-05
XRP_USDC-27MAR26-1d8-C,2026-03-27,1.8,C,1770324862333,0.13551299045535262,0.0285,0.03149501,0.9611,1.1767,1.176700445626952,1.000000378709061,1.1767001751082145,1.5297014805274964,-0.42507260560142013,True,0.024220273441685362,0.0267655352367935,0.9611004042601163,49.462241516203704,0.08688863302559258,False,True,2026-02-05
XRP_USDC-27MAR26-1d9-C,2026-03-27,1.9,C,1770331605588,0.1352991632420091,0.0175,0.01891776,0.8756999999999999,1.208,1.2080297459274016,1.0000246241120876,1.2080001797660602,1.572847448059115,-0.4528876378468189,True,0.014486752811070798,0.01566039502052358,0.8757385826246544,49.384194583333326,0.06761403457930523,True,True,2026-02-05
XRP_USDC-27MAR26-2-C,2026-03-27,2.0,C,1770333635623,0.13523479125443938,0.012,0.01376913,0.8245,1.2448,1.2447972149209205,0.9999977626292743,1.2448001852423771,1.6066835655319063,-0.4741721573050026,True,0.009640101393191438,0.011061317441336168,0.8244965196646127,49.36069880787037,0.054118818609186534,False,True,2026-02-05
XRP_USDC-27MAR26-2d1-C,2026-03-27,2.1,C,1770334885140,0.13519516933028922,0.0105,0.01062034,0.8795999999999999,1.2297,1.2296681195030137,0.9999740745734843,1.2297001829953016,1.7077333394265453,-0.5351669587201602,True,0.008538666697132727,0.008636527949545388,0.8795633097901158,49.34623680555556,0.04811776967300453,True,True,2026-02-05
XRP_USDC-27MAR26-2d2-C,2026-03-27,2.2,C,1770309742005,0.1359924529109589,0.0095,0.00811025,0.8512000000000001,1.2889,1.288893595884021,0.9999950313321601,1.288900191805029,1.7068815832194342,-0.5346680701227208,True,0.007370625018447556,0.006292380163775188,0.8511929850102733,49.6372453125,0.04450448092558121,False,True,2026-02-05
XRP_USDC-27MAR26-2d3-C,2026-03-27,2.3,C,1770284285213,0.13679968248985286,0.0085,0.00934293,0.7548999999999999,1.4187,1.4187448743801347,1.0000316306337735,1.4187002111209517,1.6212022680836218,-0.4831680147863486,True,0.005991399686395994,0.006585556220237614,0.7549422158936424,49.9318841087963,0.04163435137171755,True,True,2026-02-05
XRP_USDC-27MAR26-2d4-C,2026-03-27,2.4,C,1770262591919,0.13748757233003553,0.0105,0.00989398,0.8101,1.4463,1.4463308431862234,1.0000213255799097,1.4463002152281894,1.659406515141354,-0.5064600174433981,True,0.007259903503743424,0.006840889530282605,0.8101290026031573,50.182963900462966,0.04548340366858244,False,True,2026-02-05
XRP_USDC-27MAR26-2d5-C,2026-03-27,2.5,C,1770286121077,0.1367414676243024,0.007,0.00599667,0.8415,1.3998,1.3997921944135872,0.9999944237845315,1.3998002083083865,1.7859691584280943,-0.5799612137879003,True,0.005000713643598664,0.0042839470693084,0.8414926884200992,49.91063568287037,0.034294795077098726,True,True,2026-02-05
XRP_USDC-26JUN26-1d2-P,2026-06-26,1.2,P,1770306684504,0.3854044741248097,0.171,0.16707785,0.7141,1.3052,1.305205857644803,1.000004487928902,1.305202465937073,0.9193975887399641,0.08403661825869098,True,0.21161656765548087,0.208611554944917,0.7140961126769042,140.67263305555554,0.22758734492333635,False,False,2026-02-05
XRP_USDC-26JUN26-1d4-C,2026-06-26,1.4,C,1770314703976,0.3851501783358701,0.167,0.162433,0.7232999999999999,1.2487,1.248715665846349,1.000012545724633,1.2487023591906397,1.1211638944187032,-0.11436733716663346,True,0.1337388359770882,0.13008143918722373,0.723321009601426,140.57981509259258,0.2474716256323225,True,False,2026-02-05
XRP_USDC-26JUN26-1d5-C,2026-06-26,1.5,C,1770306685292,0.38540444913749367,0.157,0.15066584,0.7034,1.3052,1.305202465937073,1.0000018893174019,1.305202465937073,1.1492469859249552,-0.13910693305551883,True,0.12028785119347864,0.11543484166790102,0.7033999999999999,140.6726239351852,0.24642651540440855,False,False,2026-02-05
XRP_USDC-26JUN26-1d7-C,2026-06-26,1.7,C,1770306685293,0.38540444910578386,0.108,0.10475837,0.7054,1.3052,1.3051885011565465,0.9999911899759014,1.305202465937073,1.3024799173816157,-0.2642700760095247,True,0.08274578298659677,0.0802621606486075,0.7053837059344493,140.6726239236111,0.2300174332817047,True,False,2026-02-05
XRP_USDC-26JUN26-1d8-C,2026-06-26,1.8,C,1770306685308,0.38540444863013695,0.0895,0.08642133,0.7062,1.3052,1.3052162743913918,1.0000124688870609,1.305202465937073,1.3790963831099463,-0.3214284898494735,True,0.06857173682685566,0.06621296868141728,0.7062148021364805,140.67262374999999,0.2170272691352883,False,False,2026-02-05
