case_id,source,geometry,quotes,weakest_direction_combo,largest_singular_value,smallest_singular_value,condition_number,numerical_rank,practical_rank,singular_value_01,singular_value_02,singular_value_03,singular_value_04,singular_value_05,singular_value_06,singular_value_07,singular_value_08,singular_value_09,singular_value_10,column_norm_kappa_slow,column_norm_theta_slow,column_norm_sigma_slow,column_norm_rho_slow,column_norm_v0_slow,column_norm_kappa_fast,column_norm_theta_fast,column_norm_sigma_fast,column_norm_rho_fast,column_norm_v0_fast,weakest_kappa_slow,weakest_theta_slow,weakest_sigma_slow,weakest_rho_slow,weakest_v0_slow,weakest_kappa_fast,weakest_theta_fast,weakest_sigma_fast,weakest_rho_fast,weakest_v0_fast,second_weakest_kappa_slow,second_weakest_theta_slow,second_weakest_sigma_slow,second_weakest_rho_slow,second_weakest_v0_slow,second_weakest_kappa_fast,second_weakest_theta_fast,second_weakest_sigma_fast,second_weakest_rho_fast,second_weakest_v0_fast
case_3,representative,wings4x6,48,"kappa_slow:-0.834, theta_slow:-0.393, v0_fast:+0.228, v0_slow:-0.191",0.21077758842799732,5.785921588887652e-06,36429.389024699776,10,10,0.21077758842799732,0.034400081579045755,0.026187576799594603,0.0031889378731251297,0.002020370150519378,0.0012685695133303567,0.00024970543569004147,0.0001498130632771928,2.632658917481059e-05,5.785921588887652e-06,0.024045908896681296,0.042547499671630615,0.008055964893096769,0.01943531334177057,0.17078201104191668,0.013271643670667825,0.09408740930706591,0.007769601420087888,0.019450623698523024,0.06962328108590952,-0.8339256560998175,-0.3934938398654653,-0.1242513683914219,0.013729822469356383,-0.1912703822421492,-0.17030530443633815,0.11814768626490385,-0.05010187938926601,0.01687957536015121,0.2275114008563122,0.3951315330248022,-0.39624383659129964,0.11244475262126595,0.014935986571532096,-0.31245860129990227,0.21664878664975154,0.6064847428565578,-0.13495441149555232,0.06015464374296677,0.37386213440132515
case_3,representative,single_7d,18,"kappa_slow:+0.838, theta_slow:+0.543, theta_fast:-0.044, kappa_fast:+0.018",0.043179487259610974,4.4075282133122894e-13,97967579944.68123,10,5,0.043179487259610974,0.0015259594483989808,6.99731094446272e-05,1.8935156091978147e-06,1.1235833891226347e-07,2.3098471909818187e-09,6.001853074482672e-12,2.4811617328895914e-12,2.1696431666438972e-12,4.4075282133122894e-13,0.0002546632008835435,0.0003633985955182336,0.00022426616787888385,0.0006529232998869,0.03376535956464362,0.0005374818967647265,0.0014586759169461156,0.0004929146393293731,0.001263417206165,0.026865828470610118,0.8384919442087326,0.5428331642206351,0.003689687754574164,-5.110285262695034e-06,0.001276994184296183,0.017574843510231624,-0.04400174778135236,0.0002858311632113372,5.061538600828201e-05,0.0017485964916890968,0.1015333795845515,-0.23072638157141814,0.0007590372349712906,0.00021342101169503276,-0.0006357637674803321,0.7491410689741101,-0.6101189204638642,0.013331744631238204,0.00266115575815762,0.053037989205232894
case_3,representative,single_30d,18,"kappa_slow:+0.811, theta_slow:-0.431, kappa_fast:+0.292, theta_fast:-0.248",0.10867343308338406,3.5007597142881094e-13,310428141182.7294,10,5,0.10867343308338406,0.006519585455160085,0.0006132790485306897,3.8512084611773507e-05,2.7599332298138294e-06,6.2727755591058e-08,1.1637386120233832e-10,2.03140463163893e-12,5.164743156574193e-13,3.5007597142881094e-13,0.0028354784956583375,0.004172224933514223,0.001197040686249339,0.0032411426791829115,0.08916485502130127,0.004662195614531241,0.014960976745906032,0.002256339489900929,0.005340955445338973,0.059882027404642886,0.8105041064509448,-0.4314812551736892,0.012283700781576553,0.0005846430796702535,0.04274290407146507,0.29154806633359526,-0.24781116807954837,0.02094391112433052,0.003839215489427432,0.0898042087123034,-0.28192699042652325,0.29448220741335007,-0.0013919582701448668,0.0005438876573083623,-0.04302715517351456,0.7265686503926009,-0.5054407843397164,0.0527355053786817,0.009836930325037102,0.21376071484028838
case_3,representative,single_90d,18,"kappa_fast:-0.654, v0_fast:-0.541, theta_fast:+0.323, kappa_slow:-0.317",0.2002150363521229,7.828149751097919e-13,255762910417.03973,10,5,0.2002150363521229,0.015699974266965212,0.0015423267758789883,8.935072563234276e-05,4.021952636532428e-06,5.4863059780070224e-08,1.3594237906367273e-10,1.4702671911229571e-12,9.7852981797278e-13,7.828149751097919e-13,0.015334431098910818,0.02445105408024334,0.0045486895024651796,0.010191014140147722,0.16794495225404268,0.013978706136743567,0.068398073448474,0.005659462335558902,0.012098893781690797,0.07822895990566543,-0.3171342682660909,0.24133578483128734,-0.015633093310316298,-0.003741863936074303,-0.0007194079070568737,-0.6544143539486359,0.32298969454469073,-0.1253561102061529,-0.019136388485980066,-0.5406136670348882,-0.37314186588777887,0.8387649498915036,-0.005528177421504621,-0.0002202298067053825,-0.18519360229097886,0.2598011055283199,-0.10658908190069534,0.05039619132505848,0.007460098155667933,0.20361225699911611
case_3,representative,single_180d,18,"kappa_slow:-0.700, theta_fast:+0.479, v0_slow:-0.397, kappa_fast:+0.211",0.28781752746921263,7.139397536557729e-13,403139797154.3468,10,5,0.28781752746921263,0.021754283988569927,0.0018895622137966041,6.674303101585864e-05,1.3654716104268957e-06,1.5687491011331568e-08,3.4310289387878813e-11,1.7872014547661916e-12,1.162854730024753e-12,7.139397536557729e-13,0.03807738490948241,0.06847079079536873,0.009994902483062972,0.01730177558163852,0.22329904176431833,0.0168915488259292,0.1457131692982628,0.0077742011244007845,0.015101190722019413,0.07148264543720043,-0.7000058035229003,0.15264351506114165,-0.05898455997234016,0.01601850881880744,-0.39717091822792344,0.2106310365882485,0.4789746332569114,0.09006678974787674,0.014444493197793708,-0.20762591418475312,-0.01688541042007654,-0.02498967684301162,0.005661549024633861,0.010271402575123071,-0.13639828509123478,0.5837078976496604,-0.08807401429153669,0.19055127146222448,0.017686320279736146,0.7715269387320567
case_3,representative,central5_const_carry_27_55,20,"kappa_slow:+0.886, theta_slow:+0.441, v0_fast:-0.097, v0_slow:+0.080",0.16892117182214472,1.0808228128974037e-11,15628942117.654898,10,7,0.16892117182214472,0.01189451408762251,0.007242559414800669,0.00032245481631044265,0.0002487202941769403,2.048706560426004e-05,2.543668758638174e-06,1.6034451432105644e-07,6.9821544420880055e-09,1.0808228128974037e-11,0.0070203408060977605,0.01064271129264133,0.0019461312573595742,0.003938036311361018,0.1408562457435328,0.009260918867503567,0.03465691343309557,0.0032882750792699316,0.006003048317057293,0.08586278045547203,0.8856929208288626,0.4413851607218782,0.05368683267890226,-0.0014314841531783654,0.08041465512192478,0.010664751946545868,-0.04034232827554922,0.014195731442485461,-0.009807558686075798,-0.09663022610170503,0.4182624516401603,-0.7608174324782501,-0.0017511416561909235,0.06246637747392255,-0.08838103760553892,0.08624322339418006,0.46478224020333564,-0.040794945932945095,-0.02061124971041843,0.0945915310531197
case_3,representative,central5_27_55,20,"kappa_slow:+0.886, theta_slow:+0.441, v0_fast:-0.097, v0_slow:+0.080",0.16887875753162523,1.0674293624327266e-11,15821071021.200113,10,7,0.16887875753162523,0.011893007811650941,0.007240764701124118,0.00032240805225672525,0.00024866811609852853,2.0483988473362895e-05,2.5430841763583488e-06,1.6032120567989016e-07,6.980817082372131e-09,1.0674293624327266e-11,0.007017979376663753,0.010639103459247873,0.0019455328034811098,0.003936966794273059,0.14082032568545863,0.009258045621531154,0.03464548824204588,0.0032873402146730984,0.006001561864459262,0.08584366697238814,0.8857018035933263,0.44136858215171143,0.05368715676368002,-0.0014302077567166656,0.08041347667870624,0.01066733303403084,-0.04033289844633258,0.01419507488665987,-0.009808062384250272,-0.09662905020671543,0.41824362986796326,-0.7608263018510641,-0.0017527404286835596,0.0624664701558978,-0.08838365077945708,0.08624205362997298,0.4647836861224292,-0.04079551960669008,-0.0206109531126408,0.0945946629603944
case_3,representative,central5_13_41,20,"kappa_slow:+0.887, theta_slow:+0.447, v0_fast:-0.075, v0_slow:+0.063",0.13650551650436757,9.344812426482022e-12,14607625094.488586,10,7,0.13650551650436757,0.009297038178387729,0.005806788186216794,0.00024444283699438866,0.0001971650791008232,1.5989170957165676e-05,2.2315153137640272e-06,1.338167766789553e-07,6.393739700413528e-09,9.344812426482022e-12,0.0043776885803677975,0.006531844924040262,0.0013395646529629917,0.003005528746222285,0.11262067488382992,0.006466231421227453,0.02236817351127086,0.0024447567379041893,0.004833780349752479,0.07366441355812464,0.8874112863969013,0.44738879424021766,0.045089686837727065,-0.0008724331523087412,0.0625138787206241,0.006911117094045111,-0.02466219627158886,0.010702465611154505,-0.007458403587886143,-0.07467590986115477,0.416921625398476,-0.7709932184326652,-0.007057689671474229,0.060984959738536904,-0.09353518189936387,0.07697759776338663,0.44675515609565947,-0.0425701771008688,-0.018659312277730242,0.10747976035803737
case_3,representative,central5_6_34,20,"kappa_slow:+0.887, theta_slow:+0.451, v0_fast:-0.065, v0_slow:+0.055",0.11654265145737101,5.4138372180053e-12,21526811162.65822,10,7,0.11654265145737101,0.006266219574864265,0.004869594009298812,0.00019331133228631456,0.00011495139469607482,8.823225846489839e-06,1.9433610339736516e-06,8.024755473942983e-08,5.603849672860014e-09,5.4138372180053e-12,0.003268739151106779,0.004835658297843057,0.0010643712349739354,0.002501402180845537,0.09570478248381509,0.0051461736625046306,0.01703596489860379,0.0020064775301323686,0.004098717492696179,0.06408449539771575,0.8870372292043648,0.45148392236699647,0.04066462901266412,-0.0006774326058904274,0.054507332622110626,0.005421027257815076,-0.01810231034789598,0.00922885381632491,-0.006436004673762893,-0.06494941490821084,0.41805370814493265,-0.775377622628219,-0.00960248860661056,0.06023917942815634,-0.0957678287139084,0.07253092975743605,0.43707859409650845,-0.04315936168109649,-0.017824938509315155,0.11246912362532856
case_4,representative,full108_calls_puts,108,"kappa_slow:+0.807, theta_fast:-0.515, theta_slow:+0.182, v0_fast:-0.120",0.41806488370217254,9.357267192619072e-05,4467.809618944497,10,10,0.41806488370217254,0.1039519675428054,0.07328693502295325,0.016746831559084952,0.013561107857269012,0.006057604055620895,0.0019064330169749149,0.000988755727249659,0.0001941244400636695,9.357267192619072e-05,0.06926015390085345,0.12071062593923375,0.011149766213183527,0.04735033675211706,0.31066480042401445,0.08028585551651787,0.1927237566346154,0.026826334388938056,0.05257723488245529,0.1616837953744523,0.8073346906325313,0.18186234984338728,0.07344101996860325,0.0892049724833407,0.10129005594374807,-0.09294481019998506,-0.5154755478321122,-0.03951915906518003,0.03406043690614936,-0.12020957364728692,0.408512730105594,-0.4360800502319522,0.4536152362261199,-0.045994853633495494,-0.3376600049146001,-0.0005631427134537419,0.3759281548027184,-0.02705920510444926,-0.12386044282434543,0.4045479533189836
case_4,representative,full108_calls,54,"kappa_slow:+0.807, theta_fast:-0.515, theta_slow:+0.182, v0_fast:-0.120",0.29561651424167085,6.61658708441013e-05,4467.809619527212,10,10,0.29561651424167085,0.07350514116713718,0.05182168872730933,0.011841798158991747,0.009589151326221127,0.004283372905600471,0.0013480517144231702,0.0006991558798305074,0.0001372667080139658,6.61658708441013e-05,0.04897432448921237,0.08535530216295645,0.00788407529810984,0.03348174420901516,0.21967318705569225,0.05677067286891665,0.1362762752120739,0.018969082960808667,0.03717771932143737,0.1143277081172964,0.8073346911324054,0.1818623493625502,0.07344102062226518,0.08920497242502756,0.10129005542511266,-0.09294481030085884,-0.5154755473664819,-0.03951915917288019,0.03406043672840985,-0.12020957303213041,0.4085127290467342,-0.43608005042747366,0.4536152359516629,-0.045994853753902165,-0.3376600051614304,-0.0005631427159937613,0.37592815547805325,-0.02705920500204403,-0.12386044293762392,0.4045479536101024
case_4,representative,full108_puts,54,"kappa_slow:+0.807, theta_fast:-0.515, theta_slow:+0.182, v0_fast:-0.120",0.29561651424187246,6.616587086140603e-05,4467.809618361767,10,10,0.29561651424187246,0.07350514116726592,0.051821688726906935,0.01184179815864396,0.009589151326333055,0.004283372905344866,0.0013480517139386149,0.0006991558795200361,0.00013726670791215927,6.616587086140603e-05,0.04897432448942242,0.08535530216285343,0.007884075297863613,0.03348174420876201,0.21967318705587977,0.05677067286926972,0.13627627521209096,0.01896908296078329,0.037177719321406684,0.11432770811721035,0.8073346901326581,0.18186235032422324,0.07344101931494142,0.08920497254165383,0.10129005646238315,-0.09294481009911078,-0.515475548297742,-0.03951915895748037,0.034060437083888936,-0.12020957426244296,0.40851273116445447,-0.4360800500364348,0.45361523650057445,-0.04599485351308967,-0.3376600046677693,-0.0005631427109129418,0.3759281541273868,-0.02705920520685295,-0.12386044271106665,0.40454795302786273
case_4,representative,short3_full_moneyness,54,"kappa_slow:-0.909, theta_fast:+0.287, theta_slow:+0.220, v0_fast:+0.118",0.14384731344948914,6.018799157742628e-07,238996.69963973277,10,10,0.14384731344948914,0.020613450248570645,0.009515109404729218,0.002002062139603519,0.0005884288163389193,0.0001740298501099285,0.00010307501690916376,1.533359636330702e-05,6.193696062862327e-06,6.018799157742628e-07,0.00575743290256433,0.007867248736327844,0.0009790935086546762,0.005635665165548743,0.11485674887135126,0.01583209527700935,0.01835694838148678,0.009254349355543435,0.017259377124270756,0.08319195448918298,-0.9089348383343931,0.21984125045477734,-0.10344122223218481,-0.0919591186520221,-0.0993287614538643,-0.00037142280898791675,0.28703878878600786,-0.0034115825014354026,-0.011400643607478844,0.11811645802316097,-0.2397267537319385,0.03249185593030937,-0.07600115101061175,0.16119863280877242,0.5575080152529626,0.2220765993018963,-0.2869494388506654,0.01455312376366204,0.1655866416757461,-0.6630311273769574
case_4,representative,long3_full_moneyness,54,"kappa_slow:+0.902, theta_fast:-0.321, sigma_slow:+0.268, rho_slow:+0.068",0.39844612577384403,5.4860803046278583e-05,7262.856240688444,10,10,0.39844612577384403,0.07878103984903793,0.07076235877559345,0.014501576195613087,0.007003996384972853,0.0036687962831231627,0.001723613910555927,0.000416623990930862,0.0001079045072074081,5.4860803046278583e-05,0.06902043816683849,0.12045398130390858,0.011106694490709612,0.0470137604184212,0.28865298450076016,0.07870936002254676,0.1918475144938758,0.02517954000280135,0.04966366407311358,0.13863891371096887,0.9017714356168308,-0.010809497784013118,0.26760765549287874,0.06754021901916325,-0.026109809385005792,-0.05086001808948708,-0.32129477919965216,-0.04860843039048114,-0.010160394563392974,0.03938378282767419,0.04933897914320048,-0.458347157820093,0.39092847400338704,-0.0716237204033822,-0.3559790693848184,0.039358331894728496,0.5445721992331812,-0.0015772095464016947,-0.1370883484779803,0.43116558276218747
