case_id,arm,start_index,start_strategy,optimizer_success,nfev,price_rmse_normalized,parameter_rmse_full_range,constraint_valid,bound_hit,runtime_seconds
case_2,baseline,0,midpoint,False,120,1.1534620557006735e-08,0.0006854362809878361,True,False,2.539973250008188
case_2,baseline,1,broad_1,False,120,1.7984728933978962e-05,0.29891890358164364,True,True,2.2861398330132943
case_2,baseline,2,broad_2,True,84,2.2508722489060996e-06,0.060913779820902854,True,False,1.851912625017576
case_2,baseline,3,broad_3,True,86,2.250873477858177e-06,0.06092101590940913,True,False,1.6903847909998149
case_2,baseline,4,broad_4,True,103,2.2508705315289838e-06,0.060919246240707985,True,False,2.0394739159964956
case_2,baseline,5,broad_5,True,80,6.827054847775e-16,9.45125643927426e-12,True,False,1.6623280000058003
case_2,baseline,6,broad_6,False,120,3.1883377722171844e-07,0.038739858865055904,True,False,2.6854420830204617
case_2,baseline,7,broad_7,False,120,2.054615624001822e-05,0.29130971587746035,True,True,2.634954583016224
case_2,baseline,8,broad_8,True,67,3.667916845977064e-05,0.3283449730841258,True,True,1.2866712499817368
case_2,baseline,9,broad_9,False,120,5.01786590800485e-07,0.06740221677305334,True,False,2.4635237919865176
case_2,baseline,10,broad_10,False,120,3.3723562250178316e-05,0.32271854501408265,True,True,2.6866191670123953
case_2,baseline,11,broad_11,True,78,4.582401169682674e-16,2.418332166962267e-12,True,False,1.4849360829975922
case_2,sobol,0,sobol_0,False,120,7.142321959552695e-07,0.0750734382902927,True,False,2.256867832998978
case_2,sobol,1,sobol_1,False,120,5.232438944073737e-06,0.19929075734243548,True,True,2.519895249977708
case_2,sobol,2,sobol_2,False,120,2.266879048013843e-06,0.067745153670198,True,False,2.3117819170001894
case_2,sobol,3,sobol_3,False,120,3.931873153400683e-06,0.2182209627042342,True,True,2.634400207985891
case_2,sobol,4,sobol_4,True,66,2.2508734865280116e-06,0.06088887589477726,True,False,1.350096707988996
case_2,sobol,5,sobol_5,False,120,2.0387625991915073e-05,0.29984425689601063,True,True,2.211082250025356
case_2,sobol,6,sobol_6,True,85,5.766655892924894e-16,1.5970111565976375e-11,True,False,1.8332727499946486
case_2,sobol,7,sobol_7,True,50,2.2508805686911845e-06,0.060943959832548106,True,False,0.9654682500113267
case_2,sobol,8,sobol_8,True,82,6.534118478915596e-10,7.372790237268652e-05,True,False,1.572818874992663
case_2,sobol,9,sobol_9,False,120,2.2625060894275025e-06,0.05791634170263542,True,False,2.7235944580170326
case_2,sobol,10,sobol_10,True,94,8.303785069200689e-10,9.340220265298944e-05,True,False,2.0384114169864915
case_2,sobol,11,sobol_11,False,120,4.530008948304575e-06,0.2335194996245712,True,True,2.6571360420202836
case_2,relweight,0,midpoint,True,36,0.0003051176714448764,0.2538017305563477,True,False,0.4364870840217918
case_2,relweight,1,broad_1,True,32,0.00045733523070604727,0.2527592665101863,True,False,0.3055173750035465
case_2,relweight,2,broad_2,True,50,0.0014666485400255537,0.41167081691468516,True,True,0.7537385000032373
case_2,relweight,3,broad_3,True,43,4.899722406457664e-05,0.19206108139359523,True,False,0.7159870000032242
case_2,relweight,4,broad_4,True,38,0.00011523986366984128,0.29755203835936694,True,False,0.5184392080118414
case_2,relweight,5,broad_5,True,48,0.0002704045163076818,0.3377067325449836,True,True,0.7324037500075065
case_2,relweight,6,broad_6,True,33,3.369225196347598e-05,0.14984895224226755,True,False,0.5087155420042109
case_2,relweight,7,broad_7,True,60,0.0006696480600223491,0.36062311156037213,True,True,0.887117042002501
case_2,relweight,8,broad_8,True,55,0.022237147921657565,0.3876296996621479,True,True,0.8395748749899212
case_2,relweight,9,broad_9,True,34,0.00018751783170109615,0.23311643498446263,True,False,0.5377819159766659
case_2,relweight,10,broad_10,True,70,0.0009116617898151541,0.3663218955842142,True,True,1.1841827500029467
case_2,relweight,11,broad_11,True,33,0.00027082383502302865,0.2221796548097165,True,False,0.43159529101103544
case_2,polish,0,polish_0,True,1,1.3121684793419696e-09,0.00014837724422452883,True,False,0.02620470800320618
case_2,polish,1,polish_1,True,6,4.910007715832364e-16,1.0671318658443461e-11,True,False,0.11788350000279024
case_2,polish,2,polish_2,True,16,4.959755425564915e-16,9.736178044217717e-12,True,False,0.2684399169811513
case_2,polish,3,polish_3,True,14,6.767238797852424e-16,2.0127868140977867e-12,True,False,0.2848137919791043
case_2,polish,4,polish_4,True,81,5.225865472736559e-11,3.6347971695958837e-09,True,False,1.8691472080245148
case_2,polish,5,polish_5,True,155,1.4867218473069725e-15,1.365495510361039e-11,True,False,3.0156871670042165
case_2,polish,6,polish_6,True,1,2.250871715941023e-06,0.060912049765379346,True,False,0.026178458996582776
case_2,polish,7,polish_7,True,20,2.2508726920297647e-06,0.060919060124038305,True,False,0.4082477090123575
case_2,polish,8,polish_8,True,61,2.250870433109196e-06,0.06093066519543543,True,False,1.3263943749770988
case_2,polish,9,polish_9,True,85,1.6486613591963047e-05,0.3563645124831177,True,True,1.6832930000091437
case_2,polish,10,polish_10,True,76,1.6486614416835275e-05,0.35636450380873563,True,True,1.577402000024449
case_2,polish,11,polish_11,True,292,1.648661334104798e-05,0.3563645167302028,True,True,6.084328458993696
case_2,prior_ranges,0,midpoint,True,45,0.00021765396999276634,0.17956297428887016,True,False,0.6484940829977859
case_2,prior_ranges,1,broad_1,True,44,0.00020536866556766377,0.22923913964525797,True,False,0.8114347499795258
case_2,prior_ranges,2,broad_2,True,45,0.00022382725986808832,0.21434865747768406,True,False,0.6317868329933845
case_2,prior_ranges,3,broad_3,True,45,0.00020284049302023721,0.23053140837731909,True,True,0.5758463750244118
case_2,prior_ranges,4,broad_4,True,43,0.0001963189787298476,0.23695264292679066,True,True,0.5224822500022128
case_2,prior_ranges,5,broad_5,True,62,0.00021648475305779453,0.21430704329306638,True,False,0.9657663750112988
case_2,prior_ranges,6,broad_6,True,42,0.0002168131144894066,0.17032897923315174,True,True,0.518650499987416
case_2,prior_ranges,7,broad_7,True,42,0.0001974325921296878,0.23596413010493725,True,True,0.5907752500206698
case_2,prior_ranges,8,broad_8,True,116,0.0002550984276344456,0.15540529257395153,True,False,2.3307470839936286
case_2,prior_ranges,9,broad_9,False,120,0.00025734564109418297,0.14845291955528114,True,False,2.6280142919858918
