truth_id,representation,noise_level,near_equivalent_count,cluster_count,median_pairwise_distance,maximum_pairwise_distance,maximum_distance_from_best,materially_displaced_count,boundary_hit_rate,optimizer_success_rate,best_parameter_rmse_scaled,best_repricing_rmse,best_repricing_rmse_relative,pca1_fraction,basin_classification
interior_seed20260822_0005,R3,0.0,6,6,0.30904354478143664,0.774279398824679,0.6910718485345319,5,0.0,0.4166666666666667,0.018908953904696008,1.0968789602098309e-08,2.3807855686867948e-05,0.748894082957987,multiple_basin
interior_seed20260822_0005,R3,0.005,12,7,1.3273031464624356,1.7428091109718784,1.7411007179584386,6,1.0,0.08333333333333333,0.3232719724399601,0.00033868774123977107,0.032929519025468486,0.6835545966016778,multiple_basin
interior_seed20260822_0005,R3,0.01,9,3,0.674954231031841,1.638310699236269,1.335865837743897,3,1.0,0.16666666666666666,0.3338935303446951,0.0005702616309861307,0.09417251505332669,0.8943274857882346,multiple_basin
interior_seed20260822_0005,R3,0.02,12,6,0.8818354572858931,1.3513376926805487,1.3513376926805487,9,1.0,0.08333333333333333,0.3651390294583701,0.0011384934689216961,0.09153081424398929,0.5492000580425996,multiple_basin
interior_seed20260822_0006,R2,0.0,8,7,0.6325746735372377,1.0163834750927503,1.0068043038182592,7,0.0,0.5,0.18628206036803682,5.083555850736406e-09,1.454779336987263e-07,0.7146019074483042,multiple_basin
interior_seed20260822_0006,R2,0.005,12,11,0.8092756820081476,1.5249642188967734,1.313249598553648,11,1.0,0.08333333333333333,0.24276186328720592,0.00021173000517221534,0.005407865846998783,0.5775887185932379,multiple_basin
interior_seed20260822_0006,R2,0.01,12,8,1.1573874685420862,1.8078256251951998,1.8074079958393474,7,1.0,0.16666666666666666,0.4858651860697266,0.000616909174138695,0.016086244705840226,0.7162253355691565,multiple_basin
interior_seed20260822_0006,R2,0.02,12,6,1.3669835483243764,2.0353377625004336,2.0353377625004336,6,1.0,0.16666666666666666,0.47974610080154584,0.0006759480866418147,0.02004088904836825,0.6688036974929022,multiple_basin
interior_seed20260822_0006,R3,0.0,3,3,0.24444333183671602,0.4608800948399396,0.4608800948399396,2,0.0,0.0,0.052559055154414135,6.65922301131442e-08,3.026211926650842e-06,0.9637877590366738,multiple_basin
interior_seed20260822_0006,R3,0.005,12,7,0.8542055573355821,1.1214766668488647,1.0914540374559312,8,1.0,0.3333333333333333,0.3572953361051205,0.0002759447020547142,0.0055934582491945035,0.8523719025103907,multiple_basin
interior_seed20260822_0006,R3,0.01,12,5,0.47600464175739454,0.904977975369266,0.8773040838155014,5,1.0,0.5833333333333334,0.38412437473615935,0.0005937954727786095,0.01146630858511548,0.7068479445881926,multiple_basin
interior_seed20260822_0006,R3,0.02,12,4,1.3654296986440784,1.5505215801227978,1.5503072496763841,7,1.0,0.0,0.3916944350473599,0.0010429666265311906,0.02188698536854186,0.9846380225787617,multiple_basin
interior_seed20260822_0008,R2,0.0,9,9,0.9405929788422148,1.5159592017403591,1.0527040342237801,8,0.1111111111111111,0.6666666666666666,0.05874132256256365,1.667401925552044e-10,3.2559766539517254e-09,0.4539832788300305,multiple_basin
interior_seed20260822_0008,R2,0.005,12,6,0.5230853397146125,1.8185768210952302,1.7369412111997073,6,0.9166666666666666,0.5,0.5177867510743587,0.0003498727265194765,0.0046296246949244745,0.6227227436966476,multiple_basin
interior_seed20260822_0008,R2,0.01,12,4,1.5562579520514723,2.060663154345479,2.0601755910714563,5,1.0,0.3333333333333333,0.5463175945647945,0.0005427528460467494,0.011389179298820386,0.8446948060874121,multiple_basin
interior_seed20260822_0008,R2,0.02,12,6,1.7276562013353005,2.179411316718404,1.9837809083084155,11,1.0,0.4166666666666667,0.5215225830008274,0.0013047085348206514,0.020994218289140675,0.6457118940252069,multiple_basin
interior_seed20260822_0008,R3,0.0,8,7,0.447040351466093,0.8289947023595625,0.7412830779300958,7,0.25,0.25,0.053867047014302546,1.0957545744449894e-08,3.1557068155138784e-07,0.7279238208863259,multiple_basin
interior_seed20260822_0008,R3,0.005,9,5,1.504728713315282,2.0444899925793925,2.0444898487872973,5,1.0,0.5833333333333334,0.5141641611843892,0.0004206725369118591,0.005921899630573606,0.5977088422478607,multiple_basin
interior_seed20260822_0008,R3,0.01,10,2,0.003750063476354992,1.3833997695745577,1.3832161747818998,2,1.0,0.08333333333333333,0.39557739589025614,0.0007186607921955159,0.01009496520458604,0.9999763722084426,multiple_basin
interior_seed20260822_0008,R3,0.02,12,4,1.3566397512195763,1.9204073565617756,1.918485011398291,7,1.0,0.0,0.385747354701454,0.0014972274376055803,0.020514366267571173,0.5955131564486679,multiple_basin
interior_seed20260822_0009,R2,0.0,3,3,0.4080043543979608,0.4293733564902118,0.4293733564902118,2,0.0,0.08333333333333333,0.08678021150344448,3.1256889364123285e-08,1.4619412609134146e-06,0.6223186281423787,multiple_basin
interior_seed20260822_0009,R2,0.005,12,9,1.2806260219038472,2.0533204307945114,1.465598430860486,9,1.0,0.25,0.33824572575024536,0.0003183764751620435,0.01702861973882802,0.49089044317545344,multiple_basin
interior_seed20260822_0009,R2,0.01,12,5,1.4734348518525269,2.110053509616316,2.108991154688584,5,1.0,0.16666666666666666,0.49775851510885005,0.0009041243978558657,0.014492036552605054,0.754541106594122,multiple_basin
interior_seed20260822_0009,R2,0.02,12,4,0.9510136308460815,2.155115795394856,2.152069055300073,10,1.0,0.08333333333333333,0.5288897408058548,0.001539323653421416,0.026750882129177433,0.8641083890600197,multiple_basin
interior_seed20260822_0009,R3,0.0,3,2,0.26715735537658175,0.34331510685439326,0.26715735537658175,2,0.0,0.08333333333333333,0.06087254293326542,7.767467179082573e-08,2.679424335648624e-06,0.9967340627504723,multiple_basin
interior_seed20260822_0009,R3,0.005,12,4,0.6870916220269154,1.5065747628283113,1.5065747628283113,11,1.0,0.5833333333333334,0.46389166784325403,0.0004940791704206707,0.010907272492470319,0.8481292700677833,multiple_basin
interior_seed20260822_0009,R3,0.01,12,5,0.45510848796279235,1.7798713053396555,1.7794973831795504,10,1.0,0.6666666666666666,0.4051818186465349,0.0008499938334575148,0.012082848413590525,0.7100167804309336,multiple_basin
interior_seed20260822_0009,R3,0.02,12,6,1.271331402786461,2.1091658010156418,2.1091658010156418,11,1.0,0.5,0.4086975193878623,0.0014156264902912847,0.01776266188283076,0.6717371557328768,multiple_basin
interior_seed20260822_0010,R2,0.0,4,4,0.6551227303818656,1.1213484805117937,1.1213484805117937,3,0.5,0.4166666666666667,0.2772599781804333,3.118934781858881e-08,1.5246779145058826e-05,0.8840392796634651,multiple_basin
interior_seed20260822_0010,R2,0.005,10,1,0.0022986203641899463,0.07285452291115957,0.07183312468073476,1,1.0,0.5833333333333334,0.45082790576618365,0.00025376364124405504,0.031179073258760105,0.9927376825126271,ridge_like
interior_seed20260822_0010,R2,0.01,11,3,0.010719244516386532,1.77715362224275,1.77715362224275,3,1.0,0.16666666666666666,0.45212667801747414,0.00048458683008995013,0.06860141964784867,0.9843224556554782,multiple_basin
interior_seed20260822_0010,R2,0.02,12,6,0.7918530324680144,1.9064661178849809,1.9064661178849809,11,1.0,0.8333333333333334,0.5525964147530521,0.001994577746047559,0.11686291304570667,0.7971984851963931,multiple_basin
interior_seed20260822_0010,R3,0.0,2,2,0.554108879829677,0.554108879829677,0.554108879829677,1,0.0,0.16666666666666666,0.03722184300287621,1.3072488259036517e-08,1.5942891000697714e-06,1.0,multiple_basin
interior_seed20260822_0010,R3,0.005,11,2,1.525518397037003,1.5302414966816953,1.5302414966816953,6,1.0,0.5833333333333334,0.24954687650103502,0.0003010882441415127,0.021477198080513134,0.9999971119369947,multiple_basin
interior_seed20260822_0010,R3,0.01,11,5,0.8681880915706647,1.4664798847269531,1.4664798847269531,4,1.0,0.4166666666666667,0.39529541723636896,0.0006785950061822526,0.03940670256363711,0.6105820620095261,multiple_basin
interior_seed20260822_0010,R3,0.02,11,4,0.9067779774345447,1.56520082306111,1.5615537050943191,4,1.0,0.3333333333333333,0.43653262147475747,0.0017799540573616138,0.04235801430637347,0.6301077592755336,multiple_basin
