case,noise_model,condition_number,smallest_singular_value,numerical_rank,effective_rank,noise_resolved_tolerance_directions,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5,eigenvalue_6,eigenvalue_7,eigenvalue_8,eigenvalue_9,eigenvalue_10
19,unweighted,6723.554237113122,1.8996308661587646e-06,10,10,,0.00016313091056190037,5.617837538733082e-06,2.0070431631896867e-06,2.991394548824742e-07,1.5983128322902187e-08,1.3502306770916412e-08,6.291955205080704e-09,7.345332247372292e-11,3.6811235818983184e-11,3.6085974276630982e-12
19,1% time value,1978.1150149404982,0.02042376659933656,10,10,5,1632.205197553358,292.90035784722465,174.6643638149463,5.800087875017002,3.1948613402243446,0.2375358824209622,0.10671460105728914,0.005722458425576479,0.0014295871336892116,0.0004171302421041756
20,unweighted,4079.27115791745,2.383889546094582e-06,10,10,,9.456652007206308e-05,4.439897333934032e-06,6.583430669651869e-07,1.9110191111855712e-07,3.61447563957053e-08,8.512928591637426e-09,1.9384793043974864e-09,4.352703701875691e-10,1.2024031415062362e-10,5.682929367979032e-12
20,1% time value,3977.023469725631,0.010033503216113767,10,10,6,1592.287538464266,156.64143031828218,119.90376210165697,3.826653661293646,1.0602761525186095,1.0037891868688738,0.2899415163044938,0.008204524637191197,0.00118099214435807,0.0001006711867877653
21,unweighted,10077.35807853137,7.863533265554489e-07,10,10,,6.279554556434058e-05,2.0283632876003743e-06,3.779451868257022e-07,8.889764831415536e-08,1.4153273617020706e-08,1.4928519155552268e-09,4.6525448639892154e-10,1.5014868091906687e-10,9.430338325096005e-12,6.183515541848205e-13
21,1% time value,2751.7175488101,0.02228324970821249,10,10,6,3759.8001522447344,266.36935134493535,123.46168827319934,5.215502237292735,2.063932226148284,1.3172303863937962,0.04474477922039676,0.006718975442176967,0.001078980924468049,0.000496543217558552
22,unweighted,3433.8917901906107,3.091867632486801e-06,10,10,,0.00011272363798770547,1.6236514336526337e-05,7.398434243241285e-07,6.582691422324125e-07,4.9354701147779954e-08,2.59910016372614e-08,1.4712127370011691e-09,4.944992575661381e-10,7.586223246666638e-11,9.559645456819536e-12
22,1% time value,3474.4135723129784,0.008975466136972319,10,10,4,972.471877949906,82.8763515359247,14.459637465995396,6.720882499484534,0.5317716971258997,0.3919628168606021,0.017842410453061164,0.00408205401061386,0.0014352149800425649,8.05589923759368e-05
23,unweighted,40261.639394550555,3.589502033508549e-07,10,10,,0.00020885809712509865,9.701186822980017e-06,3.8086044152015144e-07,2.6636643221334436e-07,1.7357445855176872e-08,8.11540742335008e-09,6.632694830919622e-10,1.9587244462725903e-10,2.9753402247708844e-11,1.2884524848562007e-13
23,1% time value,46427.11043207342,0.0007770535617296837,10,10,4,1301.5031391432415,45.5185474238534,6.287837565791927,2.376974390702076,0.19239277471473912,0.10201916711121992,0.007230865620439375,0.004765799114649431,0.0002953740385164462,6.038122377967873e-07
