parameter,strike_over_spot,mean_conditional_information
sigma_f,0.8400000000000001,0.00022875115434056422
sigma_f,0.86,0.00033678156876939256
sigma_f,0.88,0.00036500616862686857
sigma_f,0.9,0.00032222979469319395
sigma_f,0.92,0.0002548178470653902
sigma_f,0.9400000000000001,0.00019221563007273382
sigma_f,0.96,0.00014279915172939347
sigma_f,0.98,0.00010477072351312206
sigma_f,1.0,7.496151998600375e-05
sigma_f,1.02,0.00010860406004257773
sigma_f,1.04,0.0001549213995388164
sigma_f,1.06,0.00021093329707527576
sigma_f,1.08,0.0002647408870951545
sigma_f,1.1,0.00029598820436374534
sigma_f,1.12,0.0002851723466551608
sigma_f,1.1400000000000001,0.00023513075177301077
sigma_f,1.16,0.000206923491607978
sigma_f,1.18,0.00037314355151186134
sigma_f,1.2,0.0010947704582502313
rho_f,0.8,0.03242503526216124
rho_f,0.8200000000000001,0.02163304463259333
rho_f,0.8400000000000001,0.015267821630649032
rho_f,0.86,0.011163292511182995
rho_f,0.88,0.00827644165162507
rho_f,0.9,0.006126720948343243
rho_f,0.92,0.004499279016464619
rho_f,0.9400000000000001,0.003281920755350275
rho_f,0.96,0.0023910229649730334
rho_f,0.98,0.0017516358120944755
rho_f,1.0,0.0012995972781947708
rho_f,1.02,0.0015992096864254268
rho_f,1.04,0.0019480350931785097
rho_f,1.06,0.002386806970709276
rho_f,1.08,0.0030242124827345967
rho_f,1.1,0.004081013353809114
rho_f,1.12,0.005959845998856496
rho_f,1.1400000000000001,0.009414611347586475
rho_f,1.16,0.015978322151342015
rho_f,1.18,0.028889740454659845
rho_f,1.2,0.05479369212961746
v0_f,0.8,0.00021675962314436393
v0_f,0.8200000000000001,0.00010926982335113068
v0_f,0.8400000000000001,7.603902058471976e-05
v0_f,0.86,5.964966896403055e-05
v0_f,0.88,4.5479924417413754e-05
v0_f,0.9,3.2743750976572074e-05
v0_f,0.92,2.2874876408472797e-05
v0_f,0.9400000000000001,1.6239909497789166e-05
v0_f,0.96,1.2139026289767972e-05
v0_f,0.98,9.577354633969838e-06
v0_f,1.0,7.805958544226818e-06
v0_f,1.02,1.0298854827797207e-05
v0_f,1.04,1.3827427580625352e-05
v0_f,1.06,1.8809231114667052e-05
v0_f,1.08,2.5553762583739043e-05
v0_f,1.1,3.386365264588048e-05
v0_f,1.12,4.272065341812875e-05
v0_f,1.1400000000000001,5.086518400429756e-05
v0_f,1.16,5.969376503274555e-05
v0_f,1.18,8.035268356000028e-05
v0_f,1.2,0.00014696684456371042
