method,seed,surface_id,parameter_range_scaled_rmse,noisy_price_rmse,clean_latent_price_rmse
model2,11,R2_FINAL_interior_train_009951,0.17057577308445496,0.000666234290219041,0.000666234290219041
model2,11,R2_FINAL_interior_train_009952,0.11689541916908192,0.0021715035949257527,0.0021715035949257527
model2,11,R2_FINAL_interior_train_009954,0.15598110111574476,0.0008366315742279184,0.0008366315742279184
model2,11,R2_FINAL_interior_train_009955,0.16926544652877717,0.00036765785466087573,0.00036765785466087573
model2,11,R2_FINAL_interior_train_009956,0.13090885260802457,0.0002970103879373546,0.0002970103879373546
model2,11,R2_FINAL_interior_train_009957,0.12351663133672595,0.0014086773042162075,0.0014086773042162075
model2,11,R2_FINAL_interior_train_009958,0.13778983590957303,0.0008496825865249244,0.0008496825865249244
model2,11,R2_FINAL_interior_train_009959,0.09794163285375114,0.0019178104449837023,0.0019178104449837023
model2,11,R2_FINAL_interior_train_009961,0.154872543458842,0.0005692188075979567,0.0005692188075979567
model2,11,R2_FINAL_interior_train_009963,0.11168459748200694,0.000606716786156443,0.000606716786156443
model2,11,R2_FINAL_interior_train_009965,0.13512386763228112,0.0005493105489461406,0.0005493105489461406
model2,11,R2_FINAL_interior_train_009966,0.17551117662425056,0.0005424147543376344,0.0005424147543376344
model2,11,R2_FINAL_interior_train_009967,0.16776407829664847,0.0021436380866643053,0.0021436380866643053
model2,11,R2_FINAL_interior_train_009968,0.12072947230918131,0.0009631762396617062,0.0009631762396617062
model2,11,R2_FINAL_interior_train_009969,0.13526265131749893,0.0003668137244962116,0.0003668137244962116
model2,11,R2_FINAL_interior_train_009970,0.15364655825219978,0.002317471160866127,0.002317471160866127
model2,11,R2_FINAL_interior_train_009971,0.11008073273809169,0.0008750740798723096,0.0008750740798723096
model2,11,R2_FINAL_interior_train_009973,0.13668857507233526,0.0004647386364326402,0.0004647386364326402
model2,11,R2_FINAL_interior_train_009974,0.14210343395566524,0.0005026021170547674,0.0005026021170547674
model2,11,R2_FINAL_interior_train_009976,0.09416264036423963,0.0007135030389899156,0.0007135030389899156
model2,11,R2_FINAL_interior_train_009977,0.15438826337328102,0.0005912075409716135,0.0005912075409716135
model2,11,R2_FINAL_interior_train_009978,0.09878107444687609,0.00021136882989114078,0.00021136882989114078
model2,11,R2_FINAL_interior_train_009979,0.1680170761346039,0.0015270081560841374,0.0015270081560841374
model2,11,R2_FINAL_interior_train_009982,0.1440897628675322,0.0005679928501861753,0.0005679928501861753
model2,11,R2_FINAL_interior_train_009983,0.19818277444535698,0.000587867506333943,0.000587867506333943
model2,11,R2_FINAL_interior_train_009985,0.15767482185946136,0.0008189508015607627,0.0008189508015607627
model2,11,R2_FINAL_interior_train_009986,0.12252815985409458,0.0008220348332049883,0.0008220348332049883
model2,11,R2_FINAL_interior_train_009987,0.10637692673772921,0.00066013513994208,0.00066013513994208
model2,11,R2_FINAL_interior_train_009988,0.15094795135818298,0.0008292871739389513,0.0008292871739389513
model2,11,R2_FINAL_interior_train_009990,0.14308379116646794,0.0016361088031724726,0.0016361088031724726
model2,11,R2_FINAL_interior_train_009991,0.11051397335086101,0.000497715470276943,0.000497715470276943
model2,11,R2_FINAL_interior_train_009992,0.15011621492227478,0.0004151600606093274,0.0004151600606093274
model2,11,R2_FINAL_interior_train_009993,0.1259163916084262,0.0007170988306927648,0.0007170988306927648
model2,11,R2_FINAL_interior_train_009995,0.1541437198982808,0.0003509821864150338,0.0003509821864150338
model2,11,R2_FINAL_interior_train_009996,0.14362404501113032,0.0006904823686331387,0.0006904823686331387
model2,11,R2_FINAL_interior_train_009997,0.1027818916165388,0.0013870074675622936,0.0013870074675622936
model2,11,R2_FINAL_interior_train_009998,0.14906133739279578,0.00038568555990505866,0.00038568555990505866
model2,11,R2_FINAL_interior_train_009999,0.11481819065681978,0.00010111011015772649,0.00010111011015772649
model2,11,R2_FINAL_interior_train_010000,0.09788652315119656,0.0007083041306536852,0.0007083041306536852
model2,11,R2_FINAL_interior_train_010001,0.13171989524101907,0.0017398104264568525,0.0017398104264568525
model2,11,R2_FINAL_interior_train_010002,0.1454030449931258,0.0016045976863250388,0.0016045976863250388
model2,11,R2_FINAL_interior_train_010003,0.11628044226163423,0.0032332710947854428,0.0032332710947854428
model2,11,R2_FINAL_interior_train_010004,0.10610569853330311,0.0002619529293436677,0.0002619529293436677
model2,11,R2_FINAL_interior_train_010005,0.09527112278601395,0.0009130212802576998,0.0009130212802576998
model2,11,R2_FINAL_interior_train_010006,0.08312988474021385,0.0007490327078812738,0.0007490327078812738
model2,11,R2_FINAL_interior_train_010007,0.1483610135021573,0.0005370047093761812,0.0005370047093761812
model2,11,R2_FINAL_interior_train_010008,0.1386982022931984,0.000797988987350824,0.000797988987350824
model2,11,R2_FINAL_interior_train_010010,0.11312134117477614,0.00045220185720744587,0.00045220185720744587
model2,11,R2_FINAL_interior_train_010012,0.16155500371910247,0.0006671001290797647,0.0006671001290797647
model2,11,R2_FINAL_interior_train_010013,0.13550144563509983,0.0004942608716806103,0.0004942608716806103
model2,11,R2_FINAL_interior_train_010014,0.13890482501306953,0.0005169974024387851,0.0005169974024387851
model2,11,R2_FINAL_interior_train_010015,0.15642846788426037,0.0007864461841610746,0.0007864461841610746
model2,11,R2_FINAL_interior_train_010016,0.11736545454485894,0.00075724133965691,0.00075724133965691
model2,11,R2_FINAL_interior_train_010018,0.13398258573688784,0.000419621073771615,0.000419621073771615
model2,11,R2_FINAL_interior_train_010019,0.1513770891983758,0.0003008493134680171,0.0003008493134680171
model2,11,R2_FINAL_interior_train_010020,0.1431761798887877,0.0010701309916508637,0.0010701309916508637
model2,11,R2_FINAL_interior_train_010021,0.1734884353645151,0.0005579513357189086,0.0005579513357189086
model2,11,R2_FINAL_interior_train_010023,0.14967709268933468,0.0019951525687108983,0.0019951525687108983
model2,11,R2_FINAL_interior_train_010024,0.16943666301159585,0.0010092175876112916,0.0010092175876112916
model2,11,R2_FINAL_interior_train_010025,0.18632882789913452,0.0008099183237762992,0.0008099183237762992
model2,11,R2_FINAL_interior_train_010026,0.11929341475816072,0.0006053515156429665,0.0006053515156429665
model2,11,R2_FINAL_interior_train_010027,0.1885544903869228,0.0020350501662206055,0.0020350501662206055
model2,11,R2_FINAL_interior_train_010028,0.16085322967234186,0.00047444577131761605,0.00047444577131761605
model2,11,R2_FINAL_interior_train_010029,0.14162501296189753,0.0006473738794017778,0.0006473738794017778
model2,11,R2_FINAL_interior_train_010031,0.1768559398151965,0.000770521015667327,0.000770521015667327
model2,11,R2_FINAL_interior_train_010032,0.13857629780299913,0.0008102895977906492,0.0008102895977906492
model2,11,R2_FINAL_interior_train_010035,0.12456765432900611,0.0004146789321181212,0.0004146789321181212
model2,11,R2_FINAL_interior_train_010036,0.13679494339658213,0.0006321485177383909,0.0006321485177383909
model2,11,R2_FINAL_interior_train_010038,0.1101841111353582,0.0009625489668933929,0.0009625489668933929
model2,11,R2_FINAL_interior_train_010039,0.14727531952521897,0.0008333247179669985,0.0008333247179669985
model2,11,R2_FINAL_interior_train_010042,0.1870288294538351,0.0006182289248403813,0.0006182289248403813
model2,11,R2_FINAL_interior_train_010044,0.10304149538211944,0.0008272020850839712,0.0008272020850839712
model2,11,R2_FINAL_interior_train_010046,0.153872604443215,0.001036272682135055,0.001036272682135055
model2,11,R2_FINAL_interior_train_010048,0.15710805596827465,0.0005023379498643395,0.0005023379498643395
model2,11,R2_FINAL_interior_train_010049,0.1294638991441707,0.0012786177429932421,0.0012786177429932421
model2,11,R2_FINAL_interior_train_010050,0.10735450914313856,0.0009430530816900109,0.0009430530816900109
model2,11,R2_FINAL_interior_train_010051,0.13624698250933254,0.0009709627974299078,0.0009709627974299078
model2,11,R2_FINAL_interior_train_010052,0.13726646335285816,0.0009517101219178518,0.0009517101219178518
model2,11,R2_FINAL_interior_train_010053,0.09303282403838152,0.0009033003645528946,0.0009033003645528946
model2,11,R2_FINAL_interior_train_010054,0.18285123726792732,0.0007416106371034259,0.0007416106371034259
model2,11,R2_FINAL_interior_train_010055,0.13746382325603063,0.00040973502914214203,0.00040973502914214203
model2,11,R2_FINAL_interior_train_010056,0.14576051135125911,0.00030906681689608565,0.00030906681689608565
model2,11,R2_FINAL_interior_train_010057,0.1219356761261502,0.00041499453365672896,0.00041499453365672896
model2,11,R2_FINAL_interior_train_010058,0.14627011574101884,0.0007062702853347332,0.0007062702853347332
model2,11,R2_FINAL_interior_train_010059,0.12338395690662915,7.736784839579275e-05,7.736784839579275e-05
model2,11,R2_FINAL_interior_train_010061,0.11512885056180847,0.0008382887283084094,0.0008382887283084094
model2,11,R2_FINAL_interior_train_010062,0.14679712140266596,0.0010057430573497891,0.0010057430573497891
model2,11,R2_FINAL_interior_train_010063,0.15900440942196123,0.0005910855804160376,0.0005910855804160376
model2,11,R2_FINAL_interior_train_010064,0.16037711718873096,0.0008757753841054755,0.0008757753841054755
model2,11,R2_FINAL_interior_train_010066,0.11794231988228647,0.00032249365190807166,0.00032249365190807166
model2,11,R2_FINAL_interior_train_010069,0.12468811434763714,0.0006204299182942784,0.0006204299182942784
model2,11,R2_FINAL_interior_train_010070,0.08725875127316915,0.0010262678514190056,0.0010262678514190056
model2,11,R2_FINAL_interior_train_010071,0.14125918844906832,0.00033332399880381424,0.00033332399880381424
model2,11,R2_FINAL_interior_train_010072,0.13474272296918507,0.0002552532658255426,0.0002552532658255426
model2,11,R2_FINAL_interior_train_010073,0.13520057996865364,0.0013534240887234804,0.0013534240887234804
model2,11,R2_FINAL_interior_train_010076,0.1464300689151598,0.0006069303991498622,0.0006069303991498622
model2,11,R2_FINAL_interior_train_010077,0.19109886969280862,0.0007743748005435973,0.0007743748005435973
model2,11,R2_FINAL_interior_train_010078,0.13982601877949877,0.0010225756048898205,0.0010225756048898205
model2,11,R2_FINAL_interior_train_010079,0.1328318539681676,0.0004885975341586896,0.0004885975341586896
model2,11,R2_FINAL_interior_train_010080,0.17135757995373896,0.0004165842890601035,0.0004165842890601035
model2,11,R2_FINAL_interior_train_010081,0.11447853663977446,0.00019858796774958914,0.00019858796774958914
